state,year,district,block,gram_panchayat,ward_no,tier,reservation,caste_reservation,woman_reserved,ward_count,ocr_repaired,reservation_raw,script,source_path,source_page,source_pdf
Andhra Pradesh,2020,East Godavari,Addateegala Addateegala,Addateegala Addateegala,1,ward,ST Other than Woman,ST,0,74,0,ST ,latin,data/ap/2020_res_gp/est_res_gp.pdf,10,est_res_gp.pdf
Andhra Pradesh,2020,East Godavari,Addateegala Addateegala,Addateegala Addateegala,2,ward,Woman,NONE,1,74,0,UR(W),latin,data/ap/2020_res_gp/est_res_gp.pdf,10,est_res_gp.pdf
Andhra Pradesh,2020,East Godavari,Addateegala Addateegala,Addateegala Addateegala,3,ward,ST Other than Woman,ST,0,74,0,ST ,latin,data/ap/2020_res_gp/est_res_gp.pdf,10,est_res_gp.pdf
Andhra Pradesh,2020,East Godavari,Addateegala Addateegala,Addateegala Addateegala,4,ward,ST Other than Woman,ST,0,74,0,ST ,latin,data/ap/2020_res_gp/est_res_gp.pdf,10,est_res_gp.pdf
Andhra Pradesh,2020,East Godavari,Addateegala Addateegala,Addateegala Addateegala,5,ward,ST Other than Woman,ST,0,74,0,ST ,latin,data/ap/2020_res_gp/est_res_gp.pdf,10,est_res_gp.pdf
Andhra Pradesh,2020,East Godavari,Addateegala Addateegala,Addateegala Addateegala,6,ward,Other than Woman,NONE,0,74,0,UR ,latin,data/ap/2020_res_gp/est_res_gp.pdf,10,est_res_gp.pdf
Andhra Pradesh,2020,East Godavari,Addateegala Addateegala,Addateegala Addateegala,7,ward,Woman,NONE,1,74,0,UR(W),latin,data/ap/2020_res_gp/est_res_gp.pdf,10,est_res_gp.pdf
Andhra Pradesh,2020,East Godavari,Addateegala Addateegala,Addateegala Addateegala,8,ward,Other than Woman,NONE,0,74,0,UR ,latin,data/ap/2020_res_gp/est_res_gp.pdf,10,est_res_gp.pdf
Andhra Pradesh,2020,East Godavari,Addateegala Addateegala,Addateegala Addateegala,9,ward,Other than Woman,NONE,0,74,0,UR ,latin,data/ap/2020_res_gp/est_res_gp.pdf,10,est_res_gp.pdf
Andhra Pradesh,2020,East Godavari,Addateegala Addateegala,Addateegala Addateegala,10,ward,Woman,NONE,1,74,0,UR(W),latin,data/ap/2020_res_gp/est_res_gp.pdf,10,est_res_gp.pdf
Andhra Pradesh,2020,East Godavari,Addateegala theemudupakalu,Addateegala theemudupakalu,1,ward,ST Woman,ST,1,8,0,ST(W),latin,data/ap/2020_res_gp/est_res_gp.pdf,10,est_res_gp.pdf
Andhra Pradesh,2020,East Godavari,Addateegala theemudupakalu,Addateegala theemudupakalu,2,ward,ST Other than Woman,ST,0,8,0,ST ,latin,data/ap/2020_res_gp/est_res_gp.pdf,10,est_res_gp.pdf
