state,year,district,block,body,ward_no,ward_count,serial,tier,tier_local,reservation,caste_reservation,woman_reserved,reservation_raw,listing_scope,script,source_path,source_page,source_pdf,source_url,source_capture
Assam,2020,Jorhat,Jorhat,Jorhat,3,19,1,ulb_ward,Municipal Board ward,SC Other than Woman,SC,0,SC,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,2,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Jorhat,Jorhat,Jorhat,1,19,1,ulb_ward,Municipal Board ward,Woman,NONE,1,Women,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,2,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Jorhat,Jorhat,Jorhat,6,19,1,ulb_ward,Municipal Board ward,Woman,NONE,1,Women,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,2,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Jorhat,Jorhat,Jorhat,8,19,1,ulb_ward,Municipal Board ward,Woman,NONE,1,Women,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,2,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Jorhat,Jorhat,Jorhat,9,19,1,ulb_ward,Municipal Board ward,Woman,NONE,1,Women,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,2,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Jorhat,Jorhat,Jorhat,10,19,1,ulb_ward,Municipal Board ward,Woman,NONE,1,Women,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,2,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Jorhat,Jorhat,Jorhat,11,19,1,ulb_ward,Municipal Board ward,Woman,NONE,1,Women,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,2,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Jorhat,Jorhat,Jorhat,15,19,1,ulb_ward,Municipal Board ward,Woman,NONE,1,Women,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,2,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Jorhat,Jorhat,Jorhat,17,19,1,ulb_ward,Municipal Board ward,Woman,NONE,1,Women,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,2,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
Assam,2020,Jorhat,Jorhat,Teok,9,10,2,ulb_ward,Municipal Board ward,SC Other than Woman,SC,0,SC,reserved_only,latin,data/assam/pdfs/Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,2,Reservation of Wards and post of Chairperson of Municipal Boards_2020.pdf,,
