state,year,district,block,gram_panchayat,ward_no,tier,tier_local,reservation,caste_reservation,woman_reserved,winner,votes,unopposed,reservation_raw,script,source_pdf,source_path,source_page
Goa,2012,North Goa,Bardez,CALANGUTE,I,gp_ward,ward,Other than Woman,NONE,0,Paulo Thomas D'Souza,176,,General,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,1
Goa,2012,North Goa,Bardez,CALANGUTE,II,gp_ward,ward,Other than Woman,NONE,0,Vinayak Dattaram Salgaonkar,299,,General,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,1
Goa,2012,North Goa,Bardez,CALANGUTE,III,gp_ward,ward,Woman,NONE,1,Geeta Laxman Parab,438,,Women,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,1
Goa,2012,North Goa,Bardez,CALANGUTE,IV,gp_ward,ward,Woman,NONE,1,Ana Maria Cassiano De Souza,273,,Women,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,1
Goa,2012,North Goa,Bardez,CALANGUTE,V,gp_ward,ward,Other than Woman,NONE,0,Savio Pedo Simao Gonsalves,222,,General,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,1
Goa,2012,North Goa,Bardez,CALANGUTE,VI,gp_ward,ward,Other than Woman,NONE,0,Joseph Robert Sequeira,524,,General,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,1
Goa,2012,North Goa,Bardez,CALANGUTE,VII,gp_ward,ward,Woman,NONE,1,Pascoal Alex Fernandes,405,,Women,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,1
Goa,2012,North Goa,Bardez,CALANGUTE,VIII,gp_ward,ward,BC Other than Woman,BC,0,Jayanath Rohidas Parulekar,334,,O.B.C.,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,1
Goa,2012,North Goa,Bardez,CALANGUTE,IX,gp_ward,ward,Other than Woman,NONE,0,Reshma Dayanand Kalangutkar,189,,General,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,1
Goa,2012,North Goa,Bardez,CALANGUTE,X,gp_ward,ward,BC Other than Woman,BC,0,Anny Eduardo E. A. Fernandes,143,,O.B.C.,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,1
Goa,2012,North Goa,Bardez,CALANGUTE,XI,gp_ward,ward,Woman,NONE,1,Filomena Saluzinho Fernandes,332,,Women,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,1
Goa,2012,North Goa,Bardez,CANDOLIM,I,gp_ward,ward,BC Other than Woman,BC,0,Fermino Aniceto Peter Fernandes,211,,O.B.C.,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,1
Goa,2012,North Goa,Bardez,CANDOLIM,II,gp_ward,ward,Woman,NONE,1,Alma Ophelia Antonio Francisco Sequeira,187,,Women,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,1
Goa,2012,North Goa,Bardez,CANDOLIM,III,gp_ward,ward,Other than Woman,NONE,0,Blaize Michael Fernandes,296,,General,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,1
Goa,2012,North Goa,Bardez,CANDOLIM,IV,gp_ward,ward,Woman,NONE,1,Lalita Ramkrishna Kerkar,338,,Women,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,1
Goa,2012,North Goa,Bardez,CANDOLIM,V,gp_ward,ward,Other than Woman,NONE,0,Patrick Francis Xavier Sebastian Gonsalves,453,,General,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,1
Goa,2012,North Goa,Bardez,CANDOLIM,VI,gp_ward,ward,Other than Woman,NONE,0,Purification Cyprian Fialho,522,,General,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,1
Goa,2012,North Goa,Bardez,CANDOLIM,VII,gp_ward,ward,Woman,NONE,1,Estella Minguel Mascarenhas,270,,Women,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,1
Goa,2012,North Goa,Bardez,CANDOLIM,VIII,gp_ward,ward,Other than Woman,NONE,0,Lourenco Amancio Fernandes,281,,General,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,1
Goa,2012,North Goa,Bardez,CANDOLIM,IX,gp_ward,ward,Other than Woman,NONE,0,Anna Maria Alex Maria Soares,173,,General,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,1
Goa,2012,North Goa,Bardez,CANDOLIM,X,gp_ward,ward,Other than Woman,NONE,0,Dharmendra Satchit Candolkar,141,,General,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,1
Goa,2012,North Goa,Bardez,CANDOLIM,XI,gp_ward,ward,Woman,NONE,1,Amalina Jose Dias,123,,Women,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,1
Goa,2012,North Goa,Bardez,NERUL,I,gp_ward,ward,BC Other than Woman,BC,0,Narciso Manuel Domingos Pedro de Almeida,280,,O.B.C.,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,2
Goa,2012,North Goa,Bardez,NERUL,II,gp_ward,ward,BC Woman,BC,1,Piedade Narcis Almeida,181,,OBC Wom,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,2
Goa,2012,North Goa,Bardez,NERUL,III,gp_ward,ward,Other than Woman,NONE,0,Francisco Edmondo D'costa,129,,General,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,2
Goa,2012,North Goa,Bardez,NERUL,IV,gp_ward,ward,Other than Woman,NONE,0,Dasharath Kashinath Kalangutkar,170,,General,latin,panres_2012_Bardez.pdf,data/goa/2012/panres_2012_Bardez.pdf,2
