state,year,district,block,body,seat_no,seat_no_ocr,seat_no_from_order,ward_name,tier,tier_local,reservation,caste_reservation,caste_reservation_local,woman_reserved,reservation_raw,reservation_match_score,sc_rank_ocr,st_rank_ocr,listing_scope,script,text_source,ocr_mean_confidence,source_path,source_page,source_pdf,source_url,source_capture
Gujarat,2020,Ahmedabad,દશકોઈ,Ahmedabad,1,4,1,અસલાલી,zp_member,district panchayat member,Woman,NONE,સામાન્ય સ્ત્રી,1,સામાન્ય સ્ત્રી,1.0,at,3,all_seats,gujarati,ocr,77.2,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,ઘોળકા,Ahmedabad,2,2,1,બદરખા,zp_member,district panchayat member,BC Woman,BC,સા.શૈ.પછાતવર્ગ સ્ત્રી,1,સા.શૈ.પછાતવર્ગ સ્ત્રી”,1.0,2,ર4,all_seats,gujarati,ocr,88.06,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,દસક્રોઈ,Ahmedabad,3,3,1,ભુવાલડી,zp_member,district panchayat member,BC Other than Woman,BC,સા.શૈ.પછાતવર્ગ,0,સા.શૈ.પછાતવર્ગ,1.0,33,20,all_seats,gujarati,ocr,83.9,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,સાણંદ,Ahmedabad,4,4,1,ચાંગોદર,zp_member,district panchayat member,Woman,NONE,સામાન્ય સ્ત્રી,1,સામાન્યસ્ત્રી ર૨,0.9286,19,11,all_seats,gujarati,ocr,86.95,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,સાણંદ,Ahmedabad,5,પ્‌,1,ચેખલા,zp_member,district panchayat member,Woman,NONE,સામાન્ય સ્ત્રી,1,સામાન્યસ્ત્રીર સ,0.9286,14,12,all_seats,gujarati,ocr,80.41,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,દૈત્રોજ,Ahmedabad,6,€,1,દેત્રોજ,zp_member,district panchayat member,BC Other than Woman,BC,સા.શૈ.પછાતવર્ગ,0,સા.શૈ.પછાતવર્ગ,1.0,27,au,all_seats,gujarati,ocr,73.3,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,ઘોલેરા,Ahmedabad,7,7,1,ઘોલેરા,zp_member,district panchayat member,Other than Woman,NONE,બિન અનામત સામાન્ય,0,બિનઅનામત સામાન્ય,1.0,30,Re,all_seats,gujarati,ocr,72.6,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,ધંધુકા,Ahmedabad,8,8,1,ગલસાણા,zp_member,district panchayat member,Other than Woman,NONE,બિન અનામત સામાન્ય,0,બિનઅનામત સામાન્ય,1.0,18,15 [|,all_seats,gujarati,ocr,79.25,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,બાવળા,Ahmedabad,9,9: .,1,ગાંગક ક,zp_member,district panchayat member,Other than Woman,NONE,બિન અનામત સામાન્ય,0,બિનઅનામતસામાન્ય,1.0,17. |,18,all_seats,gujarati,ocr,65.18,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,વિરમગામ,Ahmedabad,10,| 10,1,ઘોડા,zp_member,district panchayat member,Woman,NONE,સામાન્ય સ્ત્રી,1,સામાન્ય સ્ત્રી ],1.0,' 1,27,all_seats,gujarati,ocr,65.53,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,ઘંધુકા,Ahmedabad,11,11,1,હડાળા,zp_member,district panchayat member,Woman,NONE,સામાન્ય સ્ત્રી,1,સામાન્યસ્ત્રી .,1.0,15,169,all_seats,gujarati,ocr,73.05,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,ધોલેરા,Ahmedabad,12,12,1,હેબતપુર,zp_member,district panchayat member,Woman,NONE,સામાન્ય સ્ત્રી,1,સામાન્યસ્ત્રી ૨,0.963,31,| 31:,all_seats,gujarati,ocr,65.0,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,વિરમગામ,Ahmedabad,13,13,1,કરકથલથ ર,zp_member,district panchayat member,Other than Woman,NONE,બિન અનામત સામાન્ય,0,બિન અનામત સામાન્ય .,1.0,3,| રટ,all_seats,gujarati,ocr,78.51,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,દશકોઈ,Ahmedabad,14,14,1,ક્રાસીન્દ્રા,zp_member,district panchayat member,Other than Woman,NONE,બિન અનામત સામાન્ય,0,બિનઅનામત સામાન્ય,1.0,20 ',8 |,all_seats,gujarati,ocr,73.1,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,ધોળકા,Ahmedabad,15,15 1,1,કૌકાઃ,zp_member,district panchayat member,SC Woman,SC,અનુસૂચિત જાતિ સ્ત્રી,1,અનુસૂચિતજાતિસ્ત્રી,1.0,€,7,all_seats,gujarati,ocr,84.49,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,બાવળા,Ahmedabad,16,146,1,કાવીઠા,zp_member,district panchayat member,SC Woman,SC,અનુસૂચિત જાતિ સ્ત્રી,1,અનુસૂચિતજાતિસ્ત્રી,1.0,પ,14,all_seats,gujarati,ocr,89.01,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,ધોળકા,Ahmedabad,17,17 |,1,કોઠ,zp_member,district panchayat member,SC Other than Woman,SC,અનુસૂચિત જાતિ,0,અનુસૂચિત જાતિ,1.0,7,17,all_seats,gujarati,ocr,89.87,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,દશકોઈ,Ahmedabad,18,18,1,કુહા. ડિ,zp_member,district panchayat member,Woman,NONE,સામાન્ય સ્ત્રી,1,સામાન્ય સ્ત્રી,1.0,34,30,all_seats,gujarati,ocr,63.62,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,દસકોઈ,Ahmedabad,19,19,1,કુંજાડ,zp_member,district panchayat member,Other than Woman,NONE,બિન અનામત સામાન્ય,0,બિનઅનામતસામાન્ય,1.0,રટ,13,all_seats,gujarati,ocr,79.66,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,માંડ્લ,Ahmedabad,20,Xe),1,માંડલ,zp_member,district panchayat member,SC Other than Woman,SC,અનુસૂચિત જાતિ,0,અનુસૂચિત જાતિ,1.0,8,ર3 |,all_seats,gujarati,ocr,77.75,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,સાણંદ,Ahmedabad,21,24,1,માણકોલ 1,zp_member,district panchayat member,Other than Woman,NONE,બિન અનામત સામાન્ય,0,બિનઅનામતસામાન્ય,1.0,12,22,all_seats,gujarati,ocr,91.21,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,સાણંદ,Ahmedabad,22,2ર,1,મોડાસર,zp_member,district panchayat member,Woman,NONE,સામાન્ય સ્ત્રી,1,સામાન્ય સ્ત્રી,1.0,9,33,all_seats,gujarati,ocr,84.89,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,સાણંદ,Ahmedabad,23,23,1,મોરૈયા ર,zp_member,district panchayat member,Other than Woman,NONE,બિન અનામત સામાન્ય,0,બિન અનામત સામાન્ય,1.0,10,10,all_seats,gujarati,ocr,90.8,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,દશકોઈ,Ahmedabad,24,24,1,નાંદેજ ૨,zp_member,district panchayat member,Other than Woman,NONE,બિન અનામત સામાન્ય,0,બિન અનામત સામાન્ય _,1.0,22,9,all_seats,gujarati,ocr,84.76,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,બાવળા,Ahmedabad,25,25,1,નાનોદરા,zp_member,district panchayat member,Other than Woman,NONE,બિન અનામત સામાન્ય,0,બિનઅનામત સામાન્ય,1.0,21,ષ્‌,all_seats,gujarati,ocr,71.84,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,વિરમગામ,Ahmedabad,26,ze,1,સચાણા,zp_member,district panchayat member,Other than Woman,NONE,બિન અનામત સામાન્ય,0,બિન અનામત સામાન્ય,1.0,13,19,all_seats,gujarati,ocr,85.53,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,ધોળકા,Ahmedabad,27,27,1,સાથળ,zp_member,district panchayat member,Woman,NONE,સામાન્ય સ્ત્રી,1,સામાન્ય સ્ત્રી,1.0,4,4,all_seats,gujarati,ocr,92.68,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,વિરમગામ,Ahmedabad,28,28,1,શાહપ્‌ર,zp_member,district panchayat member,ST Woman,ST,અનુસૂચિત આદિજાતિ સ્ત્રી,1,અનુસૂચિત આદિજાતિસ્ત્રી *,1.0,28,2,all_seats,gujarati,ocr,82.36,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,બાવળા,Ahmedabad,29,29,1,શિયાળ,zp_member,district panchayat member,Woman,NONE,સામાન્ય સ્ત્રી,1,સામાન્ય સ્ત્રી :,1.0,32,,all_seats,gujarati,ocr,80.05,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,દશક્ોઈ,Ahmedabad,30,30,1,સીંગરવા,zp_member,district panchayat member,Woman,NONE,સામાન્ય સ્ત્રી,1,સામાન્ય સ્ત્રી,1.0,સ્પ,€,all_seats,gujarati,ocr,81.8,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,માંડલ,Ahmedabad,31,31,1,સીતાપુર,zp_member,district panchayat member,Woman,NONE,સામાન્ય સ્ત્રી,1,સામાન્ય સ્ત્રી »,1.0,23,ઝુર્‌,all_seats,gujarati,ocr,70.26,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,દેત્રોજ,Ahmedabad,32,32,1,સુંવાળા,zp_member,district panchayat member,Woman,NONE,સામાન્ય સ્ત્રી,1,સામાન્ય સ્ત્રી,1.0,29,29,all_seats,gujarati,ocr,90.3,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,ધોળકા,Ahmedabad,33,33,1,વટામણ,zp_member,district panchayat member,Other than Woman,NONE,બિન અનામત સામાન્ય,0,બિન અનામત સામાન્ય,1.0,ર4,રય,all_seats,gujarati,ocr,83.02,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
Gujarat,2020,Ahmedabad,સાણંદ,Ahmedabad,34,34,1,વિરોચેનનગર,zp_member,district panchayat member,Other than Woman,NONE,બિન અનામત સામાન્ય,0,ભનસનામત સામાન્ય,0.8276,16,34,all_seats,gujarati,ocr,69.93,data/gujarat/2020_reservation/zp_member_ahmedabad_dp_2020.pdf,10,zp_member_ahmedabad_dp_2020.pdf,https://sec.gujarat.gov.in/images/pdf/Ahmedabad-DP-2020.pdf,
