source_pdf,source_page,serial,name_ocr,district_roman,block_no,gp_no,gram_panchayat,ward_no,ward_no_ocr
CHITTERPUR MUKHIYA.pdf,1,,टुशील देवी,XVI,05,01,मायल,,
CHITTERPUR MUKHIYA.pdf,1,,राजकुमारी,XVI,05,02,सेवई दक्षिणी,,
CHITTERPUR MUKHIYA.pdf,1,,मनी देवी,XVI,05,03,सेवई उत्तरी,,
CHITTERPUR MUKHIYA.pdf,1,,प्रभा देवी,XVI,05,04,भुचूंगडीह,,
CHITTERPUR MUKHIYA.pdf,1,,दिलीप कुमार साव,XVI,05,05,चितरपुर उत्तरी,,
CHITTERPUR MUKHIYA.pdf,1,,निना देवी,XVI,05,06,बोरोबिंग,,
CHITTERPUR MUKHIYA.pdf,1,,मथुरा महतो,XVI,05,07,सुकरीगढ़ा,,
CHITTERPUR MUKHIYA.pdf,1,,उमेश राम नायक,XVI,05,08,लारीकलां,,
CHITTERPUR MUKHIYA.pdf,1,,निर्मला देवी,XVI,05,09,बड़कीपोना,,
CHITTERPUR MUKHIYA.pdf,1,,सना उल्लाह,XVI,05,10,चितरपुर पश्चिमी,,
CHITTERPUR MUKHIYA.pdf,1,,रूमा देवी उर्फ रीना देवी,XVI,05,11,चितरपुर पूर्वी,,
CHITTERPUR MUKHIYA.pdf,1,,वख्तिहार खा,XVI,05,12,चितरपुर दक्षिणी,,
CHITTERPUR MUKHIYA.pdf,1,,डोमन महतो,XVI,05,13,मारंगमरचा,,
DULMI MUKHIYA.pdf,1,,देवन्ती देवी,XVI,04,01,जमीरा,,
DULMI MUKHIYA.pdf,1,,आशो देवी,XVI,04,02,सोसो,,
DULMI MUKHIYA.pdf,1,,शैलेश कुमार चौधरी,XVI,04,03,उसरा,,
DULMI MUKHIYA.pdf,1,,ममता देवी,XVI,04,04,ईचातु,,
DULMI MUKHIYA.pdf,1,,पार्वती देवी,XVI,04,05,दुलमी,,
DULMI MUKHIYA.pdf,1,,रमेश बेदिया,XVI,04,06,पोटमदगा,,
DULMI MUKHIYA.pdf,1,,हरीवंश महतो,XVI,04,07,सीरु,,
DULMI MUKHIYA.pdf,1,,सुनिता देवी,XVI,04,08,होन्हे,,
DULMI MUKHIYA.pdf,1,,मनिकलाल महतो,XVI,04,09,सीकनी,,
DULMI MUKHIYA.pdf,1,,सुर्यनाथ सिंह,XVI,04,10,कुल्ही,,
GOLA MUKHIYA.pdf,1,,विशाल करमाली,XVI,06,01,हेसापोड़ा,,
