state,year,district,district_declared,block,halqa,ward_no,ward_name,tier,tier_local,reservation,caste_reservation,woman_reserved,listing_scope,pop_sc,pop_st,pop_oc,pop_total,reservation_raw,script,source_path,source_page,source_pdf
Jammu & Kashmir,2016,Doda,,1. Assar,1. Assar- Ginota,,,gp_head,sarpanch,Woman,NONE,1,all_seats,0,0,192,192,Women,latin,data/jk/2016/Annex A Doda.pdf,1,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,1. Assar,2. Bibrota,,,gp_head,sarpanch,Other than Woman,NONE,0,all_seats,0,0,389,389,Open,latin,data/jk/2016/Annex A Doda.pdf,1,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,1. Assar,3. Blandpur,,,gp_head,sarpanch,SC Other than Woman,SC,0,all_seats,286,0,3,289,SC,latin,data/jk/2016/Annex A Doda.pdf,2,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,1. Assar,4. Chaka- A-1,,,gp_head,sarpanch,Woman,NONE,1,all_seats,120,0,320,440,Women,latin,data/jk/2016/Annex A Doda.pdf,3,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,1. Assar,5. Chaka- A-2,,,gp_head,sarpanch,Other than Woman,NONE,0,all_seats,0,0,316,316,Open,latin,data/jk/2016/Annex A Doda.pdf,3,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,1. Assar,6. Chaka- B,,,gp_head,sarpanch,Other than Woman,NONE,0,all_seats,0,0,356,356,Open,latin,data/jk/2016/Annex A Doda.pdf,4,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,1. Assar,7. Chill,,,gp_head,sarpanch,Woman,NONE,1,all_seats,0,0,156,156,Women,latin,data/jk/2016/Annex A Doda.pdf,5,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,1. Assar,8. Chirota- A,,,gp_head,sarpanch,ST Other than Woman,ST,0,all_seats,0,326,10,336,ST,latin,data/jk/2016/Annex A Doda.pdf,5,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,1. Assar,9. Chirota- B,,,gp_head,sarpanch,Other than Woman,NONE,0,all_seats,5,247,0,252,Open,latin,data/jk/2016/Annex A Doda.pdf,5,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,1. Assar,10. Kuthyara,,,gp_head,sarpanch,Woman,NONE,1,all_seats,48,0,303,351,Women,latin,data/jk/2016/Annex A Doda.pdf,6,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,1. Assar,11. Ramgarh Kurmail,,,gp_head,sarpanch,SC Other than Woman,SC,0,all_seats,150,0,0,150,SC,latin,data/jk/2016/Annex A Doda.pdf,7,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,1. Assar,12. Ranka,,,gp_head,sarpanch,Other than Woman,NONE,0,all_seats,64,0,170,234,Open,latin,data/jk/2016/Annex A Doda.pdf,7,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,1. Assar,13. Shamthi,,,gp_head,sarpanch,Other than Woman,NONE,0,all_seats,0,0,401,401,Open,latin,data/jk/2016/Annex A Doda.pdf,8,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,1. Bheja,,,gp_head,sarpanch,SC Woman,SC,1,all_seats,140,0,55,195,SC Women,latin,data/jk/2016/Annex A Doda.pdf,8,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,2. Butla,,,gp_head,sarpanch,ST Other than Woman,ST,0,all_seats,0,108,0,108,ST,latin,data/jk/2016/Annex A Doda.pdf,9,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,3. Chakka,,,gp_head,sarpanch,Other than Woman,NONE,0,all_seats,0,0,310,310,Open,latin,data/jk/2016/Annex A Doda.pdf,9,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,4. Chanchor a,,,gp_head,sarpanch,Woman,NONE,1,all_seats,30,0,205,235,Women,latin,data/jk/2016/Annex A Doda.pdf,9,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,5. Chinote,,,gp_head,sarpanch,Other than Woman,NONE,0,all_seats,40,65,165,270,Open,latin,data/jk/2016/Annex A Doda.pdf,10,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,6. Dandi,,,gp_head,sarpanch,ST Other than Woman,ST,0,all_seats,0,165,0,165,ST,latin,data/jk/2016/Annex A Doda.pdf,10,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,7. Dhareja,,,gp_head,sarpanch,Woman,NONE,1,all_seats,0,0,112,112,Women,latin,data/jk/2016/Annex A Doda.pdf,11,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,8. Diggi,,,gp_head,sarpanch,Other than Woman,NONE,0,all_seats,30,10,125,165,Open,latin,data/jk/2016/Annex A Doda.pdf,11,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,9. Drodhu,,,gp_head,sarpanch,Other than Woman,NONE,0,all_seats,126,0,160,286,Open,latin,data/jk/2016/Annex A Doda.pdf,11,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,10. Dugga,,,gp_head,sarpanch,SC Woman,SC,1,all_seats,183,0,82,265,SC Women,latin,data/jk/2016/Annex A Doda.pdf,12,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,11. Gatha,,,gp_head,sarpanch,Other than Woman,NONE,0,all_seats,0,0,284,284,Open,latin,data/jk/2016/Annex A Doda.pdf,12,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,12. Guttassa,,,gp_head,sarpanch,SC Other than Woman,SC,0,all_seats,140,0,20,160,SC,latin,data/jk/2016/Annex A Doda.pdf,13,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,13. Hanga,,,gp_head,sarpanch,SC Woman,SC,1,all_seats,149,0,55,204,SC Women,latin,data/jk/2016/Annex A Doda.pdf,13,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,14. Jalga,,,gp_head,sarpanch,Other than Woman,NONE,0,all_seats,18,0,58,76,Open,latin,data/jk/2016/Annex A Doda.pdf,13,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,15. Katyara,,,gp_head,sarpanch,Other than Woman,NONE,0,all_seats,0,0,168,168,Open,latin,data/jk/2016/Annex A Doda.pdf,14,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,16. Kursari,,,gp_head,sarpanch,Woman,NONE,1,all_seats,0,0,170,170,Women,latin,data/jk/2016/Annex A Doda.pdf,14,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,17. Manthla,,,gp_head,sarpanch,SC Other than Woman,SC,0,all_seats,382,0,0,382,SC,latin,data/jk/2016/Annex A Doda.pdf,14,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,18. Manwah,,,gp_head,sarpanch,Other than Woman,NONE,0,all_seats,0,26,145,171,Open,latin,data/jk/2016/Annex A Doda.pdf,15,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,19. Misrata,,,gp_head,sarpanch,Woman,NONE,1,all_seats,44,0,263,307,Women,latin,data/jk/2016/Annex A Doda.pdf,15,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,20. Nalthi,,,gp_head,sarpanch,Other than Woman,NONE,0,all_seats,0,11,254,265,Open,latin,data/jk/2016/Annex A Doda.pdf,15,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,21. Neota,,,gp_head,sarpanch,Other than Woman,NONE,0,all_seats,125,0,80,205,Open,latin,data/jk/2016/Annex A Doda.pdf,16,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,22. Sadder,,,gp_head,sarpanch,Woman,NONE,1,all_seats,25,11,182,218,Women,latin,data/jk/2016/Annex A Doda.pdf,16,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,23. Sarna,,,gp_head,sarpanch,Other than Woman,NONE,0,all_seats,6,0,197,203,Open,latin,data/jk/2016/Annex A Doda.pdf,17,Annex A Doda.pdf
Jammu & Kashmir,2016,Doda,,2. Bhaderw ah,24. Sartingal,,,gp_head,sarpanch,Other than Woman,NONE,0,all_seats,0,0,207,207,Open,latin,data/jk/2016/Annex A Doda.pdf,17,Annex A Doda.pdf
