state,year,district,block,halqa,ward_no,ward_name,tier,reservation,caste_reservation,woman_reserved,listing_scope,pop_sc,pop_st,pop_oc,pop_total,reservation_raw,script,source_path,source_page,source_pdf
Jammu & Kashmir,2010,,,Mahore,I,Mahore Proper,ward,Woman,NONE,1,all_seats,,,,,Women,latin,data/jk/2010/(Mahore).pdf,1,(Mahore).pdf
Jammu & Kashmir,2010,,,Mahore,II,Acharlla,ward,ST Other than Woman,ST,0,all_seats,,,,,ST,latin,data/jk/2010/(Mahore).pdf,1,(Mahore).pdf
Jammu & Kashmir,2010,,,Mahore,III,Kund,ward,ST Other than Woman,ST,0,all_seats,,,,,ST,latin,data/jk/2010/(Mahore).pdf,1,(Mahore).pdf
Jammu & Kashmir,2010,,,Mahore,IV,Phari Lower,ward,ST Woman,ST,1,all_seats,,,,,ST/W,latin,data/jk/2010/(Mahore).pdf,1,(Mahore).pdf
Jammu & Kashmir,2010,,,Mahore,V,Batangwali,ward,ST Other than Woman,ST,0,all_seats,,,,,ST,latin,data/jk/2010/(Mahore).pdf,1,(Mahore).pdf
Jammu & Kashmir,2010,,,Mahore Ganjote,I,Ganjote,ward,ST Woman,ST,1,all_seats,,,,,ST/W,latin,data/jk/2010/(Mahore).pdf,1,(Mahore).pdf
Jammu & Kashmir,2010,,,Mahore Ganjote,II,Dogian,ward,ST Other than Woman,ST,0,all_seats,,,,,ST,latin,data/jk/2010/(Mahore).pdf,1,(Mahore).pdf
Jammu & Kashmir,2010,,,Mahore Ganjote,III,Bandi Upper,ward,ST Other than Woman,ST,0,all_seats,,,,,ST,latin,data/jk/2010/(Mahore).pdf,1,(Mahore).pdf
Jammu & Kashmir,2010,,,Mahore Ganjote,IV,Malaie,ward,ST Woman,ST,1,all_seats,,,,,ST/W,latin,data/jk/2010/(Mahore).pdf,1,(Mahore).pdf
Jammu & Kashmir,2010,,,Mahore Ganjote,VI,Kotea,ward,ST Other than Woman,ST,0,all_seats,,,,,ST,latin,data/jk/2010/(Mahore).pdf,1,(Mahore).pdf
Jammu & Kashmir,2010,,,Mahor Kansooli,I,Kansooli,ward,ST Woman,ST,1,all_seats,,,,,ST/W,latin,data/jk/2010/(Mahore).pdf,1,(Mahore).pdf
Jammu & Kashmir,2010,,,Mahor Kansooli,II,Phari,ward,ST Other than Woman,ST,0,all_seats,,,,,ST,latin,data/jk/2010/(Mahore).pdf,1,(Mahore).pdf
Jammu & Kashmir,2010,,,Mahor Kansooli,IV,Hari,ward,ST Woman,ST,1,all_seats,,,,,ST/W,latin,data/jk/2010/(Mahore).pdf,1,(Mahore).pdf
Jammu & Kashmir,2010,,,Mahor Kansooli,V,Kopra,ward,ST Other than Woman,ST,0,all_seats,,,,,ST,latin,data/jk/2010/(Mahore).pdf,1,(Mahore).pdf
Jammu & Kashmir,2010,,,Mahor Kansooli,VI,Krua Wali,ward,ST Other than Woman,ST,0,all_seats,,,,,ST,latin,data/jk/2010/(Mahore).pdf,1,(Mahore).pdf
Jammu & Kashmir,2010,,,Mahore Jamlan,I,Jamlan,ward,ST Woman,ST,1,all_seats,,,,,ST/W,latin,data/jk/2010/(Mahore).pdf,1,(Mahore).pdf
Jammu & Kashmir,2010,,,Mahore Jamlan,II,Hill,ward,ST Other than Woman,ST,0,all_seats,,,,,ST,latin,data/jk/2010/(Mahore).pdf,1,(Mahore).pdf
Jammu & Kashmir,2010,,,Mahore Jamlan,IV,Sohab Kalla,ward,ST Woman,ST,1,all_seats,,,,,ST/W,latin,data/jk/2010/(Mahore).pdf,1,(Mahore).pdf
Jammu & Kashmir,2010,,,Bathoie-A,I,Bathoie Proper,ward,Woman,NONE,1,all_seats,,,,,Women,latin,data/jk/2010/(Mahore).pdf,1,(Mahore).pdf
