wardyear_num,rd_bad_patch_potholes,ws_burst_water_main_lines,bld_change_user_res_comm,strm_cleaning_of_open_swd,drain_cleaning_of_septic_tank,strm_cleaning_water_entrance,strm_cleaning_removal_of_silt,swm_clean_rep_block_channels,swm_collection_pt_not_attend,misc_complaints_miscellenous,ws_contaminated_water_supply,rd_digging_of_roads,drain_drainage_choke_blockage,gdn_fallen_tree_on_road,strm_flooding_during_monsoon,pst_fogging,swm_gbg_lorry_not_report_cove,swm_gbg_not_lifted_gully,swm_gbg_not_lifted_mun_market,swm_gbg_not_lifted_from_road,encr_hawkers,bld_heavy_leakage_from_ceiling,heal_birth_deat_cert_issue,ws_leaks_in_water_lines_meter,gdn_lifting_of_tree_cutting,mun_maint_municipal_property,mun_major_repairs_to_mun_prop,mun_minor_repairs_to_mun_prop,pst_mosquito_nuisance,encr_municipal_colony_slum,encr_municipal_land_foot_swd,encr_municipal_plot,swm_no_attend_public_toilets,swm_non_attend_nuis_detect,ws_non_receipt_water_bills,pst_nuisance_cockroaches,encr_nuisance_due_to_vagrants,pst_nuisance_due_to_white_ants,drain_odour_from_drains,shp_online_renewal_application,shp_open_beyond_permis_hours,bld_other_buildings,misc_others,drain_others_drn,encr_others_ecnr,est_others_estate,lic_others_lic,heal_others_moh,mun_others_rnt,swm_others_swm,ws_others_was,col_others_colony_officer_col,ws_overflow_overhead_tank,drain_overflowing_drn_manhole,bld_perm_temp_monsoon_shed,gdn_perm_for_tree_cutting,encr_private_land_bldg_fact,swm_dustbins,strm_provid_manhole_cover_swd,rd_providing_rd_name_plate,drain_raising_of_manhole,pst_rat_nuisance,rd_reinstatement_of_trenches,rd_relaying_and_repairs_roads,swm_removal_of_dead_animals,swm_removal_of_debris,ws_removal_of_water_meters,strm_repair_damaged_open_swd,rd_repairs_of_road_footpath,drain_repairs_to_pipe_sewers,drain_replacement_manhole,rd_resurfacing_of_road,shp_running_without_license,ws_shortage_of_water_supply,rd_signals,swm_silt_lifted_from_road,rd_speed_breakers,rd_street_lighting,swm_sweeping_of_roads,lic_trade_without_license,gdn_trimming_of_branches,bld_unauth_alteration_bldg,lic_unauth_banners_advt_road,bld_unauth_constr_development,col_unauth_constr_in_slum,est_unauth_constr_reserve_plot,col_unauth_ext_constr,fac_unauth_factory_workshop,lic_unauth_storage_explosives,ws_unauth_tapping_water_conn,pst_unauth_uncov_water_storage,ws_unauth_use_waterchange_user,heal_unauth_food_sell,lic_unauth_stalls_road_foot,lic_unauth_workshop_or_garage,swm_unhygienic_cond_toilets,ws_use_of_booster_pump,castequota_scst,gender_election,genderquota,members,hdi,term,adminward,year,source_path
2013-A,14.625,4,15.5,,,,,,11.142857,19.5,16.111111,,8.5621302,8,,14.9,6.2647059,6.4651163,,7.4166667,16.371429,19.75,4,17.666667,6,5,12.5,19.5,16.555556,,21.708333,20,4.5,10,11.666667,55,,,,,11,30.5,15.5,11.25,19,,13.75,8.375,15.666667,9.0555556,18.2,,,11.42,,7.5,19,4,,,,35.6,,,,9.7,,30,17.548387,9.25,10.583333,,,11.354839,,8.5,,18,7.2727273,17.6,18.5,22.533333,27.1,20.851852,,,,5,,5,,,8,19,25,,13,0.5,0,0.5,4,0.58,2012,A,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2013-B,25.333333,,,10,,,,5,7.8333333,,4.4516129,,7.1317829,,,,11.8,10.135135,,6.8484848,38.2,5.1,,4,12,,,,,,22,18,,10.7,,,,,,,15,9.8971963,11.5,11.5,28.545455,,17.5625,24.555556,,9.4159664,5.2520325,,2,6.5833333,,,5.5,,,,,,,,21,9.1428571,,,,,9.75,,6.5,4.7333333,,7.8888889,,,16.777778,23.5,,6.9166667,29,7.754717,,,,,,3.5263158,,2,23,11.333333,,,4,0.3333333,0,0.3333333,3,0.71,2012,B,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2013-C,7.6875,3.3333333,,,17.75,9.75,17,,,14.2,9.3137255,,10.114286,,,,12.333333,22.105263,,19.521739,27.318182,,10.333333,8,,11,,,25.8,,17.619048,,11,20.8,4,,,,14.5,,,6,,20.1,28.666667,,,8.6666667,28,23.25,8.1875,,8,19.575,,22,,24,,8,,13,,,,23.25,,,22.166667,19.8,16,,17.2,11.446429,,15.666667,,9,14.333333,,,21,25.25,14.342857,,,,,,7.6666667,,,21,20,,,9.3333333,0.3333333,0,0.5,4,0.89,2012,C,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2013-D,25.521739,,16.857143,33,33.5,21,,11,13.9,16.962963,10.238095,,7.4251012,17.705882,,9.5882353,15.875,16.837209,21,16.2,12,17.6875,,6.453125,22.5,18.25,23.333333,19.142857,13,,20.058824,5,,11.916667,6.75,,,18,9,,,18.111702,22.3,19.75,17,,13.785714,28.5,21.714286,17.985163,5.962963,16,4.4,13.567164,,14,16.8,,,,,18.457143,14,,5.5,17.677419,,,24.736842,,11.6,,23,5.4390244,,18.571429,,20.2,25,12.266667,14.8,19.765957,12.794118,18.087912,24,,,23,,5.4,,4,33.75,17.705882,16.25,,7.5,0,0,0.2857143,7,0.96,2012,D,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2013-E,23.428571,26.2,12,,5,,,11,20,9,12.375,,4.875,,,12.851064,13,14.851852,,12.222222,25.384615,19,,15.857143,14.5,12.333333,,,15.858824,,31,,,8.7142857,,14,,46,16.5,,38,29.111111,20.333333,24,60,,,,,13.721311,15.1,,22,12.948276,32,22,35.8,15.5,,,,14.673077,,,,15.583333,,,34.25,4,15.944444,,58,14.857143,,18.25,,,21,,17.666667,29.615385,27,29.858974,,,,25,,16.105263,,11.333333,,,,,9.5,0.25,0,0.375,8,0.54,2012,E,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2013-FN,9.25,10,,20.25,18,32,,,16.5,28,24.666667,,6.9398907,,15,29.1,31.454545,26.833333,,22.041667,36.133333,16,,12.625,,,,,22.05,,27,,19,18.25,,,,,,,,17.666667,10,28.5,14,,,,,19.5,19.666667,,32,15.947368,,14,5,25.333333,,,,30.428571,,,,18.166667,,,25.5,23,10,,,21.4,,36,,30,17.866667,,30,8,7.75,17,,,,,,23.230769,,35,,,,,,0.3333333,0,0.6,10,0.41,2012,FN,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2013-FS,19.142857,,38.745,24,12,25,,,3,22,10.25,,8.4233113,,,21.5625,30.8,6,,12.4,65.162791,,,13.699333,9.3333333,17,,,20.133333,,20.1875,,,10,,20,,,37,,24,41.5,22.25,18,22.4,,,33,24,29.285714,7,11,,9.9840625,,,37,,,,,14.166667,,,,14,,,25.25,8.5,4.7333333,,18,21.298,,8,,,,,,32.125,13.106429,25.055556,,,,,,38.5,,11,,33.75,,,18,0.4285714,0,0.5714286,7,0.67,2012,FS,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2013-GN,9.5588235,3.5,9,10.333333,17.428571,12.5,13,,11.714286,33,15.764706,,9.4122449,37.333333,21,15,9.3571429,14.277778,,15.6875,25.956522,32,9,7.3043478,17.4375,,16,15,15.016949,,18.636364,11,6,12.678571,5.25,4,,,13.5,,5.25,22.166667,4.6666667,14.125,19.222222,,23,18.2,9.7692308,14.884615,14.571429,,8,13.358025,,15.8,16.833333,12.25,,,,19.5,4,,,12.451613,,16,11.894737,12.666667,19.8,,6.6666667,11.65625,28,7.6666667,3,13.230769,14.947368,9.5555556,28.533333,18.03125,16.585366,20.979167,26,13,,11.363636,50,9.6326531,,8.25,22.769231,26.142857,22.5,,8.4,0.6,0,0.2727273,11,0.49,2012,GN,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2013-GS,19.444444,,40,14,1.75,12,,,2.125,29.333333,9.5,,3.7768116,12,18,33.117647,2.1,1.6,2,1.5384615,41.5,,15,19.166667,2.1538462,,8,,28.125,,21.642857,19.769231,2.5,1.9090909,27,,,,17.5,4,4.5,27.428571,12,19,37.5,,,21.25,19.142857,2.3333333,9,,6,9.3333333,21,15.666667,6,2,,,,34,15,,,2.1666667,,,26,12,5.5,,5.8,12.166667,,2,12,6,2.4,,15.333333,21.928571,46.444444,24.014085,,,,,,21.5,,,15.4,23.222222,41.5,,,0.4444444,0,0.7777778,9,0.66,2012,GS,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
2013-HE,15.714286,10,,,24,,,,17,7,9.9047619,,4.9635036,,,13.666667,16.666667,44.5,,28.555556,28.518519,,14,10.666667,13,,,,23,,,,,,17,,,8,,,13,35,14.5,,14.5,,,24,34,18.333333,10.625,,,9.75,,,,15,,,,21,,,,34.5,,,,,,,20,12,,,,,29,,,17.8,26.96,31.25,,,,,,20.909091,,11,25,22.5,,,19,0.3636364,0,0.5454546,11,0.47,2012,HE,2013,data/maharashtra/mumbai/dataverse_IO9SLQ/fulldata_reshaped.tab
