state,body,ward_no,survey_year,councillor,councillor_woman,councillor_party,councillor_age,councillor_education,councillor_professional_education,councillor_pan_card,councillor_criminal_cases,council,councillor_spell_id,woman_reserved,reservation_raw,total_funds,funds_prop,gbm_attended,total_gbms,ward_attendance,total_ward_meetings,other_meetings,total_other_meetings,total_questions,slum,samplesize,adminward,rating_roads,rating_traffic,rating_gardens,rating_transport,rating_rations,rating_hospitals,rating_schools,rating_power,rating_water,rating_flooding,rating_pollution,rating_crime,rating_law_order,rating_sanitation,rating_recall_party,rating_recall_name,rating_accessibility,rating_satisfaction,rating_corruption,rating_quality_of_life,rating_footpaths,questions_corporation,questions_crimecorrupt,questions_culture,questions_distribution,questions_education,questions_health,questions_housing,questions_humanres,questions_license,questions_otherinfrastructure,questions_pollution,questions_recreationcommunity,questions_renaming,questions_tax,questions_transport,questions_watertoilets,questions_other,rating_flags,source_path
Maharashtra,Brihanmumbai Municipal Corporation,1,2011,Sheetal Ashok Mhatre,1,INC,,,,,,2007,1,1,W,,,27,51,11,19,0,0,3,0.47,133,R/N,73.837,66.214,70.83,71.156,,74.897,74.933,75.647,72.249,62.865,61.757,64.661,68.669,67.922,,,,,74.49,,,0,0,0,0,0,0,0.33333334,0,0.33333334,0,0,0,0,0,0.33333334,0,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,1,2013,Abhishek Vinod Ghosalkar,0,SS,30,HSC,Maharashtra Board Technical Education,Yes,0,2012,2,0,,5959462,0.9932437,56,70,19,19,19,29,21,0.47,,R/N,60.819,56.096,53.886,72.03,58.348,58.095,61.446,76.378,76.293,53.249,49.813,50.852,54.341,53.183,1.5,32.2,50.28,64.135,61.0475,72.0325,,0,0.04761905,0,0,0,0,0.04761905,0,0.04761905,0,0.04761905,0.14285715,0.2857143,0,0.2857143,0,0.0952381,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,1,2014,Abhishek Vinod Ghosalkar,0,SS,31,HSC,Maharashtra Board Technical Education,Yes,0,2012,2,0,,1.1965E7,0.9970833,53,65,11,17,17,24,41,0.47,,R/N,45.64,42.198,38.447,52.177,41.887,48.3,49.307,51.507,49.305,41.868,39.069,41.162,41.581,39.984,1.2,10,43.66,48.53,66.1425,61.6525,,0.12195122,0.024390243,0,0.024390243,0,0,0.17073171,0.07317073,0.07317073,0.07317073,0.048780486,0,0,0.024390243,0.2682927,0.07317073,0.024390243,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,1,2015,Abhishek Vinod Ghosalkar,0,SS,32,HSC,Maharashtra Board Technical Education,Yes,0,2012,2,0,,4494000,0.749,61,79,6,19,15,22,45,0.47,,R/N,70.464,72.932,66.741,77.479,49.875,70.953,78.756,83.996,76.975,63.294,70.496,67.465,70.729,78.173,64.1,65.1,70.05666,77.3075,76.535,72.99,,0.022222223,0,0.11111111,0.044444446,0.13333334,0.22222222,0.33333334,0,0,0,0.022222223,0.022222223,0,0.044444446,0.022222223,0.022222223,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,1,2016,Abhishek Vinod Ghosalkar,0,SS,33,HSC,Maharashtra Board Technical Education,Yes,0,2012,2,0,,6322697,0.5268914,60,74,16,18,13,18,32,0.47,,R/N,80.09,69.053,76.375,81.033,64.648,76.093,75.082,76.291,75.436,75.607,77.331,76.569,74.993,75.81,40.2,54.7,63.246666,77.7725,72.985,71.8125,,0.0625,0,0.09375,0,0.03125,0.03125,0.03125,0.25,0.0625,0,0.09375,0,0,0,0.0625,0.0625,0.21875,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,1,2018,Tejasvee Abhishek Ghosalkar,1,SS,31,Graduate,,Yes,0,2017,3,1,W,5579523.5,0.92992055,91,102,31,36,23,30,23,0.47,,R/N,59.022,60.578,61.025,66.42,,68.747,68.8,71.486,77.819,58.433,61.913,62.176,71.913,59.655,67.1,41,57.616665,61.695,71.755,71.8475,61.295,0,0,0,0,0.04347826,0.13043478,0.17391305,0.04347826,0.17391305,0,0,0,0.17391305,0,0.08695652,0.04347826,0.13043478,satisfaction_inverted,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,2,2011,Bhalchandra Chintaman Mhatre,0,SS,,,,,,2007,334,0,,,,48,51,14,19,9,13,9,0.47,184,R/N,72.527,68.656,68.691,67.708,,73.314,70.381,71.676,65.854,65.515,65.571,65.462,64.6,66.741,,,,,69.2575,,,0,0,0,0,0,0,0.22222222,0,0,0,0,0,0.44444445,0,0.11111111,0.22222222,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,2,2013,Sheetal Mukesh Mhatre,1,SS,39,B.A.,Public Relation and Journalism,Yes,0,2012,335,1,W,5624456.5,0.9374094,63,70,15,19,14,18,21,0.47,,R/N,73.654,60.699,59.821,77.911,71.434,74.667,72.173,83.398,81.396,64.272,59.57,59.62,63.847,64.711,25.9,71,65.77333,69.8575,63.165,70.8675,,0,0,0.14285715,0.0952381,0.04761905,0.23809524,0.0952381,0,0,0,0,0,0.3809524,0,0,0,0,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,2,2014,Sheetal Mukesh Mhatre,1,SS,40,B.A.,Public Relation and Journalism,Yes,0,2012,335,1,W,1.1462E7,0.95516664,60,65,12,17,15,17,25,0.47,,R/N,54.225,54.424,44.551,54.705,47.507,53.038,55.103,58.628,54.349,50.504,49.914,47.444,50.965,45.017,8.1,14.2,56.906666,58.1725,62.605,67.655,,0.04,0,0.08,0.04,0.04,0.32,0.2,0,0,0,0.04,0,0,0,0.12,0,0.12,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
Maharashtra,Brihanmumbai Municipal Corporation,2,2015,Sheetal Mukesh Mhatre,1,SS,41,B.A.,Public Relation and Journalism,Yes,0,2012,335,1,W,3495000,0.5825,67,79,17,19,15,24,30,0.47,,R/N,67.361,62.555,57.629,75.89,51.167,75.523,78.003,84.843,70.468,53.025,65.187,65.4,71.061,67.736,80.8,89,72.416664,74.805,81.035,73.595,,0.06666667,0,0.06666667,0.033333335,0.033333335,0.13333334,0.16666667,0.033333335,0.06666667,0,0.13333334,0.06666667,0.06666667,0.033333335,0.033333335,0.033333335,0.033333335,,data/maharashtra/mumbai/dataverse_IO9SLQ/mumbai_full.tab
