sr_no,district,municipal_board_council_corp,name,ward_no,ward_category,elected_member_name,age,party,gender,cand_category
1,AJMER,NAGARP ARISHAD,BEAW AR,1,GENERAL,NARESH KUMAR,38,BJP,MALE,SC
2,AJMER,NAGARP ARISHAD,BEAW AR,2,OBC WOMEN,MUNNI DEVI,24,BJP,FEMALE,OBC
3,AJMER,NAGARP ARISHAD,BEAW AR,3,OBC WOMEN,SUNITA BHATI,41,BJP,FEMALE,OBC
4,AJMER,NAGARP ARISHAD,BEAW AR,4,GEN WOMEN,KAMLA DAGDI,52,BJP,FEMALE,OBC
5,AJMER,NAGARP ARISHAD,BEAW AR,5,SC,GIRDHARI LAL,57,IND,MALE,SC
6,AJMER,NAGARP ARISHAD,BEAW AR,6,GENERAL,MANOJ RAJ TANWAR,32,BJP,MALE,OBC
7,AJMER,NAGARP ARISHAD,BEAW AR,7,GENERAL,VIRENDRA SINGH,28,BJP,MALE,OBC
8,AJMER,NAGARP ARISHAD,BEAW AR,8,GENERAL,VEDRAJ,58,BJP,MALE,OBC
9,AJMER,NAGARP ARISHAD,BEAW AR,9,GENERAL,MANGAT SINGH,39,BJP,MALE,OBC
10,AJMER,NAGARP ARISHAD,BEAW AR,10,SC WOMEN,KARUNA,36,INC,FEMALE,SC
11,AJMER,NAGARP ARISHAD,BEAW AR,11,GEN WOMEN,SANTOSH SHARMA,37,INC,FEMALE,GENERAL
12,AJMER,NAGARP ARISHAD,BEAW AR,12,SC,RAVI KUMAR,40,BJP,MALE,SC
13,AJMER,NAGARP ARISHAD,BEAW AR,13,GENERAL,ANGAD RAM AJMERA,58,BJP,MALE,OBC
14,AJMER,NAGARP ARISHAD,BEAW AR,14,GENERAL,TRILOK SHARMA,44,IND,MALE,GENERAL
15,AJMER,NAGARP ARISHAD,BEAW AR,15,GENERAL,BHUVNESH SHARMA,29,INC,MALE,GENERAL
16,AJMER,NAGARP ARISHAD,BEAW AR,16,OBC,ABDUL MAJID,66,INC,MALE,OBC
17,AJMER,NAGARP ARISHAD,BEAW AR,17,GEN WOMEN,PREETI,46,BJP,FEMALE,GENERAL
18,AJMER,NAGARP ARISHAD,BEAW AR,18,GENERAL,BHARAT BHAGMAR,41,IND,MALE,SC
19,AJMER,NAGARP ARISHAD,BEAW AR,19,GENERAL,SURENDRA SONI,43,IND,MALE,OBC
20,AJMER,NAGARP ARISHAD,BEAW AR,20,OBC,VIKAS DAGDI,44,INC,MALE,OBC
21,AJMER,NAGARP ARISHAD,BEAW AR,21,GENERAL,RAJENDRA TUNGARIYA,45,INC,MALE,SC
22,AJMER,NAGARP ARISHAD,BEAW AR,22,SC WOMEN,SWATI PHULWARI,24,IND,FEMALE,SC
23,AJMER,NAGARP ARISHAD,BEAW AR,23,SC,GOVIND P ADITAN,38,IND,MALE,SC
24,AJMER,NAGARP ARISHAD,BEAW AR,24,GENERAL,BHARAT KUMAR BANDHIWAL,34,INC,MALE,OBC
25,AJMER,NAGARP ARISHAD,BEAW AR,25,GENERAL,RAMNIWAS SEN,61,INC,MALE,OBC
26,AJMER,NAGARP ARISHAD,BEAW AR,26,OBC,RAKESH SAHU,32,INC,MALE,OBC
27,AJMER,NAGARP ARISHAD,BEAW AR,27,SC,GHANSHYAM PHULWARI,38,INC,MALE,SC
28,AJMER,NAGARP ARISHAD,BEAW AR,28,GEN WOMEN,SANTOSH,51,INC,FEMALE,GENERAL
29,AJMER,NAGARP ARISHAD,BEAW AR,29,OBC WOMEN,REKHA KUMAWAT,35,BJP,FEMALE,OBC
30,AJMER,NAGARP ARISHAD,BEAW AR,30,GENERAL,HEMANT KUMAWAT,42,IND,Male,OBC
31,AJMER,NAGARP ARISHAD,BEAW AR,31,SC WOMEN,LALITA SINGARIYA,39,IND,FEMALE,SC
32,AJMER,NAGARP ARISHAD,BEAW AR,32,SC,DINESH KUMAR BAIRWA,42,INC,MALE,SC
33,AJMER,NAGARP ARISHAD,BEAW AR,33,SC,BHAGCHAND PHULW ARI,34,IND,MALE,SC
34,AJMER,NAGARP ARISHAD,BEAW AR,34,GENERAL,NAINARAM DEVRA,51,BJP,MALE,OBC
35,AJMER,NAGARP ARISHAD,BEAW AR,35,OBC,JITENDRA SINGH RATHOD,24,BJP,MALE,OBC
36,AJMER,NAGARP ARISHAD,BEAW AR,36,GEN WOMEN,PINKI KUMAWAT,35,BJP,FEMALE,OBC
37,AJMER,NAGARP ARISHAD,BEAW AR,37,GENERAL,JAY SINGH,38,BJP,MALE,OBC
38,AJMER,NAGARP ARISHAD,BEAW AR,38,GEN WOMEN,SARASWATI SHARMA,52,INC,FEMALE,GENERAL
39,AJMER,NAGARP ARISHAD,BEAW AR,39,GEN WOMEN,BEENA JHANWAR,54,BJP,FEMALE,GENERAL
40,AJMER,NAGARP ARISHAD,BEAW AR,40,GENERAL,VISHNU GOPAL HEDA,61,BJP,MALE,GENERAL
41,AJMER,NAGARP ARISHAD,BEAW AR,41,GENERAL,DALPAT RAJ MEWADA,36,INC,MALE,OBC
42,AJMER,NAGARP ARISHAD,BEAW AR,42,GENERAL,RAJESH KUMAR,46,INC,MALE,GENERAL
