Sr. No.,DISTRICT,MUNICIP ALITY,WARD NO.,WARD CATEG.,NAME,PARTY,ELECTED CANDIDATE (MALE/ FEMALE),"ELECTED CANDIDATE BELONGS WHICH CATEG. WHETHER GEN, SC, ST, OBC"
1,AJMER,BEAWER,1,GENW,HEMLATA AGARWAL,INC,FEMALE,GENW
2,AJMER,BEAWER,2,GENW,KANTA,BJP,FEMALE,OBCW
3,AJMER,BEAWER,3,GEN,SURENDRA YADAV,INC,MALE,OBC
4,AJMER,BEAWER,4,SCW,MUMA DEVI,INC,FEMALE,SCW
5,AJMER,BEAWER,5,OBC,DANNA SINGH,INC,MALE,OBC
6,AJMER,BEAWER,6,GEN,DEEP SINGH KATHAT,INC,MALE,GEN
7,AJMER,BEAWER,7,GENW,SURENDRA KAUR,BJP,FEMALE,GENW
8,AJMER,BEAWER,8,SCW,SHASHI CHANWARIA,BJP,FEMALE,SCW
9,AJMER,BEAWER,9,GEN,RAJESH SHARMA,INC,MALE,GEN
10,AJMER,BEAWER,10,SC,RAMCHANDRA,INC,MALE,SC
11,AJMER,BEAWER,11,GENW,MANJU DEVI,BJP,FEMALE,GENW
12,AJMER,BEAWER,12,GENW,ANITA SHARMA,BJP,FEMALE,GENW
13,AJMER,BEAWER,13,GEN,TARA MAHESHWARI,INC,FEMALE,GENW
14,AJMER,BEAWER,14,GEN,A MAZID,BJP,MALE,OBC
15,AJMER,BEAWER,15,OBCW,PUSHPA KANWAR,BJP,FEMALE,OBCW
16,AJMER,BEAWER,16,GENW,PRITI,BJP,FEMALE,GENW
17,AJMER,BEAWER,17,GEN,ASHOK KUMAR,BJP,MALE,GEN
18,AJMER,BEAWER,18,GEN,MUKESH SOLANKI,INC,MALE,OBC
19,AJMER,BEAWER,19,GENW,SADHNA,IND,FEMALE,GENW
20,AJMER,BEAWER,20,SCW,VIMLA,INC,FEMALE,SCW
21,AJMER,BEAWER,21,GEN,BHANWAR LAL OSTWAL,INC,MALE,GEN
22,AJMER,BEAWER,22,GEN,KAILASH,BJP,MALE,OBC
23,AJMER,BEAWER,23,SC,LEKHRAJ,IND,MALE,SC
24,AJMER,BEAWER,24,SC,RAJENDRA,INC,MALE,SC
25,AJMER,BEAWER,25,GENW,BHANWARI DEVI,IND,FEMALE,OBCW
26,AJMER,BEAWER,26,GEN,GYANDEV JHANWAR,BJP,MALE,GEN
27,AJMER,BEAWER,27,GENW,BRIJBALA,BJP,FEMALE,OBCW
28,AJMER,BEAWER,28,GEN,DEVIDAS,BJP,MALE,OBC
