SR. NO.,DISTRICT,NAME OF PANCHAYAT SAMITI,NAME OF GRAM PANCHAYAT,WARD CATEGORY,NAME OF ELECTED SARP ANCH,WINNING CANDIDAES CATEGORY
1,AJMER,ARAI,AKODIYA,SC,SHABNUM BANNO,SC
2,AJMER,ARAI,ARAI,General (Woman),DHARM PAL,OBC (Woman)
3,AJMER,ARAI,BHAMOLAW,OBC,MOOL CHAND,OBC
4,AJMER,ARAI,BHOGADEET,General,SUNIT A,General
5,AJMER,ARAI,BORADA,General (Woman),LALITA,General (Woman)
6,AJMER,ARAI,CHHOTA LAMBA,General,RAJNI,OBC
7,AJMER,ARAI,DEVPURI,OBC (Woman),SARITA,OBC (Woman)
8,AJMER,ARAI,DHASUK,General,SURENDER SINGH,OBC
9,AJMER,ARAI,GOTHIYANA,SC,SULTANA,SC
10,AJMER,ARAI,JHEEROT A,OBC (Woman),NIRMALA DEVI,OBC (Woman)
11,AJMER,ARAI,KALANADA,SC (Woman),ROHIT ASH,SC (Woman)
12,AJMER,ARAI,KASEER,General,GOPAL RAM,OBC
13,AJMER,ARAI,KATSURA,SC,MONIKA CHOUDHARY,SC
14,AJMER,ARAI,MANDAWARIYA,SC (Woman),SAROJ,SC (Woman)
15,AJMER,ARAI,MANOHARPURA,General (Woman),ARTI BENIWAL,General (Woman)
16,AJMER,ARAI,SANDOLIYA,General,DAYA JANGID,OBC
17,AJMER,ARAI,SIRONJ,General (Woman),FARJANA BANO,OBC (Woman)
18,AJMER,ARAI,BAROL,General,POONUM,General
19,AJMER,ARAI,BHAGW ANTPURA,OBC (Woman),AMMI LAL,OBC (Woman)
20,AJMER,ARAI,DABRELA,OBC,DAYA SINGH,OBC
21,AJMER,BHINAY,BADALI,General,SURESH KUMAR,OBC
22,AJMER,BHINAY,BADGAON,ST,SURESH BHAMU,ST
23,AJMER,BHINAY,BANDANW ARA,General,SUDESH,OBC
24,AJMER,BHINAY,BHINAY,OBC (Woman),FARIYAZ BANU,OBC (Woman)
25,AJMER,BHINAY,BOOBKIYA,OBC,MAHIP AL,OBC
26,AJMER,BHINAY,CHACHUNDRA,General (Woman),SAVITRI ROLAN,OBC (Woman)
27,AJMER,BHINAY,CHAP ANERI,General (Woman),BHISMILLAH,General (Woman)
28,AJMER,BHINAY,DEVLIYAKALAN,General,MANISHA,General
29,AJMER,BHINAY,DHANTOL,General,MANOJ KUMAR,OBC
30,AJMER,BHINAY,EKALSINHA,General,SOHAN LAL,OBC
31,AJMER,BHINAY,GUDHAKHURD,General (Woman),RINKU KANWAR,General (Woman)
32,AJMER,BHINAY,KANEIKALAN,General,SEEM AKUMARI,OBC (Woman)
33,AJMER,BHINAY,KARANTI,SC,JAGDEESH PRASAD,SC (Woman)
34,AJMER,BHINAY,KEROT,OBC,PANA MEGHWAL,OBC
35,AJMER,BHINAY,KUMHARIYA,SC,BHAGCHAND,SC
36,AJMER,BHINAY,LAMGARA,General,SATYANARAYAN,OBC
37,AJMER,BHINAY,NAGOLA,OBC,RANGLAL,OBC
38,AJMER,BHINAY,NANDSI,OBC (Woman),MAYA KUMAWAT,OBC (Woman)
39,AJMER,BHINAY,P ADANGA,General (Woman),MEERA JAT,OBC (Woman)
40,AJMER,BHINAY,PADLIYA,SC (Woman),SAMPATI DEVI,SC (Woman)
41,AJMER,BHINAY,RAMMALIYA,SC,PANCHU LAL,SC
42,AJMER,BHINAY,RATAKOT,SC,PUKHRAJ BHAMBI,SC
43,AJMER,BHINAY,SINGAWAL,General (Woman),BEBI KANWAR,General (Woman)
44,AJMER,BHINAY,SOBARI,General,P ARMESHW AR,OBC
45,AJMER,JAWAJA,AASAN,General (Woman),SUSHIL A,OBC (Woman)
46,AJMER,JAWAJA,A TEETMAND,General,RATAN SINGH,OBC
47,AJMER,JAWAJA,BADAKHEDA @ KHERAKALAN,OBC (Woman),NIRMALA DEVI,OBC (Woman)
48,AJMER,JAWAJA,BADKHOCHRA,General (Woman),MEERA DEVI,OBC (Woman)
49,AJMER,JAWAJA,BALAD,General (Woman),GEET A,OBC (Woman)
50,AJMER,JAWAJA,BAMANHEDA,OBC,MAHIPAL SINGH,OBC
51,AJMER,JAWAJA,BANJARI,OBC (Woman),ROSHANA DEVI,OBC (Woman)
52,AJMER,JAWAJA,BARAKHED,General,DOLLY CHOUHAN,OBC (Woman)
53,AJMER,JAWAJA,BEAWARKHAS,General,VIJENDRA SINGH,OBC
54,AJMER,JAWAJA,DELWARA,General (Woman),KIRAN,OBC (Woman)
55,AJMER,JAWAJA,DEWATA,General (Woman),INDRA DEVI,OBC (Woman)
56,AJMER,JAWAJA,DURGAWAS,General,GANPAT SINGH,OBC
57,AJMER,JAWAJA,GOHANA,General,SHRAWAN LAL SAIN,OBC
