sl_no,dist_name,samiti_name,gp,reservation,name,sex,category,gp_new,dist_name_new,samiti_name_new,dist_2010
1,AJMER,ARAIN,AAKODIYA,OBC,GAJMAL,MALE,OBC,akodiya,AJMER,ARAI,
2,AJMER,ARAIN,AJGARA,SC,LADU,MALE,SC,ajgara,AJMER,ARAI,
3,AJMER,ARAIN,ARAIN,ST,KANHIYA LAL,MALE,ST,arai,AJMER,ARAI,
4,AJMER,ARAIN,BHAGWANPURA,GEN,HAGAMI LAL,MALE,OBC,bhagwanpura,AJMER,ARAI,
5,AJMER,ARAIN,BHAMOLAV,GEN,RAM SINGH,MALE,OBC,bhamolaw,AJMER,ARAI,
6,AJMER,ARAIN,BHOGADIT,GEN,AMBA LAL,MALE,GEN,bhogadeet,AJMER,ARAI,
7,AJMER,ARAIN,BIRLA,SC W,AYODHYA DEVI,FEMALE,SC,birla,AJMER,ARAI,
8,AJMER,ARAIN,BORADA,GEN,SHRIDHAR,MALE,GEN,borada,AJMER,ARAI,
9,AJMER,ARAIN,DADIYA,GEN,BIRDICHAND,MALE,GEN,dadiya,AJMER,ARAI,
10,AJMER,ARAIN,DEVPURI,SC,PANNA LAL,MALE,SC,devpuri,AJMER,ARAI,
11,AJMER,ARAIN,DHASUK,GEN W,NIMMI DEVI,FEMALE,GEN,dhasuk,AJMER,ARAI,
12,AJMER,ARAIN,FATEHGARH,GEN,VIMLESH,FEMALE,OBC,fatehgarh,AJMER,ARAI,
13,AJMER,ARAIN,GODHIYANA,GEN,RAJESH JAIN,MALE,GEN,gothiyana,AJMER,ARAI,
14,AJMER,ARAIN,HARPURA,OBC W,AARAMI,FEMALE,OBC,harpura,AJMER,ARAI,
15,AJMER,ARAIN,HINGONIYA,GEN,DEVI LAL,MALE,OBC,hingoniya,AJMER,ARAI,
16,AJMER,ARAIN,JHIROTA,SC,HARJI RAM,MALE,SC,jheerota,AJMER,ARAI,
17,AJMER,ARAIN,KALANADA,GEN,RAM KISHAN,MALE,OBC,kalanada,AJMER,ARAI,
18,AJMER,ARAIN,KASHIR,GEN W,PUSI DEVI,FEMALE,OBC,kaseer,AJMER,ARAI,
19,AJMER,ARAIN,KATSURA,GEN W,KOUSHALIYA DEVI,FEMALE,GEN,katsura,AJMER,ARAI,
20,AJMER,ARAIN,KHIRIYAN,OBC,CHHAGAN LAL,MALE,OBC,kheeriya,AJMER,ARAI,
21,AJMER,ARAIN,LALLAI,GEN,HARJI,MALE,OBC,lallai,AJMER,ARAI,
22,AJMER,ARAIN,LAMBA,OBC,RAM GOPAL,MALE,OBC,lamba,AJMER,ARAI,
23,AJMER,ARAIN,MANDAWARIYA,OBC,NATHU LAL,MALE,OBC,mandawariya,AJMER,ARAI,
24,AJMER,ARAIN,MANOHARPURA,GEN W,SAJJAN KANWAR,FEMALE,GEN,manoharpura,AJMER,ARAI,
25,AJMER,ARAIN,RAMPALI,GEN W,BHURI,FEMALE,OBC,rampali,AJMER,ARAI,
26,AJMER,ARAIN,SADOLIYA,OBC W,PREM DEVI,FEMALE,OBC,sandoliya,AJMER,ARAI,
27,AJMER,ARAIN,SANPLA,SC W,KAMLA,FEMALE,SC,sanpla,AJMER,ARAI,
28,AJMER,ARAIN,SIRONJ,SC,MOHAN,MALE,SC,sironj,AJMER,ARAI,
29,AJMER,ARAIN,SUNPA,GEN W,CHANDRA KIRAN,FEMALE,GEN,soonpa,AJMER,ARAI,
30,AJMER,ARAIN,SYAR,GEN,DEVKARAN,MALE,OBC,syar,AJMER,ARAI,
31,AJMER,BHINAI,BADGAON,GEN,VANSH PRADEEP SINGH,MALE,GEN,badgaon,AJMER,BHINAY,
32,AJMER,BHINAI,BADLI,OBC,GHISA LAL,MALE,OBC,badli,AJMER,BHINAY,
33,AJMER,BHINAI,BANDANWADA,GEN W,KAMLENDRA KANWAR,FEMALE,GEN,bandanwara,AJMER,BHINAY,
34,AJMER,BHINAI,BEROL,ST W,SITA DEVI,FEMALE,ST,barol,AJMER,BHINAY,
35,AJMER,BHINAI,BHAGWANT PURA,SC W,RAMESHWARI DEVI,FEMALE,SC,bhagwantpura,AJMER,BHINAY,
36,AJMER,BHINAI,BHINAI,SC,TULSI RAM KHINCHI,MALE,SC,bhinay,AJMER,BHINAY,
37,AJMER,BHINAI,BUBKIYA,GEN,HARIPRASAD JAT,MALE,OBC,boobkiya,AJMER,BHINAY,
38,AJMER,BHINAI,CHANPANERI,GEN,RAKESH SHARMA,MALE,GEN,chapaneri,AJMER,BHINAY,
39,AJMER,BHINAI,CHHACHHUNDRA,GEN W,RAJI DEVI,FEMALE,OBC,chachundra,AJMER,BHINAY,
40,AJMER,BHINAI,DABRELA,GEN,BHADULAL GURJAR,MALE,OBC,dabrela,AJMER,BHINAY,
41,AJMER,BHINAI,DEVLIYA KALAN,GEN,RAMSWAROOP MEWARA,MALE,OBC,devliyakalan,AJMER,BHINAY,
42,AJMER,BHINAI,DHANTOL,OBC W,SANTOK,FEMALE,OBC,dhantol,AJMER,BHINAY,
43,AJMER,BHINAI,EKALSINGA,SC,JAGDISH,MALE,SC,ekalsinha,AJMER,BHINAY,
44,AJMER,BHINAI,GOYALA,GEN W,KAMLA,FEMALE,GEN,goyala,AJMER,BHINAY,
45,AJMER,BHINAI,GUDHA KHURD,GEN,GOPAL SINGH,MALE,GEN,gudhakhurd,AJMER,BHINAY,
46,AJMER,BHINAI,JOTAYA,GEN W,HANSA KANWAR,FEMALE,GEN,jotaya,AJMER,BHINAY,
47,AJMER,BHINAI,KAIROT,OBC W,JETHI DEVI KIR,FEMALE,OBC,kerot,AJMER,BHINAY,
48,AJMER,BHINAI,KANAIKALA,GEN,RAJENDRA SINGH,MALE,GEN,kaneikalan,AJMER,BHINAY,
49,AJMER,BHINAI,KANRATI,GEN,GYARSILAL RAWAT,MALE,OBC,karanti,AJMER,BHINAY,
50,AJMER,BHINAI,KEBNIYA,SC,HARCHAND RAIGAR,MALE,SC,kebaniya,AJMER,BHINAY,
51,AJMER,BHINAI,KUHARIYA,GEN W,RAMPYARI,FEMALE,GEN,kumhariya,AJMER,BHINAY,
