sl_no_2015,dist_name_2015,samiti_name_2015,gp_2015,reservation_2015,name_2015,sex_2015,category_2015,dist_name_new_2015,samiti_name_new_2015,key_2015,sl_no_2005,dist_name_2005,samiti_name_2005,gp_2005,reservation_2005,name_2005,sex_2005,category_2005,gp_new_2005,dist_name_new_2005,samiti_name_new_2005,dist_2010_2005,key_2005,sl_no_2010,dist_name_2010,samiti_name_2010,gp_2010,reservation_2010,name_2010,sex_2010,category_2010,gp_new_2015,dist_name_new_2010,samiti_name_new_2010,key_2010,dist_05_10,nuke_05_10,gp_new_2010,dist,nuke
1,AJMER,ARAI,AKODIYA,SC,SHABNUM BANNO,NA,SC,AJMER,ARAI,AJMERARAIakodiya,1,AJMER,ARAIN,AAKODIYA,OBC,GAJMAL,MALE,OBC,akodiya,AJMER,ARAI,NA,AJMERARAIakodiya,2,AJMER,ARAI,AKODIYA,GENW,lada,F,OBCW,akodiya,AJMER,ARAI,AJMERARAIakodiya,0,NA,akodiya,0,0
2,AJMER,ARAI,ARAI,General (Woman),DHARM PAL,NA,OBC (Woman),AJMER,ARAI,AJMERARAIarai,3,AJMER,ARAIN,ARAIN,ST,KANHIYA LAL,MALE,ST,arai,AJMER,ARAI,NA,AJMERARAIarai,3,AJMER,ARAI,ARAI,GEN,Bhanwar Gopal,M,GEN,arai,AJMER,ARAI,AJMERARAIarai,0,NA,arai,0,0
3,AJMER,ARAI,BHAMOLAW,OBC,MOOL CHAND,NA,OBC,AJMER,ARAI,AJMERARAIbhamolaw,5,AJMER,ARAIN,BHAMOLAV,GEN,RAM SINGH,MALE,OBC,bhamolaw,AJMER,ARAI,NA,AJMERARAIbhamolaw,5,AJMER,ARAI,BHAMOLAW,GENW,Ajay Durgesh Kanwar,F,GENW,bhamolaw,AJMER,ARAI,AJMERARAIbhamolaw,0,NA,bhamolaw,0,0
4,AJMER,ARAI,BHOGADEET,General,SUNIT A,NA,General,AJMER,ARAI,AJMERARAIbhogadeet,6,AJMER,ARAIN,BHOGADIT,GEN,AMBA LAL,MALE,GEN,bhogadeet,AJMER,ARAI,NA,AJMERARAIbhogadeet,6,AJMER,ARAI,BHOGADEET,OBC,Ramdev,M,OBC,bhogadeet,AJMER,ARAI,AJMERARAIbhogadeet,0,NA,bhogadeet,0,0
5,AJMER,ARAI,BORADA,General (Woman),LALITA,NA,General (Woman),AJMER,ARAI,AJMERARAIborada,8,AJMER,ARAIN,BORADA,GEN,SHRIDHAR,MALE,GEN,borada,AJMER,ARAI,NA,AJMERARAIborada,8,AJMER,ARAI,BORADA,GEN,Ram Singh,M,OBC,borada,AJMER,ARAI,AJMERARAIborada,0,NA,borada,0,0
7,AJMER,ARAI,DEVPURI,OBC (Woman),SARITA,NA,OBC (Woman),AJMER,ARAI,AJMERARAIdevpuri,10,AJMER,ARAIN,DEVPURI,SC,PANNA LAL,MALE,SC,devpuri,AJMER,ARAI,NA,AJMERARAIdevpuri,11,AJMER,ARAI,DEVPURI,ST,Ram ji lal,M,ST,devpuri,AJMER,ARAI,AJMERARAIdevpuri,0,NA,devpuri,0,0
8,AJMER,ARAI,DHASUK,General,SURENDER SINGH,NA,OBC,AJMER,ARAI,AJMERARAIdhasuk,11,AJMER,ARAIN,DHASUK,GEN W,NIMMI DEVI,FEMALE,GEN,dhasuk,AJMER,ARAI,NA,AJMERARAIdhasuk,12,AJMER,ARAI,DHASUK,OBCW,Norti,F,OBCW,dhasuk,AJMER,ARAI,AJMERARAIdhasuk,0,NA,dhasuk,0,0
9,AJMER,ARAI,GOTHIYANA,SC,SULTANA,NA,SC,AJMER,ARAI,AJMERARAIgothiyana,13,AJMER,ARAIN,GODHIYANA,GEN,RAJESH JAIN,MALE,GEN,gothiyana,AJMER,ARAI,NA,AJMERARAIgothiyana,14,AJMER,ARAI,GOTHIYANA,GEN,Hem Kanwar,F,GENW,gothiyana,AJMER,ARAI,AJMERARAIgothiyana,0,NA,gothiyana,0,0
10,AJMER,ARAI,JHEEROT A,OBC (Woman),NIRMALA DEVI,NA,OBC (Woman),AJMER,ARAI,AJMERARAIjheerota,16,AJMER,ARAIN,JHIROTA,SC,HARJI RAM,MALE,SC,jheerota,AJMER,ARAI,NA,AJMERARAIjheerota,17,AJMER,ARAI,JHEEROT A,GEN,Umrav jain,M,GEN,jheerota,AJMER,ARAI,AJMERARAIjheerota,0,NA,jheerota,0,0
11,AJMER,ARAI,KALANADA,SC (Woman),ROHIT ASH,NA,SC (Woman),AJMER,ARAI,AJMERARAIkalanada,17,AJMER,ARAIN,KALANADA,GEN,RAM KISHAN,MALE,OBC,kalanada,AJMER,ARAI,NA,AJMERARAIkalanada,18,AJMER,ARAI,KALANADA,GEN,Laxman,M,OBC,kalanada,AJMER,ARAI,AJMERARAIkalanada,0,NA,kalanada,0,0
