state,year,tier,check_id,appeals_to,status,observed,expected,detail
Andhra Pradesh,2020,gp_head,rows_in_band,declared,pass,4738,500..13200,
Andhra Pradesh,2020,gp_head,caste_scheme_respected,declared,pass,"BC,NONE,SC,ST","BC,NONE,SC,ST",sc_st_bc
Andhra Pradesh,2020,gp_head,blank_share_within_tolerance,declared,pass,,,0 column(s) over tolerance
Andhra Pradesh,2020,gp_head,coverage_vs_published,external,skip,4738,,"Each gazette states its own district total in its FORMAT-I abstract, which is a better denominator than a stat"
Andhra Pradesh,2020,gp_head,women_share_vs_statute,external,pass,49.9%,target 50%,"over the 4,606 rows whose gender the source states; 48.5% over all 4,738"
Andhra Pradesh,2020,gp_head,women_share_by_block,external,warn,284 of 485 blocks off,within 6pp of 50%,
Andhra Pradesh,2020,gp_head,caste_share_vs_population,external,skip,0,,no population columns in this source
Andhra Pradesh,2020,gp_head,label_agrees,internal,pass,0,0,"the label is written separately from the two fields it summarises, so they can disagree"
Andhra Pradesh,2020,gp_head,alias_family_exclusive,internal,pass,0,0,"one of ['gram_panchayat', 'halqa']"
Andhra Pradesh,2020,gp_head,seat_key_unique,internal,pass,0,0,
Andhra Pradesh,2020,gp_head,tier_local_maps_to_one_tier,internal,pass,sarpanch,gp_head,
Andhra Pradesh,2020,gp_head,year_constant,internal,pass,2020,2020,
Andhra Pradesh,2020,gp_head,provenance_resolves,internal,pass,0,0,5 documents
Andhra Pradesh,2020,gp_ward,rows_in_band,declared,pass,45693,5000..130000,
Andhra Pradesh,2020,gp_ward,caste_scheme_respected,declared,pass,"BC,NONE,SC,ST","BC,NONE,SC,ST",sc_st_bc
Andhra Pradesh,2020,gp_ward,blank_share_within_tolerance,declared,pass,,,0 column(s) over tolerance
Andhra Pradesh,2020,gp_ward,coverage_vs_published,external,skip,45693,,no published total for this slice
Andhra Pradesh,2020,gp_ward,women_share_vs_statute,external,pass,48.6%,target 50%,"over the 43,939 rows whose gender the source states; 46.8% over all 45,693"
Andhra Pradesh,2020,gp_ward,women_share_by_block,external,warn,163 of 479 blocks off,within 6pp of 50%,
Andhra Pradesh,2020,gp_ward,caste_share_vs_population,external,skip,0,,no population columns in this source
Andhra Pradesh,2020,gp_ward,label_agrees,internal,pass,0,0,"the label is written separately from the two fields it summarises, so they can disagree"
Andhra Pradesh,2020,gp_ward,alias_family_exclusive,internal,pass,0,0,"one of ['gram_panchayat', 'halqa']"
Andhra Pradesh,2020,gp_ward,seat_key_unique,internal,pass,0,0,
Andhra Pradesh,2020,gp_ward,tier_local_maps_to_one_tier,internal,pass,ward,gp_ward,
Andhra Pradesh,2020,gp_ward,year_constant,internal,pass,2020,2020,
Andhra Pradesh,2020,gp_ward,provenance_resolves,internal,pass,0,0,5 documents
Goa,2012,gp_ward,rows_in_band,declared,pass,1471,400..1800,
Goa,2012,gp_ward,caste_scheme_respected,declared,pass,"BC,NONE,ST","BC,NONE,SC,ST",sc_st_bc
Goa,2012,gp_ward,blank_share_within_tolerance,declared,pass,,,0 column(s) over tolerance
Goa,2012,gp_ward,coverage_vs_published,external,pass,185 (99%),186 panchayats,seats
Goa,2012,gp_ward,women_share_vs_statute,external,pass,32.2%,floor 33%,
Goa,2012,gp_ward,women_share_by_block,external,skip,,,only applies where the share is an exact split
Goa,2012,gp_ward,caste_share_vs_population,external,skip,0,,no population columns in this source
Goa,2012,gp_ward,label_agrees,internal,pass,0,0,"the label is written separately from the two fields it summarises, so they can disagree"
Goa,2012,gp_ward,alias_family_exclusive,internal,pass,0,0,"one of ['gram_panchayat', 'halqa']"
Goa,2012,gp_ward,seat_key_unique,internal,pass,0,0,
Goa,2012,gp_ward,tier_local_maps_to_one_tier,internal,pass,ward,gp_ward,
Goa,2012,gp_ward,year_constant,internal,pass,2012,2012,
Goa,2012,gp_ward,provenance_resolves,internal,pass,0,0,12 documents
Goa,2017,gp_ward,rows_in_band,declared,pass,684,400..1800,
