state,year,tier,tier_local,rows,districts,blocks,panchayats,wards,women,women_share,sc_share,st_share,bc_share,none_share,listing_scope,script,blank_district,blank_block,blank_panchayat,blank_ward_no,blank_winner,duplicate_seat_rows,source_documents,source_pages,published_total,published_basis,published_unit,coverage_pct,women_rule,women_rule_value,row_band,files
Andhra Pradesh,2020,gp_head,sarpanch,4738,5,485,4738,0,2300,0.4854,0.2136,0.0897,0.2089,0.4878,all_seats,latin,0.0,0.0,0.0,1.0,1.0,0,5,295,,per-district,gram panchayats,,target,0.5,500..13200,sarpanch_reservation_2020.csv
Andhra Pradesh,2020,gp_ward,ward,45693,5,479,4528,20,21376,0.4678,0.2261,0.0751,0.2034,0.4955,all_seats,latin,0.0,0.0,0.0,0.0,1.0,0,5,282,,,,,target,0.5,5000..130000,ward_reservation_2020.csv
Goa,2012,gp_ward,ward,1471,2,12,185,11,473,0.3215,0.0,0.0673,0.1482,0.7845,all_seats,latin,0.0,0.0,0.0,0.0,0.0,0,12,62,186,seats,panchayats,99.5,floor,0.3333333333333333,400..1800,ward_reservation_2012.csv
Goa,2017,gp_ward,ward,684,2,10,152,11,186,0.2719,0.0073,0.0965,0.1418,0.7544,partial,latin,0.0,0.0,0.0058,0.0,1.0,0,10,180,,per-taluka,wards,,floor,0.3333333333333333,400..1800,ward_reservation_2017.csv
Goa,2022,gp_ward,ward,793,2,9,101,11,307,0.3871,0.0164,0.14,0.1955,0.6482,partial,latin,0.0,0.0,0.0,0.0,1.0,0,9,149,,per-taluka,wards,,floor,0.3333333333333333,400..1800,ward_reservation_2022.csv
Jammu & Kashmir,2010,gp_ward,ward,7340,10,54,1433,205,3547,0.4832,0.2033,0.1644,0.0,0.6323,all_seats,latin,0.0,0.0,0.0279,0.0,1.0,510,54,327,,unknown,panch constituencies,,floor,0.3333333333333333,500..35000,ward_reservation_2010.csv
Jammu & Kashmir,2016,gp_head,sarpanch,410,5,32,320,0,137,0.3341,0.0707,0.0561,0.0,0.8732,all_seats,latin,0.0,0.0,0.1537,1.0,1.0,114,12,168,,unknown,halqas,,floor,0.3333333333333333,100..4500,sarpanch_reservation_2016.csv
Jammu & Kashmir,2016,gp_ward,ward,2326,5,33,321,35,739,0.3177,0.1101,0.0937,0.0,0.7962,all_seats,latin,0.0,0.0,0.0653,0.0,1.0,418,12,177,,unknown,panch constituencies,,floor,0.3333333333333333,500..35000,ward_reservation_2016.csv
Jammu & Kashmir,2018,gp_ward,ward,1432,12,18,408,18,1181,0.8247,0.0,0.2793,0.0,0.7207,reserved_only,latin,0.0,0.0,0.0091,0.0,1.0,210,13,37,,unknown,panch constituencies,,,,500..35000,ward_reservation_2018.csv
Jharkhand,2015,block_member,panchayat_samiti,4354,21,237,20,0,2258,0.5186,0.1435,0.2793,0.1518,0.4254,all_seats,devanagari,0.0,0.2313,0.9433,1.0,0.0039,911,38,266,5423,seats,seats,80.3,floor,0.5,1000..5500,panchayat_samiti_reservation_2015.csv
Jharkhand,2015,gp_head,mukhiya,4214,23,126,3036,0,2187,0.519,0.1433,0.4039,0.1115,0.3412,all_seats,devanagari,0.0,0.5712,0.2708,1.0,0.0002,1200,65,588,4345,seats,gram panchayats,97.0,floor,0.5,1000..4400,mukhiya_reservation_2015.csv
Jharkhand,2015,gp_ward,ward_member,11113,9,45,1099,59,5878,0.5289,0.1211,0.2976,0.1503,0.431,all_seats,devanagari,0.0,0.3947,0.194,0.0176,0.0026,2265,23,761,,,,,floor,0.5,1000..12000,ward_member_reservation_2015.csv
Jharkhand,2015,zp_member,zila_parishad,181,8,0,0,0,95,0.5249,0.1436,0.2983,0.1878,0.3702,all_seats,devanagari,0.0,1.0,1.0,1.0,0.0055,18,8,14,545,seats,seats,33.2,floor,0.5,50..600,zila_parishad_reservation_2015.csv
