Mandal,Gram Panchayat,Ward,Category,Name,Status
Allapalli,Adaviramaram,Ward,1,ST(W) KOUSALYA PAYAM,Unanimous
Allapalli,Adaviramaram,Ward,2,ST(W) PAYAM KANTHA,Unanimous
Allapalli,Adaviramaram,Ward,3,ST(G) PAYAM BORRAIAH,Unanimous
Allapalli,Adaviramaram,Ward,4,ST(G) PAYAM PRASHANTH,Unanimous
Allapalli,Allapalli,Ward,1,BC(W) NAREDLA SARITHA,Elected
Allapalli,Allapalli,Ward,2,UR(G) MOHAMMAD KHAYOOM,Elected
Allapalli,Allapalli,Ward,3,BC(G) BURRA VINODA,Elected
Allapalli,Allapalli,Ward,4,UR(W) RESU SYAMBA,Elected
Allapalli,Allapalli,Ward,5,UR(W) RESU SURENDAR,Elected
Allapalli,Allapalli,Ward,6,ST(G) KARAKAPALLI SATISH,Elected
Allapalli,Allapalli,Ward,7,ST(W) VASAM SUSHEELA,Elected
Allapalli,Allapalli,Ward,8,ST(G) GOGGELA SAMBAIAH,Elected
Allapalli,Allapalli,Ward,9,ST(W) KORASA ROJA,Elected
Allapalli,Allapalli,Ward,10,ST(G) GOGGELA PAPARAO,Elected
Allapalli,Ananthogu,Ward,1,ST(G) VASAM RAMESH,Elected
Allapalli,Ananthogu,Ward,2,ST(W) ESAM LALITHA,Elected
Allapalli,Ananthogu,Ward,3,ST(G) GALIGA BUCCHI RAMAIAH,Elected
Allapalli,Ananthogu,Ward,4,ST(W) VOOKE SWAROOPA,Elected
Allapalli,Ananthogu,Ward,5,ST(G) PUNEM ANIL,Elected
Allapalli,Ananthogu,Ward,6,ST(W) KUNJA YUVARANI,Elected
Allapalli,Ananthogu,Ward,7,ST(G) PAYAM SURESH,Elected
Allapalli,Ananthogu,Ward,8,ST(W) PENAKA SHARANYA,Elected
Allapalli,Bodaikunta,Ward,1,ST(W) YEDULLA ANASURYA,Elected
Allapalli,Bodaikunta,Ward,2,ST(W) YEDULLA LAXMIKANTHA,Elected
Allapalli,Bodaikunta,Ward,3,ST(G) KOMARAM NAGESWAR RAO,Elected
Allapalli,Bodaikunta,Ward,4,ST(G) GUMMADI NARASIMHARAO,Elected
Allapalli,Bodaikunta,Ward,5,ST(W) KOMARAM VENKATA LAXMI,Elected
Allapalli,Bodaikunta,Ward,6,ST(G) YEDULLA MAHESH,Elected
Allapalli,Dongathogu,Ward,1,ST(W) PUNEM LAKSHMI,Unanimous
Allapalli,Dongathogu,Ward,2,ST(G) BACCHALA PAPARAO,Unanimous
Allapalli,Dongathogu,Ward,3,ST(G) PUNEM MALLESH,Unanimous
Allapalli,Dongathogu,Ward,4,ST(W) ESAM PADMA,Unanimous
Allapalli,Markodu,Ward,1,ST(W) KOMARAM BHAGYASRI,Elected
Allapalli,Markodu,Ward,2,ST(G) KOMARAM KANAKAIAH,Elected
Allapalli,Markodu,Ward,3,BC(G) VAGALABOINA SATEESH KUMAR,Elected
Allapalli,Markodu,Ward,4,BC(W) KURRA KAMALA,Elected
Allapalli,Markodu,Ward,5,SC(W) KESARI RAMADEVI,Elected
Allapalli,Markodu,Ward,6,ST(W) PALVANCHA ANNAPOORNA,Elected
Allapalli,Markodu,Ward,7,ST(W) PUNEM PUSHPALTHA,Elected
Allapalli,Markodu,Ward,8,ST(W) KOMARAM RAMBAYAMMA,Elected
Allapalli,Markodu,Ward,9,ST(G) KOMARAM MUSALAIAH,Elected
Allapalli,Markodu,Ward,10,ST(G) PADIGA RAMARAO,Elected
Allapalli,Nadimigudem,Ward,1,ST(G) MADDELA SUSHEELA,Elected
Allapalli,Nadimigudem,Ward,2,ST(G) PAYAM NARASIMHA RAO,Elected
Allapalli,Nadimigudem,Ward,3,ST(W) PAYAM RAMANA,Elected
Allapalli,Nadimigudem,Ward,4,ST(G) KOMARAM SHANKAR,Elected
Allapalli,Nadimigudem,Ward,5,ST(W) GOGGELA JAYA,Elected
Allapalli,Nadimigudem,Ward,6,ST(G) VENKATESWARLU BOMMALA,Elected
Allapalli,Nadimigudem,Ward,7,ST(W) BOMMALA SUGUNA,Elected
Allapalli,Nadimigudem,Ward,8,ST(W) CHEEMALA LAXMI KANTHA,Elected
Allapalli,Pathuru,Ward,1,ST(G) GOGGELA RAMESH,Elected
Allapalli,Pathuru,Ward,2,ST(W) KALTHI RADHA,Elected
Allapalli,Pathuru,Ward,3,ST(G) GOGGELA VASANTHA RAO,Elected
Allapalli,Pathuru,Ward,4,ST(W) GOGGELA SAROJA,Elected
Allapalli,Pathuru,Ward,5,ST(W) ESAM SUMALATHA,Unanimous
Allapalli,Pathuru,Ward,6,ST(W) PATTHURU,Elected
Allapalli,Pathuru,Ward,7,ST(W) MOKALLA KALAVATHI,Elected
Allapalli,Pathuru,Ward,8,ST(G) ESAM SATYAM,Elected
Allapalli,Peddavnekatapuram,Ward,1,ST(G) KALTHI RAMARAO,Elected
Allapalli,Peddavnekatapuram,Ward,2,ST(W) KOMARAM VIJAYA KUMARI,Elected
