Mandal,Gram Panchayat,Ward,Category,Name,Status
Bheemadevarapalle,Gollapalli,Ward,1,BC(G) SANGA ODELU,Unanimous
Bheemadevarapalle,Gollapalli,Ward,2,BC(G) MYAKALA SAMMAIAH,Unanimous
Bheemadevarapalle,Gollapalli,Ward,3,BC(W) PUDARI LAXMI,Unanimous
Bheemadevarapalle,Gollapalli,Ward,4,BC(W) NETHULA VANAMMA,Unanimous
Bheemadevarapalle,Gollapalli,Ward,5,UR(G) JIRRA SATHEESH,Unanimous
Bheemadevarapalle,Gollapalli,Ward,6,UR(W) NETHULA KETHAMMA,Unanimous
Bheemadevarapalle,Gollapalli,Ward,7,UR(G) KANEBOINA SRINIVASU,Unanimous
Bheemadevarapalle,Gollapalli,Ward,8,UR(W) LAVANYA SINGARABOINA,Unanimous
Bheemadevarapalle,Ramnagar,Ward,1,UR(G) MADAKA ILAIAH,Elected
Bheemadevarapalle,Ramnagar,Ward,2,UR(G) KADIRE ILAIAH,Elected
Bheemadevarapalle,Ramnagar,Ward,3,ST(W) BHUKYA SARASVATI,Elected
Bheemadevarapalle,Ramnagar,Ward,4,ST(G) BHUKYA SAMPATH,Elected
Bheemadevarapalle,Ramnagar,Ward,5,ST(W) BHUKYA RAJAMMA,Elected
Bheemadevarapalle,Ramnagar,Ward,6,UR(W) BHUKYA PADMA,Elected
Bheemadevarapalle,Ramnagar,Ward,7,SC(W) AMUNURI AKHILA,Elected
Bheemadevarapalle,Ramnagar,Ward,8,UR(G) BHUKYA BALU,Elected
Bheemadevarapalle,Rangaiahpalli,Ward,1,BC(W) DURGAPPU YADALAXMI,Unanimous
Bheemadevarapalle,Rangaiahpalli,Ward,2,BC(G) PENDYALA MOGILI,Elected
Bheemadevarapalle,Rangaiahpalli,Ward,3,BC(G) BYKANI RAJKUMAR,Unanimous
Bheemadevarapalle,Rangaiahpalli,Ward,4,UR(W) CHEVVALI RENUKA,Elected
Bheemadevarapalle,Rangaiahpalli,Ward,5,UR(G) JAMMULA MALLAREDDY,Elected
Bheemadevarapalle,Rangaiahpalli,Ward,6,UR(G) MAMIDALA RAMKRISHNA,Elected
Bheemadevarapalle,Rangaiahpalli,Ward,7,UR(W) SHAIK ANKUSBEE,Elected
Bheemadevarapalle,Rangaiahpalli,Ward,8,BC(W) SHAIK MUNEERA BEGUM,Elected
Bheemadevarapalle,Vangara,Ward,1,UR(G) KULLAKUNTA KONDAL REDDY,Elected
Bheemadevarapalle,Vangara,Ward,2,BC(G) ASHOK BATHINI,Elected
Bheemadevarapalle,Vangara,Ward,3,UR(G) MARAM SATHISH,Elected
Bheemadevarapalle,Vangara,Ward,4,BC(W) BALLA SRIDEVI,Elected
Bheemadevarapalle,Vangara,Ward,5,BC(W) RAMARAPU PADMA,Elected
Bheemadevarapalle,Vangara,Ward,6,UR(G) KALVA MALLAIAH,Elected
Bheemadevarapalle,Vangara,Ward,7,UR(W) KALYANI NALLAGONI,Elected
Bheemadevarapalle,Vangara,Ward,8,UR(W) BHUNADRI SARAMMA,Elected
Bheemadevarapalle,Vangara,Ward,9,SC(G) KUMARASWAMY GINNARAPU,Elected
Bheemadevarapalle,Vangara,Ward,10,UR(G) RAJU NALLAGONI,Elected
Bheemadevarapalle,Vangara,Ward,11,SC(W) DONTA ANUSHA,Elected
Bheemadevarapalle,Vangara,Ward,12,SC(W) GAJJELA SRUJANA,Elected
Dharmasagar,Devunoor,Ward,1,BC(G) CHINTHA MADHU,Elected
Dharmasagar,Devunoor,Ward,2,BC(G) NARLAGIRI RAMESH,Elected
Dharmasagar,Devunoor,Ward,3,UR(W) CHIRRA SHIREESHA,Elected
Dharmasagar,Devunoor,Ward,4,SC(W) CHITYLA KOMALA,Elected
Dharmasagar,Devunoor,Ward,5,BC(W) GUNDEKAARI KAVITHA,Elected
Dharmasagar,Devunoor,Ward,6,UR(G) MORE RAJENDAR,Elected
Dharmasagar,Devunoor,Ward,7,BC(W) MEERALA VIRALAXMI,Elected
Dharmasagar,Devunoor,Ward,8,BC(G) SURUGURI RAGHU,Elected
Dharmasagar,Devunoor,Ward,9,UR(W) BAGGANI NARMADA,Elected
Dharmasagar,Devunoor,Ward,10,SC(G) RAMPAKA RAJU,Elected
Dharmasagar,Dharmapuram,Ward,1,BC(G) MYAKALA SAMBARAJU,Elected
Dharmasagar,Dharmapuram,Ward,2,SC(W) BAIRAPAKA ANUSHA,Elected
Dharmasagar,Dharmapuram,Ward,3,BC(W) BATTINI ANITHA,Elected
Dharmasagar,Dharmapuram,Ward,4,BC(G) KOTTHAPALLI ASHOK,Elected
Dharmasagar,Dharmapuram,Ward,5,BC(W) KOTHAPALLY RAMADEVI,Elected
Dharmasagar,Dharmapuram,Ward,6,BC(W) GAI SWATHI,Elected
Dharmasagar,Dharmapuram,Ward,7,BC(G) KOYYADA SRIKANTH,Elected
Dharmasagar,Dharmapuram,Ward,8,SC(G) MUNIGALA KRUPAKAR,Elected
Dharmasagar,Dharmapuram,Ward,9,BC(G) KANKATI RAJ KUMAR,Elected
Dharmasagar,Dharmapuram,Ward,10,SC(W) MUNIGALA SOBHA,Elected
Dharmasagar,Dharmasagar,Ward,1,BC(W) Gante Odhemma,Elected
Dharmasagar,Dharmasagar,Ward,2,BC(G) Erukonda Sambaraju,Elected
Dharmasagar,Dharmasagar,Ward,3,BC(G) Shobanameni Srinavas,Elected
Dharmasagar,Dharmasagar,Ward,4,UR(G) Cholleti Rama,Elected
Dharmasagar,Dharmasagar,Ward,5,SC(W) Aruna Boddu,Elected
Dharmasagar,Dharmasagar,Ward,6,BC(G) Janugani Suman,Elected
Dharmasagar,Dharmasagar,Ward,7,BC(W) Hemalatha,Elected
Dharmasagar,Dharmasagar,Ward,8,BC(G) Kolipaka Mallikarjun,Elected
Dharmasagar,Dharmasagar,Ward,9,BC(W) Bontha Renuka,Unanimous
Dharmasagar,Dharmasagar,Ward,10,UR(G) Challa Srinivas Reddy,Elected
Dharmasagar,Dharmasagar,Ward,11,SC(G) Kotte Vijayabhaskar,Elected
Dharmasagar,Dharmasagar,Ward,12,SC(G) Macharla Ellaiah,Elected
Dharmasagar,Dharmasagar,Ward,13,SC(W) Kotte Pallavi,Elected
Dharmasagar,Dharmasagar,Ward,14,SC(W) Sarala Chiluka,Elected
Dharmasagar,Elukurthy(P.D),Ward,1,BC(G) SAYAM SANDEEP,Unanimous
Dharmasagar,Elukurthy(P.D),Ward,2,BC(W) GUNDU RAJESHWARI REKHA,Elected
Dharmasagar,Elukurthy(P.D),Ward,3,BC(G) BERE RAJESH,Unanimous
Dharmasagar,Elukurthy(P.D),Ward,4,BC(G) BERE RAVINDER,Unanimous
Dharmasagar,Elukurthy(P.D),Ward,5,BC(W) KOMURAMMA KOLIPAKA,Unanimous
Dharmasagar,Elukurthy(P.D),Ward,6,BC(W) LAKSHMI KOLIPAKA,Unanimous
Dharmasagar,Elukurthy(P.D),Ward,7,BC(G) YATA LINGESH,Elected
Dharmasagar,Elukurthy(P.D),Ward,8,SC(W) KOLIPAKA SWAROOPA,Elected
Dharmasagar,Elukurthy(P.D),Ward,9,SC(W) KOLIPAKA RADHIKA,Unanimous
Dharmasagar,Elukurthy(P.D),Ward,10,SC(G) ENDA KRISHNA,Elected
Dharmasagar,Janakipur,Ward,1,UR(W) YATA MAMATHA,Unanimous
Dharmasagar,Janakipur,Ward,2,BC(G) SIRIKONDA NAGESH,Elected
Dharmasagar,Janakipur,Ward,3,UR(W) MANDALA SANDHYA,Elected
Dharmasagar,Janakipur,Ward,4,BC(W) MANDALA RAMA,Elected
Dharmasagar,Janakipur,Ward,5,UR(G) POTLA RAVIMOHANREDDY,Elected
Dharmasagar,Janakipur,Ward,6,SC(W) KURSAPALLY VIJAYA,Elected
Dharmasagar,Janakipur,Ward,7,SC(G) KURSAPALLY RAMESH,Elected
Dharmasagar,Janakipur,Ward,8,UR(G) MADDI BHASKAR,Elected
Dharmasagar,Karunapuram,Ward,1,SC(G) Rajarapu Suman,Elected
Dharmasagar,Karunapuram,Ward,2,SC(W) Manjula Sika,Elected
Dharmasagar,Karunapuram,Ward,3,UR(G) Kommidi Shashi Kumar,Elected
Dharmasagar,Karunapuram,Ward,4,SC(W) Rajarapu Suvarna,Elected
Dharmasagar,Karunapuram,Ward,5,UR(W) Katakam Mary Jesintha,Elected
Dharmasagar,Karunapuram,Ward,6,UR(G) Kandikonda Sravani,Elected
Dharmasagar,Karunapuram,Ward,7,SC(G) Gaddam Prathap,Elected
Dharmasagar,Karunapuram,Ward,8,UR(W) Kuthati Sumalatha,Elected
Dharmasagar,Kashagudem,Ward,1,BC(W) Sayyad Gunnar Bee,Unanimous
Dharmasagar,Kashagudem,Ward,2,BC(W) Shek Husen Bee,Unanimous
Dharmasagar,Kashagudem,Ward,3,BC(G) Sayad Chandini,Unanimous
Dharmasagar,Kashagudem,Ward,4,BC(G) Sayad Karim,Unanimous
