Mandal,Gram Panchayat,Ward,Category,Name,Status
Bhupalpalle,Amudalapally (New),Ward,1,SC(W) Jimuda Malasri,Unanimous
Bhupalpalle,Amudalapally (New),Ward,2,SC(W) Durgam Kavitha,Unanimous
Bhupalpalle,Amudalapally (New),Ward,3,UR(W) Jimuda Sammakka,Unanimous
Bhupalpalle,Amudalapally (New),Ward,4,UR(G) Muski Devendhar,Unanimous
Bhupalpalle,Amudalapally (New),Ward,5,SC(G) DURGAM RAJADSAMMAIAH,Unanimous
Bhupalpalle,Amudalapally (New),Ward,6,UR(G) Icchamthala Swapna,Unanimous
Bhupalpalle,Azamnagar,Ward,1,UR(W) BOMMANA LAXMI,Elected
Bhupalpalle,Azamnagar,Ward,2,BC(G) GOVINDULA SAMMAIAH,Unanimous
Bhupalpalle,Azamnagar,Ward,3,BC(W) EMBADI RAJYALAXMI,Elected
Bhupalpalle,Azamnagar,Ward,4,BC(W) BANDLA SHAILAJA,Elected
Bhupalpalle,Azamnagar,Ward,5,BC(G) SOMISHETTI MAHESHWAR KUMAR,Unanimous
Bhupalpalle,Azamnagar,Ward,6,BC(G) THADAKALA RAJU,Elected
Bhupalpalle,Azamnagar,Ward,7,BC(W) BANDARI SHASHIKALA,Unanimous
Bhupalpalle,Azamnagar,Ward,8,SC(W) KOYYALA SOUNDARYA,Elected
Bhupalpalle,Azamnagar,Ward,9,UR(G) PULYALA SHYAMKUMAR,Elected
Bhupalpalle,Azamnagar,Ward,10,BC(G) KEERTHI RAMESH,Elected
Bhupalpalle,Bavusinghpally,Ward,1,ST(W) AJMEERA RAMADEVI,Unanimous
Bhupalpalle,Bavusinghpally,Ward,2,BC(W) KORUKOPPULA ANITHA,Unanimous
Bhupalpalle,Bavusinghpally,Ward,3,BC(G) SURESH POTHARAVENI,Elected
Bhupalpalle,Bavusinghpally,Ward,4,BC(W) SUKANYA GANTA,Unanimous
Bhupalpalle,Bavusinghpally,Ward,5,BC(G) EMBADI MADHUKAR,Elected
Bhupalpalle,Bavusinghpally,Ward,6,ST(G) LAKSHMAIAH BEEMUNI,Elected
Bhupalpalle,Bavusinghpally,Ward,7,ST(G) RUPUSINGH DEDAVATH,Elected
Bhupalpalle,Bavusinghpally,Ward,8,BC(W) ESHALA SRAVANTHI,Elected
Bhupalpalle,Deekshakunta,Ward,1,UR(G) MITTAKANTI DHAYAKER,Elected
Bhupalpalle,Deekshakunta,Ward,2,UR(W) PENUKULA SHOBHA RANI,Unanimous
Bhupalpalle,Deekshakunta,Ward,3,UR(W) PULLA SWAPNA,Unanimous
Bhupalpalle,Deekshakunta,Ward,4,UR(G) AMBALA RAVI,Elected
Bhupalpalle,Deekshakunta,Ward,5,SC(W) ULLERAO PRAMEELA,Unanimous
Bhupalpalle,Deekshakunta,Ward,6,SC(W) KAARAM RAJAMMA,Elected
Bhupalpalle,Deekshakunta,Ward,7,ST(G) AZMEERA MOTHILAL,Elected
Bhupalpalle,Deekshakunta,Ward,8,SC(G) ULLERAO PRASHANTH,Unanimous
Bhupalpalle,Dudekulapally,Ward,1,BC(G) GANDHAM RAJABABU,Unanimous
Bhupalpalle,Dudekulapally,Ward,2,ST(W) GOSKULA KOMURAKKA,Elected
Bhupalpalle,Dudekulapally,Ward,3,BC(G) BILUGU SANTHOSH,Elected
Bhupalpalle,Dudekulapally,Ward,4,BC(W) SRILATHA BILUGU,Elected
Bhupalpalle,Dudekulapally,Ward,5,ST(G) LAAVUDYA RAJITHA,Elected
Bhupalpalle,Dudekulapally,Ward,6,SC(W) PRAMEELA PALTHIYA,Unanimous
Bhupalpalle,Dudekulapally,Ward,7,SC(W) KATHULA SAMMAKKA,Unanimous
Bhupalpalle,Dudekulapally,Ward,8,ST(W) LAVUDYA SUJATHA,Elected
Bhupalpalle,Gollabudharam,Ward,1,SC(G) AMBALA PRAKASH,Unanimous
Bhupalpalle,Gollabudharam,Ward,2,SC(W) AMBALA MALLAMMA,Unanimous
Bhupalpalle,Gollabudharam,Ward,3,SC(G) GUDU POSHAIAH,Unanimous
Bhupalpalle,Gollabudharam,Ward,4,BC(W) GOGU SARITHA,Elected
Bhupalpalle,Gollabudharam,Ward,5,BC(W) GADHAM LAVANYA,Unanimous
Bhupalpalle,Gollabudharam,Ward,6,BC(W) BOGGULA RAJITHA,Elected
Bhupalpalle,Gollabudharam,Ward,7,BC(G) KANUKULA BAPANNA,Elected
Bhupalpalle,Gollabudharam,Ward,8,UR(G) GADHAM KUMAR,Elected
Bhupalpalle,Gorlaveedu,Ward,1,UR(G) MAINODDIN,Elected
Bhupalpalle,Gorlaveedu,Ward,2,BC(G) RAMESH,Elected
Bhupalpalle,Gorlaveedu,Ward,3,BC(G) KOUTAM KRISHNAVENI,Unanimous
Bhupalpalle,Gorlaveedu,Ward,4,BC(G) SADAIAH,Elected
Bhupalpalle,Gorlaveedu,Ward,5,UR(G) SUDAKAR,Elected
Bhupalpalle,Gorlaveedu,Ward,6,UR(W) SAROJANA,Elected
Bhupalpalle,Gorlaveedu,Ward,7,BC(W) LATHA,Elected
