Mandal,Gram Panchayat,Ward,Category,Name,Status
Atmakur_S,Aipoor,Ward,1,UR(G) AVIRE UPENDAR,Elected
Atmakur_S,Aipoor,Ward,2,UR(W) VARIKUPPALA HEMALATHA,Elected
Atmakur_S,Aipoor,Ward,3,SC(G) POKALA MADHUSUDHAN,Elected
Atmakur_S,Aipoor,Ward,4,UR(G) KARINGULA LINGAIAH,Elected
Atmakur_S,Aipoor,Ward,5,BC(G) DHAMIDI RAJU,Elected
Atmakur_S,Aipoor,Ward,6,UR(W) AVIRE PADMA,Elected
Atmakur_S,Aipoor,Ward,7,UR(G) NUKALA GIRIPRASAD REDDY,Elected
Atmakur_S,Aipoor,Ward,8,UR(W) GUNDLAPALLY SAIDAMMA,Elected
Atmakur_S,Aipoor,Ward,9,SC(W) KALLEPALLY ARUNA,Elected
Atmakur_S,Aipoor,Ward,10,BC(W) JYOTHI SUDHAGANI,Elected
Atmakur_S,Aipoor,Ward,11,BC(W) RENUKA PARIKAPALLY,Elected
Atmakur_S,Aipoor,Ward,12,BC(G) CHENAGANI LINGAIAH,Elected
Atmakur_S,Aipoor Thanda,Ward,1,ST(G) VANKUDOTHU BUJJI,Elected
Atmakur_S,Aipoor Thanda,Ward,2,ST(G) BODA SHEKER,Elected
Atmakur_S,Aipoor Thanda,Ward,3,ST(G) BODA SHEKER,Elected
Atmakur_S,Aipoor Thanda,Ward,4,ST(W) VANKUDOTHU MANGNI,Elected
Atmakur_S,Aipoor Thanda,Ward,5,ST(W) VANKUDOTHU BHADRI,Unanimous
Atmakur_S,Aipoor Thanda,Ward,6,ST(G) BODA SURESH,Elected
Atmakur_S,Aipoor Thanda,Ward,7,ST(W) VANKUDOTHU MANJULA,Unanimous
Atmakur_S,Aipoor Thanda,Ward,8,ST(W) VANKUDOTHU PUSHPALATHA,Elected
Atmakur_S,Athmakur(S),Ward,1,BC(G) AVULA SIMHADRI,Elected
Atmakur_S,Athmakur(S),Ward,2,BC(W) JORKA LAKSHMI,Elected
Atmakur_S,Athmakur(S),Ward,3,BC(W) TURKA EERAMMA,Elected
Atmakur_S,Athmakur(S),Ward,4,UR(G) NANDYALA MOHAN BHARGAV REDDY,Elected
Atmakur_S,Athmakur(S),Ward,5,SC(G) BODDU SAIDULU,Elected
Atmakur_S,Athmakur(S),Ward,6,UR(W) MIRYALA NAGALAXMI,Elected
Atmakur_S,Athmakur(S),Ward,7,UR(W) KONATHAM JAYITHA,Elected
Atmakur_S,Athmakur(S),Ward,8,UR(G) GUDDETI JOHN REDDY,Elected
Atmakur_S,Athmakur(S),Ward,9,BC(G) GIRIGATHULA JANAKAMMA,Elected
Atmakur_S,Athmakur(S),Ward,10,UR(W) GUNAGANTI NEELAMMA,Elected
Atmakur_S,Athmakur(S),Ward,11,SC(W) MULKALAPALLI PRAMEELA,Elected
Atmakur_S,Athmakur(S),Ward,12,UR(G) PUPPALA KRISHNAIAH,Elected
Atmakur_S,Bopparam,Ward,1,BC(W) BOINA LAXMI,Elected
Atmakur_S,Bopparam,Ward,2,SC(W) SIDDALA SARITTHA,Elected
Atmakur_S,Bopparam,Ward,3,UR(G) EDLA RAJITHA,Elected
Atmakur_S,Bopparam,Ward,4,SC(G) BASPANGU ABAIAH,Elected
Atmakur_S,Bopparam,Ward,5,SC(W) SIRIPANGU SHOBA,Elected
Atmakur_S,Bopparam,Ward,6,UR(G) SOMIREDDY DEVENDAR REDDY,Elected
Atmakur_S,Bopparam,Ward,7,UR(W) KOPPULA VANAJA,Elected
Atmakur_S,Bopparam,Ward,8,UR(W) PARALA PADMA,Elected
Atmakur_S,Bopparam,Ward,9,UR(G) GOPAGANI GOVARDHAN,Elected
Atmakur_S,Bopparam,Ward,10,ST(G) VANKUDOTHU RAVINDAR,Elected
Atmakur_S,Boring Thanda,Ward,1,ST(G) GUGULOTHU MANGNA,Elected
Atmakur_S,Boring Thanda,Ward,2,ST(G) GUGULOTHU VASRAM,Elected
Atmakur_S,Boring Thanda,Ward,3,ST(W) GUGULOTHU LALITHA,Elected
Atmakur_S,Boring Thanda,Ward,4,UR(W) GUGULOTHU BHADRAMMA,Elected
Atmakur_S,Boring Thanda,Ward,5,UR(G) GUGULOTHU KUMAR,Elected
Atmakur_S,Boring Thanda,Ward,6,UR(W) GUGULOTHU LALI,Elected
Atmakur_S,Boring Thanda,Ward,7,UR(G) PATHULOTHU MAOTHILAL,Elected
Atmakur_S,Boring Thanda,Ward,8,UR(W) GUGULOTHU KANTHI,Elected
Atmakur_S,Botya Thanda,Ward,1,ST(G) SAPAVATH ESTRA,Unanimous
Atmakur_S,Botya Thanda,Ward,2,ST(W) SAPAVVATH MOTHI,Unanimous
Atmakur_S,Botya Thanda,Ward,3,ST(W) YERRNAGULA VIJAYA,Unanimous
Atmakur_S,Botya Thanda,Ward,4,ST(G) DUBBAKA NEHRU,Unanimous
Atmakur_S,Botya Thanda,Ward,5,ST(G) BHUKYA VEERANNA,Unanimous
Atmakur_S,Botya Thanda,Ward,6,ST(G) BHUKYA SHANKER,Unanimous
Atmakur_S,Botya Thanda,Ward,7,ST(W) VADTHYA PUSHPA,Unanimous
Atmakur_S,Botya Thanda,Ward,8,ST(W) BUKYA ACHAMMA,Unanimous
Atmakur_S,Dacharam,Ward,1,BC(W) ALLI MANGAMMA,Elected
Atmakur_S,Dacharam,Ward,2,UR(W) KATURI SUNITHA,Elected
Atmakur_S,Dacharam,Ward,3,BC(G) POLAGANI VEERAIAH,Elected
Atmakur_S,Dacharam,Ward,4,BC(G) MALA SRINIVASA REDDY,Elected
Atmakur_S,Dacharam,Ward,5,UR(W) JINAKAL RENUKA,Elected
Atmakur_S,Dacharam,Ward,6,UR(G) GANGARABOINA SHANKAR,Elected
Atmakur_S,Dacharam,Ward,7,SC(G) PALLELA BIXAM,Elected
Atmakur_S,Dacharam,Ward,8,SC(W) PALLELA NAGAMMA,Elected
Atmakur_S,Dubbathanda,Ward,1,ST(G) JATOTH SRINU,Unanimous
Atmakur_S,Dubbathanda,Ward,2,ST(W) JATOTHU MASRU,Unanimous
Atmakur_S,Dubbathanda,Ward,3,ST(G) JATOTH SANJEEVA,Unanimous
Atmakur_S,Dubbathanda,Ward,4,ST(W) JATOTHU SAIDAMMA,Unanimous
Atmakur_S,Dubbathanda,Ward,5,ST(W) JATOTH MANNI,Unanimous
Atmakur_S,Dubbathanda,Ward,6,ST(G) BHUKYA KRANTHI KUMAR,Unanimous
Atmakur_S,Enubamula,Ward,1,BC(G) SINGU SRIHARI,Elected
Atmakur_S,Enubamula,Ward,2,UR(W) BOORA UMA,Elected
Atmakur_S,Enubamula,Ward,3,SC(G) Kalakotla Chandhraiah,Elected
