Mandal,Gram Panchayat,Ward,Category,Name,Status
Basheerabad,Damarched,Ward,1,BC(G) Hanmaiah,Unanimous
Basheerabad,Damarched,Ward,2,BC(W) Koninti Padma,Elected
Basheerabad,Damarched,Ward,3,BC(W) Vijaya laxmi,Elected
Basheerabad,Damarched,Ward,4,BC(G) Srinivas reddy,Elected
Basheerabad,Damarched,Ward,5,BC(W) Basamma,Elected
Basheerabad,Damarched,Ward,6,BC(G) J Shanth Kumar,Elected
Basheerabad,Damarched,Ward,7,BC(G) SURESH,Elected
Basheerabad,Damarched,Ward,8,BC(W) RADHA,Elected
Basheerabad,Ekmai,Ward,1,UR(G) Jogi Pedda Mallesham,Elected
Basheerabad,Ekmai,Ward,2,UR(W) Pulgari Narsamma,Elected
Basheerabad,Ekmai,Ward,3,BC(G) Tuppudu Mahesh kumar,Elected
Basheerabad,Ekmai,Ward,4,UR(G) Boini Pandu,Elected
Basheerabad,Ekmai,Ward,5,BC(W) Shiragani Laxmi,Elected
Basheerabad,Ekmai,Ward,6,UR(G) Kurkunta Ravi kumar,Elected
Basheerabad,Ekmai,Ward,7,UR(G) Laxmi T,Elected
Basheerabad,Ekmai,Ward,8,BC(W) Chinnola Sumalatha,Elected
Basheerabad,Ekmai,Ward,9,SC(G) Enke Venkatappa,Elected
Basheerabad,Ekmai,Ward,10,SC(W) Poshamolla Venkatamma,Elected
Basheerabad,Gottekhurd,Ward,1,BC(W) J RAJESHWARI,Elected
Basheerabad,Gottekhurd,Ward,2,BC(G) KAMARI ANJAAIAH,Elected
Basheerabad,Gottekhurd,Ward,3,UR(G) B VENKAT REDDY,Elected
Basheerabad,Gottekhurd,Ward,4,BC(W) UPPARI PARWATHAMMA,Elected
Basheerabad,Gottekhurd,Ward,5,BC(W) SAVITRAMMA,Elected
Basheerabad,Gottekhurd,Ward,6,BC(W) TALARI NARSAMMA,Elected
Basheerabad,Gottekhurd,Ward,7,BC(G) M NARENDER,Elected
Basheerabad,Gottekhurd,Ward,8,SC(G) MYATARI MOGULAPPA,Elected
Basheerabad,Gottiga Kalan,Ward,1,UR(G) Dyavari Kistamma,Elected
Basheerabad,Gottiga Kalan,Ward,2,UR(W) Hameeda begum,Elected
