state,year,district,block,gram_panchayat,ward_no,tier,tier_local,reservation,caste_reservation,woman_reserved,winner,winner_basis,unopposed,reservation_raw,script,source_path,source_page
Telangana,2019,Bhadradri,Allapalli,Adaviramaram,1,gp_ward,ward member,ST Woman,ST,1,KOUSALYA PAYAM,published,1,ST(W),latin,data/telangana/2019_ward/2019_ward_Bhadradri.csv,
Telangana,2019,Bhadradri,Allapalli,Adaviramaram,2,gp_ward,ward member,ST Woman,ST,1,PAYAM KANTHA,published,1,ST(W),latin,data/telangana/2019_ward/2019_ward_Bhadradri.csv,
Telangana,2019,Bhadradri,Allapalli,Adaviramaram,3,gp_ward,ward member,ST Other than Woman,ST,0,PAYAM BORRAIAH,published,1,ST(G),latin,data/telangana/2019_ward/2019_ward_Bhadradri.csv,
Telangana,2019,Bhadradri,Allapalli,Adaviramaram,4,gp_ward,ward member,ST Other than Woman,ST,0,PAYAM PRASHANTH,published,1,ST(G),latin,data/telangana/2019_ward/2019_ward_Bhadradri.csv,
Telangana,2019,Bhadradri,Allapalli,Allapalli,1,gp_ward,ward member,BC Woman,BC,1,NAREDLA SARITHA,published,0,BC(W),latin,data/telangana/2019_ward/2019_ward_Bhadradri.csv,
Telangana,2019,Bhadradri,Allapalli,Allapalli,2,gp_ward,ward member,Other than Woman,NONE,0,MOHAMMAD KHAYOOM,published,0,UR(G),latin,data/telangana/2019_ward/2019_ward_Bhadradri.csv,
Telangana,2019,Bhadradri,Allapalli,Allapalli,3,gp_ward,ward member,BC Other than Woman,BC,0,BURRA VINODA,published,0,BC(G),latin,data/telangana/2019_ward/2019_ward_Bhadradri.csv,
Telangana,2019,Bhadradri,Allapalli,Allapalli,4,gp_ward,ward member,Woman,NONE,1,RESU SYAMBA,published,0,UR(W),latin,data/telangana/2019_ward/2019_ward_Bhadradri.csv,
Telangana,2019,Bhadradri,Allapalli,Allapalli,5,gp_ward,ward member,Woman,NONE,1,RESU SURENDAR,published,0,UR(W),latin,data/telangana/2019_ward/2019_ward_Bhadradri.csv,
Telangana,2019,Bhadradri,Allapalli,Allapalli,6,gp_ward,ward member,ST Other than Woman,ST,0,KARAKAPALLI SATISH,published,0,ST(G),latin,data/telangana/2019_ward/2019_ward_Bhadradri.csv,
Telangana,2019,Bhadradri,Allapalli,Allapalli,7,gp_ward,ward member,ST Woman,ST,1,VASAM SUSHEELA,published,0,ST(W),latin,data/telangana/2019_ward/2019_ward_Bhadradri.csv,
Telangana,2019,Bhadradri,Allapalli,Allapalli,8,gp_ward,ward member,ST Other than Woman,ST,0,GOGGELA SAMBAIAH,published,0,ST(G),latin,data/telangana/2019_ward/2019_ward_Bhadradri.csv,
Telangana,2019,Bhadradri,Allapalli,Allapalli,9,gp_ward,ward member,ST Woman,ST,1,KORASA ROJA,published,0,ST(W),latin,data/telangana/2019_ward/2019_ward_Bhadradri.csv,
