script,source,latin,suspect
devanagari,""" संध्या देवी",sandhya devi,
devanagari,#खसाना परवीन,khasana parveen,
devanagari,#पा सिंह सरदार,paa singh sardar,
devanagari,#पाली महतो,pally mahato,
devanagari,#मा नायेक,ma nayek,
devanagari,#मा रानी दुबे,ma rani dube,
devanagari,' रूपचंद,rupchand,
devanagari,' श्री रहिमाल,shri rahimal,
devanagari,' श्री सुरेश कुमार,shri suresh kumar,
devanagari,( तिपराकला ) बरईल,tiparakala bha barail,
devanagari,( धुधा ) गड़ौना,dhudha bha gadauna,
devanagari,( लीलावती ),lilawati,
devanagari,(1) मनैया,manaiya,
devanagari,(2) सेवाटांड,sevatand,
devanagari,(3) सलैयडीह,salaidih,
devanagari,(4) चलकुशा,chalkusha,
devanagari,(5) अलगडीहा,algadiha,
devanagari,(6) सुदन,sudan,
devanagari,(7) मस्केडीह,maskedih,
devanagari,(8) चौबे,chaube,
devanagari,(9) खरगु,khargu,
devanagari,**आलोक** मोना सिंह सरदार,alokako mona singh sardar,
devanagari,+ जुम्मा उ0पू0,jumma upu,lost 1 of 3 words
devanagari,+ पुरान,puran,lost 1 of 2 words
devanagari,", गंगचौली बुजुर्ग",gangchauli bujurg,
devanagari,"-
रीता देवी",reeta devi,
devanagari,- अकदोनीखुर्द,akdonikhurd,
devanagari,- अम्बाटाँड,ambatand,
devanagari,- अलगुन्दा,algunda,
devanagari,- उत्तरी डोरण्डा,uttari doranda,
devanagari,- उत्तरी धनवार,uttari dhanwar,
devanagari,- कंचनपुर,kanchanpur,
devanagari,- कटरा,katara,
devanagari,- कपिलो,kapilo,
devanagari,- कुंजबोना,kunjbona,
devanagari,- कुशपहाड़ी,kushpahaadi,
devanagari,- खपरो,khapro,
devanagari,- खरडीहा,khardiha,
devanagari,- खरियोडीह,khariyodih,
devanagari,- खाडुकदमा,khadukdama,
devanagari,- खुटोजोरी,khutojori,
devanagari,- गन्द्रकपुर,gandrakpur,
