level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	1	2	352	1	-1	
3	1	1	1	0	0	1	2	352	1	-1	
4	1	1	1	1	0	1	2	352	1	-1	
5	1	1	1	1	1	1	2	352	1	95.000000	 
2	1	2	0	0	0	333	157	2033	8	-1	
3	1	2	1	0	0	333	157	2033	8	-1	
4	1	2	1	1	0	333	157	2033	8	-1	
5	1	2	1	1	1	333	157	2033	8	95.000000	 
2	1	3	0	0	0	1047	172	606	206	-1	
3	1	3	1	0	0	1047	172	606	206	-1	
4	1	3	1	1	0	1149	172	401	44	-1	
5	1	3	1	1	1	1149	172	242	44	91.181503	Tufanganj-I
5	1	3	1	1	2	1403	173	14	34	91.166649	/
5	1	3	1	1	3	1430	173	120	34	91.166649	ZP-28
4	1	3	1	2	0	1132	225	434	42	-1	
5	1	3	1	2	1	1132	225	202	42	91.823799	Natabari-I,
5	1	3	1	2	2	1348	226	218	41	89.685196	Natabari-II,
4	1	3	1	3	0	1047	279	606	42	-1	
5	1	3	1	3	1	1047	279	269	42	73.693733	Chilakhana-II,
5	1	3	1	3	2	1330	280	242	35	92.095268	Chilakhana-I
5	1	3	1	3	3	1586	280	67	35	96.741096	and
4	1	3	1	4	0	1185	334	330	44	-1	
5	1	3	1	4	1	1185	334	178	44	91.889580	Maruganj
5	1	3	1	4	2	1391	334	124	35	96.457336	Grams
2	1	4	0	0	0	1005	430	1361	10	-1	
3	1	4	1	0	0	1005	430	1361	10	-1	
4	1	4	1	1	0	1005	430	1361	10	-1	
5	1	4	1	1	1	1005	430	1361	10	95.000000	 
2	1	5	0	0	0	1056	448	835	194	-1	
3	1	5	1	0	0	1056	448	835	194	-1	
4	1	5	1	1	0	1834	448	57	34	-1	
5	1	5	1	1	1	1834	448	57	34	95.465897	SC
4	1	5	1	2	0	1149	500	400	44	-1	
5	1	5	1	2	1	1149	500	242	44	89.248848	Tufanganj-I
5	1	5	1	2	2	1403	501	14	33	90.598969	/
5	1	5	1	2	3	1430	501	119	34	90.598969	ZP-29
4	1	5	1	3	0	1073	552	552	44	-1	
5	1	5	1	3	1	1073	552	262	44	86.547508	Balarampur-I,
5	1	5	1	3	2	1349	552	276	44	38.499989	Balarampur-II,
4	1	5	1	4	0	1056	606	588	36	-1	
5	1	5	1	4	1	1056	606	190	35	93.045517	Deocharai
5	1	5	1	4	2	1260	606	66	35	93.297928	and
5	1	5	1	4	3	1340	606	168	35	92.293541	Balabhut
5	1	5	1	4	4	1520	608	124	34	96.428001	Grams
2	1	6	0	0	0	408	522	467	51	-1	
3	1	6	1	0	0	408	522	467	51	-1	
4	1	6	1	1	0	408	522	467	51	-1	
5	1	6	1	1	1	408	522	241	51	81.184761	Tufanganj-I
5	1	6	1	1	2	853	526	22	34	96.917374	3
2	1	7	0	0	0	1004	649	1361	8	-1	
3	1	7	1	0	0	1004	649	1361	8	-1	
4	1	7	1	1	0	1004	649	1361	8	-1	
5	1	7	1	1	1	1004	649	1361	8	95.000000	 
2	1	8	0	0	0	1097	663	504	204	-1	
3	1	8	1	0	0	1097	663	504	204	-1	
4	1	8	1	1	0	1149	663	400	44	-1	
5	1	8	1	1	1	1149	663	242	44	91.118767	Tufanganj-I
5	1	8	1	1	2	1403	664	14	33	90.014595	/
5	1	8	1	1	3	1429	664	120	34	92.796310	ZP-30
4	1	8	1	2	0	1116	715	466	44	-1	
5	1	8	1	2	1	1116	715	203	44	38.171280	Dhalpal-II,
5	1	8	1	2	2	1334	717	42	33	92.361046	A.
5	1	8	1	2	3	1391	715	191	41	68.920395	Fulbari-II,
4	1	8	1	3	0	1097	768	504	45	-1	
5	1	8	1	3	1	1097	768	189	45	89.155014	Dhalpal-I,
5	1	8	1	3	2	1300	770	43	33	92.998184	A.
5	1	8	1	3	3	1358	768	163	36	90.727791	Fulbari-I
5	1	8	1	3	4	1536	769	65	35	96.463371	and
4	1	8	1	4	0	1150	822	397	45	-1	
5	1	8	1	4	1	1150	822	259	45	92.351692	Nakkatigachh
5	1	8	1	4	2	1423	824	124	34	96.733910	Grams
2	1	9	0	0	0	331	917	2034	11	-1	
3	1	9	1	0	0	331	917	2034	11	-1	
4	1	9	1	1	0	331	917	2034	11	-1	
5	1	9	1	1	1	331	917	2034	11	95.000000	 
2	1	10	0	0	0	1098	935	1172	141	-1	
3	1	10	1	0	0	1098	935	1172	141	-1	
4	1	10	1	1	0	1139	935	1131	44	-1	
5	1	10	1	1	1	1139	935	260	44	76.879990	Tufanganj-II
5	1	10	1	1	2	1411	935	14	34	89.656395	/
5	1	10	1	1	3	1438	935	117	34	90.986702	ZP-31
5	1	10	1	1	4	1833	936	57	35	95.522896	SC
5	1	10	1	1	5	2119	938	151	34	96.432770	Women
4	1	10	1	2	0	1098	986	503	41	-1	
5	1	10	1	2	1	1098	986	171	41	91.368500	Salbari-I,
5	1	10	1	2	2	1284	986	236	35	91.368500	Barokodali-I
5	1	10	1	2	3	1535	987	66	35	96.685905	and
4	1	10	1	3	0	1148	1040	401	36	-1	
5	1	10	1	3	1	1148	1040	251	35	41.101757	Barokodali-II
5	1	10	1	3	2	1425	1041	124	35	96.587509	Grams
2	1	11	0	0	0	1004	1138	1361	8	-1	
3	1	11	1	0	0	1004	1138	1361	8	-1	
4	1	11	1	1	0	1004	1138	1361	8	-1	
5	1	11	1	1	1	1004	1138	1361	8	95.000000	 
2	1	12	0	0	0	397	1152	1492	196	-1	
3	1	12	1	0	0	397	1152	1492	196	-1	
4	1	12	1	1	0	1138	1152	418	45	-1	
5	1	12	1	1	1	1138	1152	261	45	57.718777	Tufanganj-II
5	1	12	1	1	2	1411	1153	14	34	90.022415	/
5	1	12	1	1	3	1437	1153	119	35	93.012909	ZP-32
4	1	12	1	2	0	1043	1204	846	43	-1	
5	1	12	1	2	1	1043	1204	300	42	87.345886	Mahishkuchi-II,
5	1	12	1	2	2	1357	1205	296	42	55.402225	Bhanukumari-I,
5	1	12	1	2	3	1832	1209	57	34	94.650978	SC
4	1	12	1	3	0	397	1255	1235	54	-1	
5	1	12	1	3	1	397	1255	260	54	55.363953	Tufanganj-II
5	1	12	1	3	2	851	1261	22	34	62.995842	3
5	1	12	1	3	3	1063	1258	298	35	79.244171	Bhanukumari-II
5	1	12	1	3	4	1375	1259	67	35	92.943001	and
5	1	12	1	3	5	1457	1259	175	35	82.538528	Salbari-II
4	1	12	1	4	0	1286	1314	123	34	-1	
5	1	12	1	4	1	1286	1314	123	34	96.628136	Grams
2	1	13	0	0	0	1003	1363	1361	8	-1	
3	1	13	1	0	0	1003	1363	1361	8	-1	
4	1	13	1	1	0	1003	1363	1361	8	-1	
5	1	13	1	1	1	1003	1363	1361	8	95.000000	 
2	1	14	0	0	0	1055	1378	1214	141	-1	
3	1	14	1	0	0	1055	1378	1214	141	-1	
4	1	14	1	1	0	1143	1378	1126	44	-1	
5	1	14	1	1	1	1143	1378	275	44	0.000000	Tufanganj-II/
5	1	14	1	1	2	1431	1378	119	35	91.660965	ZP-33
5	1	14	1	1	3	1832	1380	57	34	90.212097	SC
5	1	14	1	1	4	2118	1381	151	34	96.816216	Women
4	1	14	1	2	0	1055	1430	584	44	-1	
5	1	14	1	2	1	1055	1430	207	43	51.231228	Rampur-II,
5	1	14	1	2	2	1276	1430	191	44	14.743176	Rampur-l,
5	1	14	1	2	3	1481	1430	158	35	91.699013	Falimari
4	1	14	1	3	0	1102	1483	490	36	-1	
5	1	14	1	3	1	1102	1483	66	35	93.285873	and
5	1	14	1	3	2	1182	1484	273	35	91.152863	Mahishkuchi-I
5	1	14	1	3	3	1469	1485	123	34	96.729996	Grams
2	1	15	0	0	0	329	1627	2033	12	-1	
3	1	15	1	0	0	329	1627	2033	12	-1	
4	1	15	1	1	0	329	1627	2033	12	-1	
5	1	15	1	1	1	329	1627	2033	12	95.000000	 
2	1	16	0	0	0	1239	1966	764	99	-1	
3	1	16	1	0	0	1239	1966	764	99	-1	
4	1	16	1	1	0	1341	1966	558	44	-1	
5	1	16	1	1	1	1341	1967	91	34	96.214020	State
5	1	16	1	1	2	1445	1966	155	36	95.877190	Election
5	1	16	1	1	3	1614	1968	285	42	96.501045	Commissioner,
4	1	16	1	2	0	1239	2021	764	44	-1	
5	1	16	1	2	1	1239	2021	94	34	96.854614	West
5	1	16	1	2	2	1346	2021	130	44	96.809448	Bengal
5	1	16	1	2	3	1492	2021	90	35	95.981339	State
5	1	16	1	2	4	1597	2022	154	35	95.981339	Election
5	1	16	1	2	5	1765	2023	238	35	96.696510	Commission
2	1	17	0	0	0	1648	2073	260	53	-1	
3	1	17	1	0	0	1648	2073	260	53	-1	
4	1	17	1	1	0	1648	2073	260	53	-1	
5	1	17	1	1	1	1648	2073	260	53	4.067774	)5.11-./7
2	1	18	0	0	0	1836	3495	709	4	-1	
3	1	18	1	0	0	1836	3495	709	4	-1	
4	1	18	1	1	0	1836	3495	709	4	-1	
5	1	18	1	1	1	1836	3495	709	4	95.000000	 
2	1	19	0	0	0	1031	3498	325	1	-1	
3	1	19	1	0	0	1031	3498	325	1	-1	
4	1	19	1	1	0	1031	3498	325	1	-1	
5	1	19	1	1	1	1031	3498	325	1	95.000000	 
