level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	356	188	1999	11	-1	
3	1	1	1	0	0	356	188	1999	11	-1	
4	1	1	1	1	0	356	188	1999	11	-1	
5	1	1	1	1	1	356	188	1999	11	95.000000	 
2	1	2	0	0	0	1088	204	1154	252	-1	
3	1	2	1	0	0	1088	204	1154	252	-1	
4	1	2	1	1	0	1167	204	331	36	-1	
5	1	2	1	1	1	1167	204	174	35	92.573891	Falakata
5	1	2	1	1	2	1353	205	14	34	91.255180	/
5	1	2	1	1	3	1379	205	119	35	91.255180	ZP-13
4	1	2	1	2	0	1188	257	289	45	-1	
5	1	2	1	2	1	1188	257	289	45	56.916801	Dhanirampur-I,
4	1	2	1	3	0	1088	311	1154	46	-1	
5	1	2	1	3	1	1088	311	305	45	81.024460	Dhanirampur-II,
5	1	2	1	3	2	1409	312	167	45	92.818573	Dalgaon,
5	1	2	1	3	3	1768	317	53	32	80.268570	SC
5	1	2	1	3	4	2101	319	141	31	96.581551	Women
4	1	2	1	4	0	1102	366	460	35	-1	
5	1	2	1	4	1	1102	366	191	34	90.748650	Jateswar-I
5	1	2	1	4	2	1308	366	65	35	93.296608	and
5	1	2	1	4	3	1386	367	176	34	92.160278	Jateswar-
4	1	2	1	5	0	1244	420	177	36	-1	
5	1	2	1	5	1	1244	421	28	34	64.502556	II
5	1	2	1	5	2	1298	420	123	36	93.652328	Grams
2	1	3	0	0	0	1063	463	1292	11	-1	
3	1	3	1	0	0	1063	463	1292	11	-1	
4	1	3	1	1	0	1063	463	1292	11	-1	
5	1	3	1	1	1	1063	463	1292	11	95.000000	 
2	1	4	0	0	0	465	478	1776	143	-1	
3	1	4	1	0	0	465	478	1776	143	-1	
4	1	4	1	1	0	1166	478	332	35	-1	
5	1	4	1	1	1	1166	478	174	35	91.699440	Falakata
5	1	4	1	1	2	1352	479	14	34	88.098564	/
5	1	4	1	1	3	1378	480	120	33	88.098564	ZP-14
4	1	4	1	2	0	465	524	1776	52	-1	
5	1	4	1	2	1	465	524	158	49	91.815048	Falakata
5	1	4	1	2	2	888	532	20	32	89.033127	3
5	1	4	1	2	3	1126	531	177	44	92.452660	Deogaon,
5	1	4	1	2	4	1317	531	223	45	91.580078	Mairadanga
5	1	4	1	2	5	2101	539	140	32	96.641304	Women
4	1	4	1	3	0	1123	584	417	37	-1	
5	1	4	1	3	1	1123	584	66	35	93.299263	and
5	1	4	1	3	2	1204	584	201	36	92.880783	Shalkumar
5	1	4	1	3	3	1417	586	123	35	96.418503	Grams
2	1	5	0	0	0	1062	627	1293	12	-1	
3	1	5	1	0	0	1062	627	1293	12	-1	
4	1	5	1	1	0	1062	627	1293	12	-1	
5	1	5	1	1	1	1062	627	1293	12	95.000000	 
2	1	6	0	0	0	1088	642	732	196	-1	
3	1	6	1	0	0	1088	642	732	196	-1	
4	1	6	1	1	0	1165	642	333	35	-1	
5	1	6	1	1	1	1165	642	174	35	90.986694	Falakata
5	1	6	1	1	2	1351	643	14	34	92.309456	/
5	1	6	1	1	3	1377	643	121	34	91.461868	ZP-15
4	1	6	1	2	0	1088	694	485	46	-1	
5	1	6	1	2	1	1088	694	251	45	92.862785	Guabarnagar,
5	1	6	1	2	2	1354	696	219	44	91.922874	Parangepar,
4	1	6	1	3	0	1089	747	731	40	-1	
5	1	6	1	3	1	1089	747	187	36	90.860634	Falakata-I
5	1	6	1	3	2	1290	748	66	35	93.254005	and
5	1	6	1	3	3	1370	749	202	35	84.436836	Falakata-II
5	1	6	1	3	4	1767	754	53	33	96.560638	SC
4	1	6	1	4	0	1269	803	123	35	-1	
5	1	6	1	4	1	1269	803	123	35	96.467300	Grams
2	1	7	0	0	0	353	896	2000	15	-1	
3	1	7	1	0	0	353	896	2000	15	-1	
4	1	7	1	1	0	353	896	2000	15	-1	
5	1	7	1	1	1	353	896	2000	15	95.000000	 
2	1	8	0	0	0	1093	915	474	151	-1	
3	1	8	1	0	0	1093	915	474	151	-1	
4	1	8	1	1	0	1144	915	371	35	-1	
5	1	8	1	1	1	1144	915	214	34	92.373672	Madarihat
5	1	8	1	1	2	1370	915	14	34	89.956535	/
5	1	8	1	1	3	1396	916	119	34	91.725517	ZP-16
4	1	8	1	2	0	1093	967	474	45	-1	
5	1	8	1	2	1	1093	967	210	45	92.436096	Bandapani,
5	1	8	1	2	2	1317	967	169	45	73.936485	Birpara-I
5	1	8	1	2	3	1500	968	67	35	96.755470	and
4	1	8	1	3	0	1145	1021	371	45	-1	
5	1	8	1	3	1	1145	1021	235	45	91.305450	Sishujhumra
5	1	8	1	3	2	1392	1022	124	35	96.742905	Grams
2	1	9	0	0	0	1060	1065	1292	10	-1	
3	1	9	1	0	0	1060	1065	1292	10	-1	
4	1	9	1	1	0	1060	1065	1292	10	-1	
5	1	9	1	1	1	1060	1065	1292	10	95.000000	 
2	1	10	0	0	0	1103	1079	1135	153	-1	
3	1	10	1	0	0	1103	1079	1135	153	-1	
4	1	10	1	1	0	1143	1079	371	35	-1	
5	1	10	1	1	1	1143	1079	214	35	92.073685	Madarihat
5	1	10	1	1	2	1369	1080	14	34	90.394478	/
5	1	10	1	1	3	1395	1081	119	33	92.167633	ZP-17
