level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	360	124	2078	16	-1	
3	1	1	1	0	0	360	124	2078	16	-1	
4	1	1	1	1	0	360	124	2078	16	-1	
5	1	1	1	1	1	360	124	2078	16	95.000000	 
2	1	2	0	0	0	1271	168	225	35	-1	
3	1	2	1	0	0	1271	168	225	35	-1	
4	1	2	1	1	0	1271	168	225	35	-1	
5	1	2	1	1	1	1271	168	79	34	86.604118	Mal
5	1	2	1	1	2	1362	168	134	35	86.604118	/ZP-15
2	1	3	0	0	0	358	335	2079	17	-1	
3	1	3	1	0	0	358	335	2079	17	-1	
4	1	3	1	1	0	358	335	2079	17	-1	
5	1	3	1	1	1	358	335	2079	17	95.000000	 
2	1	4	0	0	0	994	501	1441	15	-1	
3	1	4	1	0	0	994	501	1441	15	-1	
4	1	4	1	1	0	994	501	1441	15	-1	
5	1	4	1	1	1	994	501	1441	15	95.000000	 
2	1	5	0	0	0	459	200	1917	359	-1	
3	1	5	1	0	0	459	200	1917	352	-1	
4	1	5	1	1	0	1070	200	1306	75	-1	
5	1	5	1	1	1	1070	218	547	46	90.740982	Rajadanga,Chengmari,Kranti
5	1	5	1	1	2	1631	222	67	35	96.546021	and
5	1	5	1	1	3	2223	200	153	75	96.966759	Women
4	1	5	1	2	0	1200	274	367	44	-1	
5	1	5	1	2	1	1200	274	230	44	92.402145	Chapadanga
5	1	5	1	2	2	1443	276	124	34	96.271217	Grams
4	1	5	1	3	0	1231	355	302	35	-1	
5	1	5	1	3	1	1231	355	144	34	91.825706	Matiali
5	1	5	1	3	2	1388	355	14	34	92.902740	/
5	1	5	1	3	3	1414	356	119	34	91.727715	ZP-16
4	1	5	1	4	0	1022	404	1352	47	-1	
5	1	5	1	4	1	1022	404	134	36	93.049736	Matiali
5	1	5	1	4	2	1171	406	65	34	96.739456	Hat
5	1	5	1	4	3	1249	406	67	35	93.280441	and
5	1	5	1	4	4	1330	406	129	45	90.319572	Indong
5	1	5	1	4	5	1473	407	133	35	90.661064	Matiali
5	1	5	1	4	6	1621	408	124	36	96.780693	Grams
5	1	5	1	4	7	1941	412	56	35	96.750290	ST
5	1	5	1	4	8	2222	415	152	34	96.282166	Women
4	1	5	1	5	0	459	506	1068	53	-1	
5	1	5	1	5	1	459	506	142	53	92.582787	Matiali
5	1	5	1	5	2	837	513	21	34	96.994049	2
5	1	5	1	5	3	1237	517	143	34	91.143539	Matiali
5	1	5	1	5	4	1393	518	134	34	91.340408	/ZP-17
2	1	6	0	0	0	1049	568	666	92	-1	
3	1	6	1	0	0	1049	568	666	92	-1	
4	1	6	1	1	0	1049	568	666	48	-1	
5	1	6	1	1	1	1049	568	133	35	90.311920	Matiali
5	1	6	1	1	2	1197	569	440	47	89.126518	Batabari-I,Bidhannagar
5	1	6	1	1	3	1649	572	66	35	96.873230	and
4	1	6	1	2	0	1138	623	488	37	-1	
5	1	6	1	2	1	1138	623	132	34	92.578880	Matiali
5	1	6	1	2	2	1286	624	202	35	73.447510	Batabari-II
5	1	6	1	2	3	1502	625	124	35	96.906891	Grams
2	1	7	0	0	0	356	714	2078	19	-1	
3	1	7	1	0	0	356	714	2078	19	-1	
4	1	7	1	1	0	356	714	2078	19	-1	
5	1	7	1	1	1	356	714	2078	19	95.000000	 
2	1	8	0	0	0	1057	734	938	99	-1	
3	1	8	1	0	0	1057	734	938	99	-1	
4	1	8	1	1	0	1195	734	370	44	-1	
5	1	8	1	1	1	1195	734	211	44	91.816498	Nagrakata
5	1	8	1	1	2	1418	735	15	35	89.853882	/
5	1	8	1	1	3	1445	736	120	35	89.853882	ZP-18
4	1	8	1	2	0	1057	785	938	48	-1	
5	1	8	1	2	1	1057	785	230	46	91.354568	Champaguri
5	1	8	1	2	2	1301	788	65	35	93.251526	and
5	1	8	1	2	3	1382	788	185	45	91.287537	Sulkapara
5	1	8	1	2	4	1580	790	124	36	96.574699	Grams
5	1	8	1	2	5	1939	794	56	35	95.349045	ST
2	1	9	0	0	0	992	883	1441	15	-1	
3	1	9	1	0	0	992	883	1441	15	-1	
4	1	9	1	1	0	992	883	1441	15	-1	
5	1	9	1	1	1	992	883	1441	15	95.000000	 
2	1	10	0	0	0	422	862	1136	89	-1	
3	1	10	1	0	0	422	862	1136	89	-1	
4	1	10	1	1	0	422	862	1136	89	-1	
5	1	10	1	1	1	422	862	210	77	90.906876	Nagrakata
5	1	10	1	1	2	1200	907	211	44	92.147781	Nagrakata
5	1	10	1	1	3	1423	908	135	35	92.045509	/ZP-19
2	1	11	0	0	0	1126	958	1245	99	-1	
3	1	11	1	0	0	1126	958	1245	99	-1	
4	1	11	1	1	0	1126	958	1245	46	-1	
5	1	11	1	1	1	1126	958	426	46	88.223137	Looksan,Angrabhasa-I
5	1	11	1	1	2	1566	961	66	35	96.961365	and
5	1	11	1	1	3	2219	962	152	35	96.238518	Women
4	1	11	1	2	0	1176	1013	406	44	-1	
5	1	11	1	2	1	1176	1013	267	44	88.153656	Angrabhasa-II
5	1	11	1	2	2	1458	1015	124	35	96.968025	Grams
2	1	12	0	0	0	354	1056	2078	21	-1	
3	1	12	1	0	0	354	1056	2078	21	-1	
4	1	12	1	1	0	354	1056	2078	21	-1	
5	1	12	1	1	1	354	1056	2078	21	95.000000	 
2	1	13	0	0	0	1260	1293	764	147	-1	
3	1	13	1	0	0	1260	1293	764	147	-1	
4	1	13	1	1	0	1369	1293	549	39	-1	
5	1	13	1	1	1	1369	1293	90	35	96.429092	State
5	1	13	1	1	2	1473	1294	155	36	96.824226	Election
5	1	13	1	1	3	1642	1295	276	37	95.909264	Commissioner
4	1	13	1	2	0	1260	1347	764	45	-1	
5	1	13	1	2	1	1260	1347	94	34	96.230545	West
5	1	13	1	2	2	1368	1348	129	44	96.119873	Bengal
5	1	13	1	2	3	1514	1348	90	35	96.702171	State
5	1	13	1	2	4	1618	1349	155	35	96.210472	Election
5	1	13	1	2	5	1787	1351	237	36	95.725891	Commission
4	1	13	1	3	0	1644	1399	238	41	-1	
5	1	13	1	3	1	1644	1399	61	39	47.330742	1S
5	1	13	1	3	2	1747	1400	33	37	28.461027	4
5	1	13	1	3	3	1802	1403	30	36	21.100506	oh
5	1	13	1	3	4	1858	1404	24	36	47.368351	7
2	1	14	0	0	0	360	3144	1968	41	-1	
3	1	14	1	0	0	360	3144	1968	41	-1	
4	1	14	1	1	0	360	3144	1968	41	-1	
5	1	14	1	1	1	360	3144	103	21	76.676254	H:\shared
