level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	1	0	515	5	-1	
3	1	1	1	0	0	1	0	515	5	-1	
4	1	1	1	1	0	1	0	515	5	-1	
5	1	1	1	1	1	1	0	515	5	95.000000	 
2	1	2	0	0	0	407	154	1946	11	-1	
3	1	2	1	0	0	407	154	1946	11	-1	
4	1	2	1	1	0	407	154	1946	11	-1	
5	1	2	1	1	1	407	154	1946	11	95.000000	 
2	1	3	0	0	0	359	171	1199	142	-1	
3	1	3	1	0	0	359	171	1199	142	-1	
4	1	3	1	1	0	1191	171	285	45	-1	
5	1	3	1	1	1	1191	172	151	44	93.129021	Chopra
5	1	3	1	1	2	1354	171	14	35	91.895477	/
5	1	3	1	1	3	1381	171	95	34	91.895477	ZP-3
4	1	3	1	2	0	359	223	1180	46	-1	
5	1	3	1	2	1	359	226	51	43	0.000000	e
5	1	3	1	2	2	1132	224	221	44	93.063271	Ghirnigaon,
5	1	3	1	2	3	1369	223	170	45	92.297943	Lakhipur
4	1	3	1	3	0	1112	277	446	36	-1	
5	1	3	1	3	1	1112	278	66	35	93.270279	and
5	1	3	1	3	2	1192	277	229	36	90.548134	Chutiakhore
5	1	3	1	3	3	1435	278	123	34	96.480026	Grams
2	1	4	0	0	0	355	375	1999	7	-1	
3	1	4	1	0	0	355	375	1999	7	-1	
4	1	4	1	1	0	355	375	1999	7	-1	
5	1	4	1	1	1	355	375	1999	7	95.000000	 
2	1	5	0	0	0	1112	389	707	205	-1	
3	1	5	1	0	0	1112	389	707	205	-1	
4	1	5	1	1	0	1176	389	317	45	-1	
5	1	5	1	1	1	1176	391	184	43	91.168625	Islampur
5	1	5	1	1	2	1371	390	14	34	91.168625	/
5	1	5	1	1	3	1397	389	96	35	92.778511	ZP-4
4	1	5	1	2	0	1152	442	366	45	-1	
5	1	5	1	2	1	1152	443	234	44	91.121216	Kamalagaon
5	1	5	1	2	2	1401	442	117	45	92.298294	Sujali,
4	1	5	1	3	0	1112	496	707	45	-1	
5	1	5	1	3	1	1112	497	233	44	91.253471	Gobindapur,
5	1	5	1	3	2	1360	496	197	45	78.587555	Ramganj-I
5	1	5	1	3	3	1755	498	64	35	96.926208	BC
4	1	5	1	4	0	1120	550	430	44	-1	
5	1	5	1	4	1	1120	551	67	34	93.281189	and
5	1	5	1	4	2	1201	550	211	44	88.105545	Ramganj-II
5	1	5	1	4	3	1427	550	123	35	96.900543	Grams
2	1	6	0	0	0	2093	498	152	34	-1	
3	1	6	1	0	0	2093	498	152	34	-1	
4	1	6	1	1	0	2093	498	152	34	-1	
5	1	6	1	1	1	2093	498	152	34	96.276833	Women
2	1	7	0	0	0	1080	646	1276	7	-1	
3	1	7	1	0	0	1080	646	1276	7	-1	
4	1	7	1	1	0	1080	646	1276	7	-1	
5	1	7	1	1	1	1080	646	1276	7	95.000000	 
2	1	8	0	0	0	458	662	1036	258	-1	
3	1	8	1	0	0	1177	662	317	44	-1	
4	1	8	1	1	0	1177	662	317	44	-1	
5	1	8	1	1	1	1177	663	183	43	90.597191	Islampur
5	1	8	1	1	2	1372	662	14	34	90.628387	/
5	1	8	1	1	3	1398	662	96	34	92.349670	ZP-5
3	1	8	2	0	0	1194	714	282	44	-1	
4	1	8	2	1	0	1194	714	282	44	-1	
5	1	8	2	1	1	1194	714	282	44	92.000023	Agdimtikhanti,
3	1	8	3	0	0	458	768	1034	152	-1	
4	1	8	3	1	0	1207	768	257	41	-1	
5	1	8	3	1	1	1207	768	257	41	34.780800	Matikunda-II,
4	1	8	3	2	0	458	820	1034	53	-1	
5	1	8	3	2	1	458	820	182	53	92.601845	Islampur
5	1	8	3	2	2	900	824	22	34	96.843239	3
5	1	8	3	2	3	1180	822	231	35	86.322182	Matikunda-I
5	1	8	3	2	4	1425	822	67	34	96.971169	and
4	1	8	3	3	0	1186	876	301	44	-1	
5	1	8	3	3	1	1186	876	165	44	92.018791	Islampur
5	1	8	3	3	2	1363	876	124	34	96.596451	Grams
2	1	9	0	0	0	1758	796	58	35	-1	
3	1	9	1	0	0	1758	796	58	35	-1	
4	1	9	1	1	0	1758	796	58	35	-1	
5	1	9	1	1	1	1758	796	58	35	95.253723	SC
2	1	10	0	0	0	1081	973	1274	5	-1	
3	1	10	1	0	0	1081	973	1274	5	-1	
4	1	10	1	1	0	1081	973	1274	5	-1	
5	1	10	1	1	1	1081	973	1274	5	95.000000	 
2	1	11	0	0	0	1114	987	444	250	-1	
3	1	11	1	0	0	1114	987	444	250	-1	
4	1	11	1	1	0	1177	987	317	44	-1	
5	1	11	1	1	1	1177	988	183	43	90.590851	Islampur
5	1	11	1	1	2	1372	988	14	33	90.590851	/
5	1	11	1	1	3	1398	987	96	34	92.557297	ZP-6
4	1	11	1	2	0	1216	1039	240	44	-1	
5	1	11	1	2	1	1216	1039	240	44	52.526688	Panditpota-I,
4	1	11	1	3	0	1114	1093	444	45	-1	
5	1	11	1	3	1	1114	1093	255	45	78.276497	Panditpota-II,
5	1	11	1	3	2	1384	1093	174	44	92.985779	Gunjaria,
4	1	11	1	4	0	1133	1147	406	36	-1	
5	1	11	1	4	1	1133	1147	148	35	90.440788	Gaisal-I
5	1	11	1	4	2	1296	1147	65	36	93.300842	and
5	1	11	1	4	3	1375	1147	164	35	86.354668	Gaisal-II
4	1	11	1	5	0	1275	1202	123	35	-1	
5	1	11	1	5	1	1275	1202	123	35	96.757065	Grams
2	1	12	0	0	0	2093	1122	153	34	-1	
3	1	12	1	0	0	2093	1122	153	34	-1	
4	1	12	1	1	0	2093	1122	153	34	-1	
5	1	12	1	1	1	2093	1122	153	34	96.632538	Women
2	1	13	0	0	0	356	1300	2000	6	-1	
3	1	13	1	0	0	356	1300	2000	6	-1	
4	1	13	1	1	0	356	1300	2000	6	-1	
5	1	13	1	1	1	356	1300	2000	6	95.000000	 
2	1	14	0	0	0	1149	1315	410	249	-1	
3	1	14	1	0	0	1149	1315	410	249	-1	
4	1	14	1	1	0	1165	1315	394	44	-1	
5	1	14	1	1	1	1165	1315	270	44	91.560242	Goalpokher-I
5	1	14	1	1	2	1447	1315	112	34	92.582993	/ZP-7
4	1	14	1	2	0	1149	1367	375	44	-1	
5	1	14	1	2	1	1149	1367	185	44	92.674454	Panjipara,
5	1	14	1	2	2	1349	1367	175	41	92.812950	Pokharia,
4	1	14	1	3	0	1176	1420	321	45	-1	
5	1	14	1	3	1	1176	1421	240	44	84.293045	Dharampur-I
5	1	14	1	3	2	1431	1420	66	35	96.786629	and
4	1	14	1	4	0	1208	1475	256	44	-1	
5	1	14	1	4	1	1208	1475	256	44	71.689445	Dharampur-II
4	1	14	1	5	0	1280	1529	124	35	-1	
5	1	14	1	5	1	1280	1529	124	35	96.923355	Grams
