level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	1	0	566	6	-1	
3	1	1	1	0	0	1	0	566	6	-1	
4	1	1	1	1	0	1	0	566	6	-1	
5	1	1	1	1	1	1	0	566	6	95.000000	 
2	1	2	0	0	0	1532	21	967	19	-1	
3	1	2	1	0	0	1532	21	967	19	-1	
4	1	2	1	1	0	1532	21	967	19	-1	
5	1	2	1	1	1	1532	21	967	19	95.000000	 
2	1	3	0	0	0	297	125	1997	51	-1	
3	1	3	1	0	0	297	125	1997	51	-1	
4	1	3	1	1	0	297	125	1997	51	-1	
5	1	3	1	1	1	297	125	1997	51	95.000000	 
2	1	4	0	0	0	257	160	1517	366	-1	
3	1	4	1	0	0	261	160	1513	366	-1	
4	1	4	1	1	0	1091	160	407	46	-1	
5	1	4	1	1	1	1091	160	250	46	93.221695	Berhampore
5	1	4	1	1	2	1353	166	14	33	92.163155	/
5	1	4	1	1	3	1380	166	118	36	91.785019	ZP-40
4	1	4	1	2	0	1088	207	686	59	-1	
5	1	4	1	2	1	1088	207	409	59	92.117859	Neallishpara-Goaljan,
5	1	4	1	2	2	1716	228	58	34	84.275734	SC
4	1	4	1	3	0	257	241	1284	76	-1	
5	1	4	1	3	1	257	241	37	49	37.696529	has
5	1	4	1	3	2	1045	265	213	45	91.499710	Radharghat
5	1	4	1	3	3	1273	271	37	39	90.773430	-I,
5	1	4	1	3	4	1327	271	214	46	92.217361	Radharghat
4	1	4	1	4	0	1146	322	289	47	-1	
5	1	4	1	4	1	1146	322	54	39	48.308807	-II,
5	1	4	1	4	2	1218	322	217	47	91.819809	Sahajadpur,
4	1	4	1	5	0	1041	372	498	51	-1	
5	1	4	1	5	1	1041	372	419	51	92.068542	Rangamati-Chandpara
5	1	4	1	5	2	1473	382	66	34	96.749123	and
4	1	4	1	6	0	1099	427	381	48	-1	
5	1	4	1	6	1	1099	427	381	48	89.536301	Satui-Chowrigachha
4	1	4	1	7	0	1231	493	112	33	-1	
5	1	4	1	7	1	1231	493	112	33	96.341187	grams
2	1	5	0	0	0	353	589	1410	262	-1	
3	1	5	1	0	0	353	589	1410	262	-1	
4	1	5	1	1	0	1081	589	404	47	-1	
5	1	5	1	1	1	1081	589	250	47	92.521889	Berhampore
5	1	5	1	1	2	1343	595	14	34	91.837059	/
5	1	5	1	1	3	1369	596	116	35	91.697495	ZP-41
4	1	5	1	2	0	1165	634	598	60	-1	
5	1	5	1	2	1	1165	634	236	60	92.569489	Rajdharpara,
5	1	5	1	2	2	1706	658	57	35	96.378471	SC
4	1	5	1	3	0	353	652	1174	89	-1	
5	1	5	1	3	1	353	652	248	46	96.594017	Berhampore
5	1	5	1	3	2	828	663	21	33	96.669075	3
5	1	5	1	3	3	1035	694	251	47	91.796677	Nowdapanur,
5	1	5	1	3	4	1302	702	225	37	92.701286	Haridasmati
4	1	5	1	4	0	1104	750	354	41	-1	
5	1	5	1	4	1	1104	750	65	33	93.295067	and
5	1	5	1	4	2	1184	751	193	38	87.109131	Bhakuri-II
5	1	5	1	4	3	1392	757	66	34	96.847206	and
4	1	5	1	5	0	1128	804	305	47	-1	
5	1	5	1	5	1	1128	804	178	37	92.771507	Bhakuri-I
5	1	5	1	5	2	1320	819	113	32	96.880714	grams
2	1	6	0	0	0	2022	666	150	37	-1	
3	1	6	1	0	0	2022	666	150	37	-1	
4	1	6	1	1	0	2022	666	150	37	-1	
5	1	6	1	1	1	2022	666	150	37	96.144501	Women
2	1	7	0	0	0	1059	912	432	263	-1	
3	1	7	1	0	0	1059	912	432	263	-1	
4	1	7	1	1	0	1072	912	408	47	-1	
5	1	7	1	1	1	1072	912	250	47	93.226120	Berhampore
5	1	7	1	1	2	1335	918	14	33	92.934265	/
5	1	7	1	1	3	1361	919	119	35	91.036537	ZP-42
4	1	7	1	2	0	1059	959	432	60	-1	
5	1	7	1	2	1	1059	959	215	53	93.007507	Chhaighari,
5	1	7	1	2	2	1290	966	201	53	91.149071	Madanpur,
4	1	7	1	3	0	1128	1020	293	48	-1	
5	1	7	1	3	1	1128	1020	293	48	91.592857	Manindranagar,
4	1	7	1	4	0	1060	1067	428	56	-1	
5	1	7	1	4	1	1060	1067	192	54	92.468063	Hatinagar,
5	1	7	1	4	2	1268	1077	220	46	92.653748	Gurudaspur
4	1	7	1	5	0	1062	1125	419	50	-1	
5	1	7	1	5	1	1062	1125	66	33	92.827881	and
5	1	7	1	5	2	1141	1126	214	38	92.826851	Doulatabad
5	1	7	1	5	3	1369	1142	112	33	96.970222	grams
2	1	8	0	0	0	2014	990	150	36	-1	
3	1	8	1	0	0	2014	990	150	36	-1	
4	1	8	1	1	0	2014	990	150	36	-1	
5	1	8	1	1	1	2014	990	150	36	96.705132	Women
2	1	9	0	0	0	270	1198	1984	56	-1	
3	1	9	1	0	0	270	1198	1984	56	-1	
4	1	9	1	1	0	270	1198	1984	56	-1	
5	1	9	1	1	1	270	1198	1984	56	95.000000	 
2	1	10	0	0	0	1027	1291	719	157	-1	
3	1	10	1	0	0	1027	1291	719	157	-1	
4	1	10	1	1	0	1083	1291	368	46	-1	
5	1	10	1	1	1	1083	1291	209	46	90.786766	Khargram
5	1	10	1	1	2	1306	1297	14	34	90.786766	/
5	1	10	1	1	3	1332	1298	119	35	92.086952	ZP-43
4	1	10	1	2	0	1080	1343	666	52	-1	
5	1	10	1	2	1	1080	1343	116	43	83.607536	Jhillli,
5	1	10	1	2	2	1212	1347	239	45	92.325546	Padamkandi,
5	1	10	1	2	3	1689	1360	57	35	86.303734	SC
4	1	10	1	3	0	1027	1396	475	52	-1	
5	1	10	1	3	1	1027	1396	127	44	90.851952	Joypur
5	1	10	1	3	2	1166	1401	65	33	93.276573	and
5	1	10	1	3	3	1246	1402	131	36	92.723358	Parulia
5	1	10	1	3	4	1390	1415	112	33	96.611435	grams
2	1	11	0	0	0	1044	1507	700	156	-1	
3	1	11	1	0	0	1044	1507	700	156	-1	
4	1	11	1	1	0	1077	1507	369	45	-1	
5	1	11	1	1	1	1077	1507	209	45	90.838028	Khargram
5	1	11	1	1	2	1301	1512	14	33	89.812325	/
5	1	11	1	1	3	1327	1513	119	35	92.833961	ZP-44
4	1	11	1	2	0	1044	1558	700	52	-1	
5	1	11	1	2	1	1044	1558	143	43	93.297005	Indrani,
5	1	11	1	2	2	1204	1562	110	42	93.020882	Sadal,
5	1	11	1	2	3	1330	1565	150	45	92.964012	Kirtipur
5	1	11	1	2	4	1681	1576	63	34	96.966721	BC
4	1	11	1	3	0	1071	1613	377	50	-1	
5	1	11	1	3	1	1071	1613	64	34	93.072876	and
5	1	11	1	3	2	1150	1615	170	45	93.042984	Margram
5	1	11	1	3	3	1336	1630	112	33	96.612915	grams
2	1	12	0	0	0	349	1542	1801	79	-1	
3	1	12	1	0	0	349	1542	1801	79	-1	
4	1	12	1	1	0	349	1542	1801	79	-1	
5	1	12	1	1	1	349	1542	208	45	91.849640	Khargram
5	1	12	1	1	2	806	1553	21	33	96.926201	3
5	1	12	1	1	3	2000	1584	150	37	96.854774	Women
2	1	13	0	0	0	1021	1722	466	158	-1	
3	1	13	1	0	0	1021	1722	466	158	-1	
4	1	13	1	1	0	1078	1722	357	46	-1	
5	1	13	1	1	1	1078	1722	209	46	92.027710	Khargram
5	1	13	1	1	2	1301	1728	134	36	92.027710	/ZP-45
4	1	13	1	2	0	1086	1775	336	49	-1	
5	1	13	1	2	1	1086	1775	124	42	92.678551	Eroali,
5	1	13	1	2	2	1225	1779	197	45	92.529472	Khargram,
4	1	13	1	3	0	1021	1828	466	52	-1	
5	1	13	1	3	1	1021	1828	152	36	91.993744	Mahisar
5	1	13	1	3	2	1186	1833	65	34	93.281700	and
5	1	13	1	3	3	1265	1834	97	36	91.909851	Balia
