level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	175	2	413	1	-1	
3	1	1	1	0	0	175	2	413	1	-1	
4	1	1	1	1	0	175	2	413	1	-1	
5	1	1	1	1	1	175	2	413	1	95.000000	 
2	1	2	0	0	0	498	72	15	8	-1	
3	1	2	1	0	0	498	72	15	8	-1	
4	1	2	1	1	0	498	72	15	8	-1	
5	1	2	1	1	1	498	72	15	8	4.055605	.
2	1	3	0	0	0	380	274	1995	10	-1	
3	1	3	1	0	0	380	274	1995	10	-1	
4	1	3	1	1	0	380	274	1995	10	-1	
5	1	3	1	1	1	380	274	1995	10	95.000000	 
2	1	4	0	0	0	366	355	33	14	-1	
3	1	4	1	0	0	366	355	33	14	-1	
4	1	4	1	1	0	366	355	33	14	-1	
5	1	4	1	1	1	366	355	33	14	63.816105	_
2	1	5	0	0	0	1116	291	474	258	-1	
3	1	5	1	0	0	1159	291	385	149	-1	
4	1	5	1	1	0	1159	291	385	44	-1	
5	1	5	1	1	1	1159	291	385	44	90.792412	Krishnaganj/ZP-35
4	1	5	1	2	0	1198	344	309	43	-1	
5	1	5	1	2	1	1198	344	309	43	91.618141	Matiary-Banpur,
4	1	5	1	3	0	1198	397	308	43	-1	
5	1	5	1	3	1	1198	397	308	43	92.342751	Taldaha-Majdia,
3	1	5	2	0	0	1116	450	474	99	-1	
4	1	5	2	1	0	1212	450	283	36	-1	
5	1	5	2	1	1	1212	450	204	36	91.703384	Shibnibash
5	1	5	2	1	2	1430	450	65	34	97.008270	and
4	1	5	2	2	0	1116	504	474	45	-1	
5	1	5	2	2	1	1116	504	336	45	90.941002	Bhajanghat-Tungi
5	1	5	2	2	2	1467	514	123	34	96.859589	grams.
2	1	6	0	0	0	2122	451	141	32	-1	
3	1	6	1	0	0	2122	451	141	32	-1	
4	1	6	1	1	0	2122	451	141	32	-1	
5	1	6	1	1	1	2122	451	141	32	96.520721	Women
2	1	7	0	0	0	378	655	1998	7	-1	
3	1	7	1	0	0	378	655	1998	7	-1	
4	1	7	1	1	0	378	655	1998	7	-1	
5	1	7	1	1	1	378	655	1998	7	95.000000	 
2	1	8	0	0	0	1119	670	472	257	-1	
3	1	8	1	0	0	1119	670	472	257	-1	
4	1	8	1	1	0	1184	670	338	35	-1	
5	1	8	1	1	1	1184	670	338	35	92.648354	Hanskhali/ZP-36
4	1	8	1	2	0	1208	722	291	43	-1	
5	1	8	1	2	1	1208	722	291	43	41.338123	Dakshinpara-lII,
4	1	8	1	3	0	1119	775	472	44	-1	
5	1	8	1	3	1	1119	776	274	43	34.255161	Dakshinpara-l,
5	1	8	1	3	2	1409	775	182	35	92.457756	Badkulla-
4	1	8	1	4	0	1189	829	330	40	-1	
5	1	8	1	4	1	1189	831	38	38	92.648155	II,
5	1	8	1	4	2	1243	829	197	35	92.536919	Badkulla-I
5	1	8	1	4	3	1455	829	64	34	96.888618	and
4	1	8	1	5	0	1197	883	314	44	-1	
5	1	8	1	5	1	1197	883	177	43	86.961060	Mamjoan
5	1	8	1	5	2	1389	893	122	34	96.282455	grams.
2	1	9	0	0	0	1791	804	52	32	-1	
3	1	9	1	0	0	1791	804	52	32	-1	
4	1	9	1	1	0	1791	804	52	32	-1	
5	1	9	1	1	1	1791	804	52	32	74.512863	Sc
2	1	10	0	0	0	1086	978	1291	7	-1	
3	1	10	1	0	0	1086	978	1291	7	-1	
4	1	10	1	1	0	1086	978	1291	7	-1	
5	1	10	1	1	1	1086	978	1291	7	95.000000	 
2	1	11	0	0	0	466	994	1120	204	-1	
3	1	11	1	0	0	1185	994	338	35	-1	
4	1	11	1	1	0	1185	994	338	35	-1	
5	1	11	1	1	1	1185	994	338	35	90.261032	Hanskhali/ZP-37
3	1	11	2	0	0	466	1047	1120	98	-1	
4	1	11	2	1	0	1189	1047	331	44	-1	
5	1	11	2	1	1	1189	1047	331	44	91.779259	Betnagobindapur,
4	1	11	2	2	0	466	1101	1120	51	-1	
5	1	11	2	2	1	466	1101	202	51	92.297371	Hanskhali
5	1	11	2	2	2	911	1106	19	31	76.472321	5
5	1	11	2	2	3	1124	1101	221	44	90.162628	Mayurhat-I,
5	1	11	2	2	4	1360	1101	226	43	78.046814	Mayurhat-II
3	1	11	3	0	0	1189	1155	334	43	-1	
4	1	11	3	1	0	1189	1155	334	43	-1	
5	1	11	3	1	1	1189	1155	64	34	93.245773	and
5	1	11	3	1	2	1279	1156	119	34	91.884583	Gazna
5	1	11	3	1	3	1411	1165	112	33	96.934120	grams
2	1	12	0	0	0	1087	1252	1292	5	-1	
3	1	12	1	0	0	1087	1252	1292	5	-1	
4	1	12	1	1	0	1087	1252	1292	5	-1	
5	1	12	1	1	1	1087	1252	1292	5	95.000000	 
2	1	13	0	0	0	1131	1266	451	260	-1	
3	1	13	1	0	0	1131	1266	451	260	-1	
4	1	13	1	1	0	1186	1266	338	36	-1	
5	1	13	1	1	1	1186	1266	338	36	91.615646	Hanskhali/ZP-38
4	1	13	1	2	0	1168	1319	375	45	-1	
5	1	13	1	2	1	1168	1320	187	44	42.178402	Bagula-lIl,
5	1	13	1	2	2	1370	1319	173	43	50.324471	Bagula-I,
4	1	13	1	3	0	1131	1372	451	46	-1	
5	1	13	1	3	1	1131	1372	451	46	91.011383	Ramnagar-Barachupria-
4	1	13	1	4	0	1187	1428	339	43	-1	
5	1	13	1	4	1	1187	1429	39	40	85.037216	II,
5	1	13	1	4	2	1241	1428	65	34	92.799652	and
5	1	13	1	4	3	1320	1429	206	42	92.285637	Ramnagar-
4	1	13	1	5	0	1165	1482	384	44	-1	
5	1	13	1	5	1	1165	1482	257	44	86.112061	Barachupria-I
5	1	13	1	5	2	1437	1491	112	33	96.804840	grams
2	1	14	0	0	0	381	1576	1999	9	-1	
3	1	14	1	0	0	381	1576	1999	9	-1	
4	1	14	1	1	0	381	1576	1999	9	-1	
5	1	14	1	1	1	381	1576	1999	9	95.000000	 
2	1	15	0	0	0	1129	1593	717	206	-1	
3	1	15	1	0	0	1129	1593	717	206	-1	
4	1	15	1	1	0	1167	1593	379	44	-1	
5	1	15	1	1	1	1167	1593	379	44	40.011822	Ranaghat-II/ZP-39
4	1	15	1	2	0	1129	1644	456	46	-1	
5	1	15	1	2	1	1129	1646	203	44	92.994858	Aranghata,
5	1	15	1	2	2	1348	1644	237	45	91.702538	Bahirgachhi,
4	1	15	1	3	0	1220	1700	626	45	-1	
5	1	15	1	3	1	1220	1700	196	45	92.517929	Duttapulia
5	1	15	1	3	2	1429	1700	66	34	96.893578	and
5	1	15	1	3	3	1794	1702	52	32	85.415840	SC
4	1	15	1	4	0	1171	1755	371	44	-1	
5	1	15	1	4	1	1171	1755	235	44	92.615669	Jugalkishore
5	1	15	1	4	2	1420	1764	122	34	96.529305	grams.
2	1	16	0	0	0	2126	1702	140	31	-1	
3	1	16	1	0	0	2126	1702	140	31	-1	
4	1	16	1	1	0	2126	1702	140	31	-1	
5	1	16	1	1	1	2126	1702	140	31	96.792519	Women
2	1	17	0	0	0	1089	1850	1291	6	-1	
3	1	17	1	0	0	1089	1850	1291	6	-1	
4	1	17	1	1	0	1089	1850	1291	6	-1	
5	1	17	1	1	1	1089	1850	1291	6	95.000000	 
2	1	18	0	0	0	448	1866	1399	313	-1	
3	1	18	1	0	0	448	1866	1399	313	-1	
4	1	18	1	1	0	1167	1866	380	44	-1	
5	1	18	1	1	1	1167	1866	380	44	71.796394	Ranaghat-II/ZP-40
4	1	18	1	2	0	1135	1917	445	45	-1	
5	1	18	1	2	1	1135	1917	445	45	40.273674	Raghunathpur-Hijuli-I,
4	1	18	1	3	0	1260	1972	195	44	-1	
5	1	18	1	3	1	1260	1972	195	44	92.835342	Kamalpur,
4	1	18	1	4	0	448	2021	1399	56	-1	
5	1	18	1	4	1	448	2024	244	53	63.514992	Ranaghat-II
5	1	18	1	4	2	914	2031	19	31	96.671547	3
5	1	18	1	4	3	1143	2021	429	54	74.034958	Raghunathpur-Hijuli-I,
5	1	18	1	4	4	1795	2028	52	32	91.144211	SC
4	1	18	1	5	0	1130	2080	456	44	-1	
5	1	18	1	5	1	1130	2081	128	34	91.284218	Nokari
5	1	18	1	5	2	1274	2080	65	35	93.029984	and
5	1	18	1	5	3	1355	2080	231	44	92.738083	Shyamnagar
4	1	18	1	6	0	1302	2145	112	34	-1	
5	1	18	1	6	1	1302	2145	112	34	96.181671	grams
2	1	19	0	0	0	1090	2231	1292	5	-1	
3	1	19	1	0	0	1090	2231	1292	5	-1	
4	1	19	1	1	0	1090	2231	1292	5	-1	
5	1	19	1	1	1	1090	2231	1292	5	95.000000	 
2	1	20	0	0	0	1129	2246	458	206	-1	
3	1	20	1	0	0	1129	2246	458	206	-1	
4	1	20	1	1	0	1168	2246	377	44	-1	
5	1	20	1	1	1	1168	2246	377	44	46.507919	Ranaghat-II/ZP-41
4	1	20	1	2	0	1129	2298	458	45	-1	
5	1	20	1	2	1	1129	2299	181	41	91.699249	Anismali,
5	1	20	1	2	2	1325	2298	238	45	63.579216	Baidyapur-II
5	1	20	1	2	3	1579	2326	8	13	91.384903	,
4	1	20	1	3	0	1137	2353	442	45	-1	
5	1	20	1	3	1	1137	2353	234	45	87.443756	Baidyapur-I,
5	1	20	1	3	2	1387	2353	192	44	92.377892	Debagram
4	1	20	1	4	0	1136	2408	446	44	-1	
5	1	20	1	4	1	1136	2408	65	34	93.236931	and
5	1	20	1	4	2	1215	2408	228	44	92.165733	Majhergram
5	1	20	1	4	3	1469	2417	113	34	96.632355	grams
2	1	21	0	0	0	383	2505	1999	6	-1	
3	1	21	1	0	0	383	2505	1999	6	-1	
4	1	21	1	1	0	383	2505	1999	6	-1	
5	1	21	1	1	1	383	2505	1999	6	95.000000	 
2	1	22	0	0	0	469	2519	1110	204	-1	
3	1	22	1	0	0	469	2519	1110	204	-1	
4	1	22	1	1	0	469	2519	1058	37	-1	
5	1	22	1	1	1	469	2522	203	34	91.062164	Chakdaha
5	1	22	1	1	2	915	2523	18	30	95.421822	2
5	1	22	1	1	3	1189	2519	338	35	91.527763	Chakdaha/ZP-42
4	1	22	1	2	0	1166	2571	385	41	-1	
5	1	22	1	2	1	1166	2571	234	41	69.175766	Chanduria-I,
5	1	22	1	2	2	1415	2571	136	40	92.140343	Tatla-I,
4	1	22	1	3	0	1138	2624	441	42	-1	
5	1	22	1	3	1	1138	2625	124	41	92.868301	Dubra,
5	1	22	1	3	2	1278	2625	151	41	89.243896	Talta-II,
5	1	22	1	3	3	1444	2624	135	35	92.963882	Rautari
4	1	22	1	4	0	1298	2690	121	33	-1	
5	1	22	1	4	1	1298	2690	121	33	96.618904	grams.
