level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	1	0	1463	15	-1	
3	1	1	1	0	0	1	0	1463	15	-1	
4	1	1	1	1	0	1	0	1463	15	-1	
5	1	1	1	1	1	1	0	1463	15	95.000000	 
2	1	2	0	0	0	420	158	1963	22	-1	
3	1	2	1	0	0	420	158	1963	22	-1	
4	1	2	1	1	0	420	158	1963	22	-1	
5	1	2	1	1	1	420	158	1963	22	95.000000	 
2	1	3	0	0	0	1165	177	438	92	-1	
3	1	3	1	0	0	1165	177	438	92	-1	
4	1	3	1	1	0	1165	177	438	48	-1	
5	1	3	1	1	1	1165	181	190	44	91.289307	Hakimpur
5	1	3	1	1	2	1366	179	67	35	93.265335	and
5	1	3	1	1	3	1447	177	156	45	92.528839	Sarapul-
4	1	3	1	2	0	1244	234	279	35	-1	
5	1	3	1	2	1	1244	235	142	34	96.535797	Nirman
5	1	3	1	2	2	1400	234	123	34	96.661057	Grams
2	1	4	0	0	0	1111	322	1274	16	-1	
3	1	4	1	0	0	1111	322	1274	16	-1	
4	1	4	1	1	0	1111	322	1274	16	-1	
5	1	4	1	1	1	1111	322	1274	16	95.000000	 
2	1	5	0	0	0	1168	344	698	259	-1	
3	1	5	1	0	0	1168	344	698	259	-1	
4	1	5	1	1	0	1177	344	417	45	-1	
5	1	5	1	1	1	1177	345	284	44	91.088600	Swarupnagar/
5	1	5	1	1	2	1474	344	120	33	92.901047	ZP-15
4	1	5	1	2	0	1176	394	420	47	-1	
5	1	5	1	2	1	1176	398	88	34	93.141479	Balti
5	1	5	1	2	2	1277	394	319	47	91.744537	Nityanandakhati,
4	1	5	1	3	0	1168	445	698	55	-1	
5	1	5	1	3	1	1168	445	438	55	92.442215	Swarupnagar-Banglani,
5	1	5	1	3	2	1809	459	57	35	84.035820	SC
4	1	5	1	4	0	1184	503	407	45	-1	
5	1	5	1	4	1	1184	504	329	44	91.441116	Bankra-Gokulpur
5	1	5	1	4	2	1525	503	66	35	97.009377	and
4	1	5	1	5	0	1255	559	267	44	-1	
5	1	5	1	5	1	1255	559	129	44	92.141617	Kaijuri
5	1	5	1	5	2	1398	559	124	34	96.383995	Grams
2	1	6	0	0	0	388	616	2000	21	-1	
3	1	6	1	0	0	388	616	2000	21	-1	
4	1	6	1	1	0	388	616	2000	21	-1	
5	1	6	1	1	1	388	616	2000	21	95.000000	 
2	1	7	0	0	0	1183	637	689	306	-1	
3	1	7	1	0	0	1183	637	689	306	-1	
4	1	7	1	1	0	1228	637	319	37	-1	
5	1	7	1	1	1	1228	639	161	35	92.838272	Baduria
5	1	7	1	1	2	1402	639	14	33	89.404007	/
5	1	7	1	1	3	1428	637	119	35	91.387207	ZP-16
4	1	7	1	2	0	1211	690	355	44	-1	
5	1	7	1	2	1	1211	692	135	40	92.238297	Chatra,
5	1	7	1	2	2	1359	690	207	44	90.417152	Chandipur,
4	1	7	1	3	0	1226	743	327	47	-1	
5	1	7	1	3	1	1226	745	154	45	83.240395	Bagjola,
