level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	334	137	2002	8	-1	
3	1	1	1	0	0	334	137	2002	8	-1	
4	1	1	1	1	0	334	137	2002	8	-1	
5	1	1	1	1	1	334	137	2002	8	95.000000	 
2	1	2	0	0	0	335	145	1248	159	-1	
3	1	2	1	0	0	332	145	1251	159	-1	
4	1	2	1	1	0	335	145	1181	96	-1	
5	1	2	1	1	1	335	145	48	96	60.558266	L
5	1	2	1	1	2	1155	152	202	44	91.818771	Canning-I
5	1	2	1	1	3	1370	152	14	34	92.543602	/
5	1	2	1	1	4	1397	152	119	34	91.994560	ZP-44
4	1	2	1	2	0	1087	204	496	42	-1	
5	1	2	1	2	1	1087	207	139	39	92.672638	Bansra,
5	1	2	1	2	2	1241	205	95	35	92.672638	Taldi
5	1	2	1	2	3	1350	204	67	36	93.300140	and
5	1	2	1	2	4	1431	204	152	36	79.775108	Matla-II
4	1	2	1	3	0	1280	270	112	34	-1	
5	1	2	1	3	1	1280	270	112	34	96.409943	grams
2	1	3	0	0	0	427	369	1390	367	-1	
3	1	3	1	0	0	427	369	1390	367	-1	
4	1	3	1	1	0	1155	369	361	44	-1	
5	1	3	1	1	1	1155	370	202	43	91.618904	Canning-I
5	1	3	1	1	2	1370	369	14	35	91.618904	/
5	1	3	1	1	3	1397	369	119	34	92.627289	ZP-45
4	1	3	1	2	0	536	421	1281	45	-1	
5	1	3	1	2	1	536	452	8	8	38.016273	;
5	1	3	1	2	2	1107	423	148	40	75.272331	Matla-I,
5	1	3	1	2	3	1270	421	298	45	89.864326	Dighirpar,Daria
5	1	3	1	2	4	1760	423	57	35	95.819374	SC
4	1	3	1	3	0	427	448	1117	75	-1	
5	1	3	1	3	1	427	448	202	75	25.568691	Canning-I
5	1	3	1	3	2	880	451	22	34	0.000000	?
5	1	3	1	3	3	1129	477	65	34	93.047432	and
5	1	3	1	3	4	1209	476	208	44	92.814011	Hatpukuria
5	1	3	1	3	5	1431	486	113	34	96.708809	grams
4	1	3	1	4	0	1156	586	361	44	-1	
5	1	3	1	4	1	1156	587	202	43	88.099701	Canning-I
5	1	3	1	4	2	1370	587	14	33	88.099701	/
5	1	3	1	4	3	1398	586	119	34	91.648575	ZP-46
4	1	3	1	5	0	1085	638	501	45	-1	
5	1	3	1	5	1	1085	638	232	45	91.806862	Nikarighata,
5	1	3	1	5	2	1331	638	177	44	92.284843	Gopalpur
