level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	360	111	1997	19	-1	
3	1	1	1	0	0	360	111	1997	19	-1	
4	1	1	1	1	0	360	111	1997	19	-1	
5	1	1	1	1	1	360	111	1997	19	95.000000	 
2	1	2	0	0	0	365	132	1241	251	-1	
3	1	2	1	0	0	365	132	1241	251	-1	
4	1	2	1	1	0	1131	132	450	45	-1	
5	1	2	1	1	1	1131	132	292	45	72.294983	Bhagwanpur-I
5	1	2	1	1	2	1435	134	14	34	92.576416	/
5	1	2	1	1	3	1461	135	120	34	92.576416	ZP-32
4	1	2	1	2	0	1193	184	326	47	-1	
5	1	2	1	2	1	1193	184	326	47	73.645920	Mahammadpur-I,
4	1	2	1	3	0	365	229	1161	55	-1	
5	1	2	1	3	1	365	229	23	45	0.000000	o
5	1	2	1	3	2	1185	238	341	46	80.352463	Mahammadpur-II,
4	1	2	1	4	0	1107	292	499	47	-1	
5	1	2	1	4	1	1107	292	167	44	92.200638	Gurgram
5	1	2	1	4	2	1288	294	65	35	93.287079	and
5	1	2	1	4	3	1368	294	238	45	91.422508	Bhagwanpur
4	1	2	1	5	0	1293	348	123	35	-1	
5	1	2	1	5	1	1293	348	123	35	96.483398	Grams
2	1	3	0	0	0	1778	272	58	34	-1	
3	1	3	1	0	0	1778	272	58	34	-1	
4	1	3	1	1	0	1778	272	58	34	-1	
5	1	3	1	1	1	1778	272	58	34	96.283501	SC
2	1	4	0	0	0	2075	275	191	34	-1	
3	1	4	1	0	0	2075	275	191	34	-1	
4	1	4	1	1	0	2075	275	191	34	-1	
5	1	4	1	1	1	2075	275	191	34	96.800011	WOMEN
2	1	5	0	0	0	1079	443	1276	14	-1	
3	1	5	1	0	0	1079	443	1276	14	-1	
4	1	5	1	1	0	1079	443	1276	14	-1	
5	1	5	1	1	1	1079	443	1276	14	95.000000	 
2	1	6	0	0	0	1129	458	449	98	-1	
3	1	6	1	0	0	1129	458	449	98	-1	
4	1	6	1	1	0	1129	458	449	45	-1	
5	1	6	1	1	1	1129	458	292	45	72.271980	Bhagwanpur-I
5	1	6	1	1	2	1432	460	15	34	92.714806	/
5	1	6	1	1	3	1459	460	119	35	92.223549	ZP-33
4	1	6	1	2	0	1154	510	400	46	-1	
5	1	6	1	2	1	1154	510	123	42	92.929543	Kakra,
5	1	6	1	2	2	1292	511	182	45	92.320663	Kajlagarh
5	1	6	1	2	3	1487	513	67	35	96.311844	and
2	1	7	0	0	0	1199	544	638	57	-1	
