level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	1	1	680	3	-1	
3	1	1	1	0	0	1	1	680	3	-1	
4	1	1	1	1	0	1	1	680	3	-1	
5	1	1	1	1	1	1	1	680	3	95.000000	 
2	1	2	0	0	0	323	47	2171	11	-1	
3	1	2	1	0	0	323	47	2171	11	-1	
4	1	2	1	1	0	323	47	2171	11	-1	
5	1	2	1	1	1	323	47	2171	11	95.000000	 
2	1	3	0	0	0	270	216	2033	12	-1	
3	1	3	1	0	0	270	216	2033	12	-1	
4	1	3	1	1	0	270	216	2033	12	-1	
5	1	3	1	1	1	270	216	2033	12	95.000000	 
2	1	4	0	0	0	936	234	874	138	-1	
3	1	4	1	0	0	936	234	874	138	-1	
4	1	4	1	1	0	1085	234	333	44	-1	
5	1	4	1	1	1	1085	234	187	44	92.578285	Kashipur
5	1	4	1	1	2	1284	235	134	34	89.562981	/ZP-28
4	1	4	1	2	0	936	282	874	56	-1	
5	1	4	1	2	1	936	282	634	50	91.338875	Beko,Gagnabad,Gourangdi,Kalidaha
5	1	4	1	2	2	1755	304	55	34	96.367493	ST
4	1	4	1	3	0	1003	336	498	36	-1	
5	1	4	1	3	1	1003	336	173	36	38.778465	,Manihara
5	1	4	1	3	2	1189	337	59	31	93.274422	and
5	1	4	1	3	3	1261	337	115	31	91.546684	Barrah
5	1	4	1	3	4	1388	337	113	32	96.492798	Grams
2	1	5	0	0	0	355	435	1853	249	-1	
3	1	5	1	0	0	355	435	1853	249	-1	
4	1	5	1	1	0	355	435	1068	50	-1	
5	1	5	1	1	1	355	435	187	42	90.860672	Kashipur
5	1	5	1	1	2	755	436	20	32	96.858292	2
5	1	5	1	1	3	1078	442	187	43	91.724312	Kashipur
5	1	5	1	1	4	1278	443	14	34	90.536858	/
5	1	5	1	1	5	1304	444	119	33	90.536858	ZP-29
4	1	5	1	2	0	1013	494	477	42	-1	
5	1	5	1	2	1	1013	494	477	42	92.334396	Sonathali,Hadalda-Uparrah,
4	1	5	1	3	0	1059	539	1149	51	-1	
5	1	5	1	3	1	1059	539	384	51	91.741798	Rangamati-Ranjandih,
5	1	5	1	3	2	2058	550	150	35	96.526672	Women
4	1	5	1	4	0	955	592	593	43	-1	
5	1	5	1	4	1	955	592	321	43	91.742271	Kashipur,Sonajuri,
5	1	5	1	4	2	1290	594	258	33	92.228859	Simla-Dhanera
4	1	5	1	5	0	1034	643	434	41	-1	
5	1	5	1	5	1	1034	643	60	32	93.275742	and
5	1	5	1	5	2	1106	643	117	41	92.938095	Agardi
5	1	5	1	5	3	1237	643	106	32	95.957695	Chitra
5	1	5	1	5	4	1355	645	113	31	96.560135	Grams
2	1	6	0	0	0	269	677	2031	15	-1	
3	1	6	1	0	0	269	677	2031	15	-1	
4	1	6	1	1	0	269	677	2031	15	-1	
5	1	6	1	1	1	269	677	2031	15	95.000000	 
2	1	7	0	0	0	292	697	1274	257	-1	
3	1	7	1	0	0	292	697	1274	257	-1	
4	1	7	1	1	0	1002	697	495	43	-1	
5	1	7	1	1	1	1002	697	347	43	82.081886	Raghunathpur-II
5	1	7	1	1	2	1362	698	135	34	86.618790	/ZP-30
4	1	7	1	2	0	984	748	533	43	-1	
5	1	7	1	2	1	984	748	168	43	93.210686	Chelyma
5	1	7	1	2	2	1165	749	65	34	93.290512	and
5	1	7	1	2	3	1244	750	136	33	92.600807	Joradih
5	1	7	1	2	4	1394	751	123	34	96.870232	Grams
4	1	7	1	3	0	292	824	1195	90	-1	
5	1	7	1	3	1	292	826	178	88	35.374454	oe
5	1	7	1	3	2	472	824	42	78	44.200916	as
5	1	7	1	3	3	552	837	48	33	51.881294	ll
5	1	7	1	3	4	753	856	20	32	97.020813	2
5	1	7	1	3	5	1008	847	479	59	20.857277	Raghunathpur-II/ZP-31
4	1	7	1	4	0	933	910	633	44	-1	
5	1	7	1	4	1	933	910	633	44	85.133881	Barrah,Nildih,Mangalda-Moutore
2	1	8	0	0	0	1055	944	1151	56	-1	
3	1	8	1	0	0	1055	944	1151	56	-1	
4	1	8	1	1	0	1055	944	1151	56	-1	
5	1	8	1	1	1	1055	964	65	34	93.290123	and
5	1	8	1	1	2	1134	965	172	34	92.047058	Nutandih
5	1	8	1	1	3	1321	966	122	34	96.343262	Grams
5	1	8	1	1	4	2055	944	151	34	96.083725	Women
2	1	9	0	0	0	267	1057	2032	15	-1	
3	1	9	1	0	0	267	1057	2032	15	-1	
4	1	9	1	1	0	267	1057	2032	15	-1	
5	1	9	1	1	1	267	1057	2032	15	95.000000	 
2	1	10	0	0	0	994	1077	507	196	-1	
3	1	10	1	0	0	994	1077	507	196	-1	
4	1	10	1	1	0	1134	1077	227	33	-1	
5	1	10	1	1	1	1134	1077	227	33	91.146866	Para/ZP-32
4	1	10	1	2	0	1054	1128	388	45	-1	
5	1	10	1	2	1	1054	1124	208	53	87.215080	Bhowridih,
5	1	10	1	2	2	1284	1124	158	53	87.215080	Udaypur-
4	1	10	1	3	0	994	1183	507	44	-1	
5	1	10	1	3	1	994	1183	428	44	92.128197	Joynagar,Deoli,Bahara
5	1	10	1	3	2	1436	1185	65	34	96.874687	and
4	1	10	1	4	0	1030	1237	434	36	-1	
5	1	10	1	4	1	1030	1237	151	34	90.944489	Nadiha-
5	1	10	1	4	2	1196	1238	132	34	91.618988	Surulia
5	1	10	1	4	3	1341	1239	123	34	96.287674	Grams
2	1	11	0	0	0	1746	1161	459	36	-1	
3	1	11	1	0	0	1746	1161	459	36	-1	
4	1	11	1	1	0	1746	1161	459	36	-1	
5	1	11	1	1	1	1746	1161	63	33	96.506935	BC
5	1	11	1	1	2	2054	1163	151	34	96.447289	Women
2	1	12	0	0	0	396	1289	1170	210	-1	
3	1	12	1	0	0	396	1289	1170	210	-1	
4	1	12	1	1	0	396	1289	375	35	-1	
5	1	12	1	1	1	396	1289	94	34	96.509171	Para
5	1	12	1	1	2	750	1291	21	33	96.980042	2
4	1	12	1	2	0	1126	1348	240	34	-1	
5	1	12	1	2	1	1126	1348	94	34	92.722961	Para
5	1	12	1	2	2	1233	1348	133	34	92.799683	/ZP-33
4	1	12	1	3	0	927	1399	639	47	-1	
5	1	12	1	3	1	927	1395	243	55	15.625858	Anara,Dubra,
5	1	12	1	3	2	1184	1401	90	41	15.625858	Para,
5	1	12	1	3	3	1296	1401	270	45	56.857334	Jabarra-Jhapra-
4	1	12	1	4	0	965	1453	562	46	-1	
5	1	12	1	4	1	965	1454	13	33	81.117676	I
5	1	12	1	4	2	992	1453	66	34	91.280693	and
5	1	12	1	4	3	1072	1454	317	45	48.389099	Jabarra-Jhapra-II
