level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	1	1	670	3	-1	
3	1	1	1	0	0	1	1	670	3	-1	
4	1	1	1	1	0	1	1	670	3	-1	
5	1	1	1	1	1	1	1	670	3	95.000000	 
2	1	2	0	0	0	454	88	1535	7	-1	
3	1	2	1	0	0	454	88	1535	7	-1	
4	1	2	1	1	0	454	88	1535	7	-1	
5	1	2	1	1	1	454	88	1535	7	95.000000	 
2	1	3	0	0	0	317	210	1998	32	-1	
3	1	3	1	0	0	317	210	1998	32	-1	
4	1	3	1	1	0	317	210	1998	32	-1	
5	1	3	1	1	1	317	210	1998	32	95.000000	 
2	1	4	0	0	0	280	237	1515	152	-1	
3	1	4	1	0	0	280	237	1515	152	-1	
4	1	4	1	1	0	1094	237	442	39	-1	
5	1	4	1	1	1	1094	237	283	36	74.050339	Purbasthali-II
5	1	4	1	1	2	1391	240	13	33	89.621796	/
5	1	4	1	1	3	1417	241	119	35	92.765068	ZP-39
4	1	4	1	2	0	1125	289	670	44	-1	
5	1	4	1	2	1	1125	289	140	44	92.021042	Majida,
5	1	4	1	2	2	1281	292	144	34	92.030022	Mertala
5	1	4	1	2	3	1439	294	65	33	96.818871	and
5	1	4	1	2	4	1737	298	58	35	81.525795	sc
4	1	4	1	3	0	280	343	1201	46	-1	
5	1	4	1	3	1	280	356	27	9	74.019989	L
5	1	4	1	3	2	1146	343	208	36	92.342003	Purbasthali
5	1	4	1	3	3	1369	357	112	32	96.592003	grams
2	1	5	0	0	0	1092	451	441	209	-1	
3	1	5	1	0	0	1092	451	441	209	-1	
4	1	5	1	1	0	1092	451	441	39	-1	
5	1	5	1	1	1	1092	451	283	37	19.332695	Purbasthali-II
5	1	5	1	1	2	1388	456	14	33	89.648186	/
5	1	5	1	1	3	1414	456	119	34	91.928665	ZP-40
4	1	5	1	2	0	1177	505	269	45	-1	
5	1	5	1	2	1	1177	505	269	45	91.982353	Mukshimpara,
4	1	5	1	3	0	1133	559	355	38	-1	
5	1	5	1	3	1	1133	559	276	37	92.295990	Kalekhantala-I
5	1	5	1	3	2	1423	563	65	34	96.759415	and
4	1	5	1	4	0	1102	613	417	47	-1	
5	1	5	1	4	1	1102	613	290	37	88.510002	Kalekhantala-II
5	1	5	1	4	2	1407	627	112	33	96.567039	grams
2	1	6	0	0	0	311	697	1998	34	-1	
3	1	6	1	0	0	311	697	1998	34	-1	
4	1	6	1	1	0	311	697	1998	34	-1	
5	1	6	1	1	1	311	697	1998	34	95.000000	 
2	1	7	0	0	0	417	724	1367	476	-1	
3	1	7	1	0	0	417	724	1367	476	-1	
4	1	7	1	1	0	1148	724	319	38	-1	
5	1	7	1	1	1	1148	724	164	35	88.192863	Katwa-I
5	1	7	1	1	2	1324	727	14	33	90.212410	/
5	1	7	1	1	3	1351	728	116	34	92.040855	ZP-41
4	1	7	1	2	0	1145	777	325	45	-1	
5	1	7	1	2	1	1145	777	99	41	92.785858	Goai,
5	1	7	1	2	2	1259	778	211	44	92.095627	Khajurdihi,
4	1	7	1	3	0	1059	829	497	44	-1	
5	1	7	1	3	1	1059	829	215	44	91.794685	Koshigram,
5	1	7	1	3	2	1291	832	186	37	91.947273	Srikhanda
5	1	7	1	3	3	1491	835	65	35	96.971588	and
4	1	7	1	4	0	1179	885	257	45	-1	
5	1	7	1	4	1	1179	885	132	45	92.272705	Sudpur
5	1	7	1	4	2	1324	897	112	33	96.390755	grams
4	1	7	1	5	0	417	957	1049	75	-1	
5	1	7	1	5	1	417	957	163	35	0.000000	cuinin
5	1	7	1	5	2	851	963	21	33	0.000000	:
5	1	7	1	5	3	1144	996	164	35	64.266754	Katwa-I
5	1	7	1	5	4	1321	998	13	34	64.266754	/
5	1	7	1	5	5	1347	999	119	33	88.349777	ZP-42
4	1	7	1	6	0	1099	1046	685	48	-1	
5	1	7	1	6	1	1099	1046	175	46	92.317482	Alampur,
5	1	7	1	6	2	1289	1050	219	44	92.887436	Gidhagram,
5	1	7	1	6	3	1727	1057	57	35	87.079880	SC
4	1	7	1	7	0	1068	1101	468	48	-1	
5	1	7	1	7	1	1068	1101	198	44	92.572052	Karajgram
5	1	7	1	7	2	1281	1104	65	33	93.285843	and
5	1	7	1	7	3	1362	1105	174	44	91.757065	Saragram
4	1	7	1	8	0	1247	1167	111	33	-1	
5	1	7	1	8	1	1247	1167	111	33	96.224251	grams
2	1	8	0	0	0	2047	792	151	35	-1	
3	1	8	1	0	0	2047	792	151	35	-1	
4	1	8	1	1	0	2047	792	151	35	-1	
5	1	8	1	1	1	2047	792	151	35	96.443810	Women
2	1	9	0	0	0	2043	1063	151	35	-1	
3	1	9	1	0	0	2043	1063	151	35	-1	
4	1	9	1	1	0	2043	1063	151	35	-1	
5	1	9	1	1	1	2043	1063	151	35	96.121979	Women
2	1	10	0	0	0	302	1238	1998	36	-1	
3	1	10	1	0	0	302	1238	1998	36	-1	
4	1	10	1	1	0	302	1238	1998	36	-1	
5	1	10	1	1	1	302	1238	1998	36	95.000000	 
2	1	11	0	0	0	1109	1268	663	153	-1	
3	1	11	1	0	0	1109	1268	663	153	-1	
4	1	11	1	1	0	1130	1268	340	37	-1	
5	1	11	1	1	1	1130	1268	184	36	21.853542	Katwa-Il
5	1	11	1	1	2	1326	1271	13	33	88.475067	/
5	1	11	1	1	3	1352	1271	118	34	88.475067	ZP-43
4	1	11	1	2	0	1121	1321	360	46	-1	
5	1	11	1	2	1	1121	1321	195	44	91.658859	Agradwip,
5	1	11	1	2	2	1331	1323	150	44	96.566879	Gazipur
4	1	11	1	3	0	1109	1374	663	47	-1	
5	1	11	1	3	1	1109	1374	302	47	92.428299	Jagadanandapur
5	1	11	1	3	2	1423	1379	65	34	96.785316	and
5	1	11	1	3	3	1708	1384	64	34	96.980995	BC
2	1	12	0	0	0	401	1429	1021	68	-1	
3	1	12	1	0	0	401	1429	1021	68	-1	
4	1	12	1	1	0	401	1429	1021	68	-1	
5	1	12	1	1	1	401	1438	181	59	75.771828	Katwa-II
5	1	12	1	1	2	844	1452	20	33	75.488434	2
5	1	12	1	1	3	1178	1429	115	44	91.967484	Singhi
5	1	12	1	1	4	1309	1441	113	33	96.977341	grams
2	1	13	0	0	0	1051	1537	491	154	-1	
3	1	13	1	0	0	1051	1537	491	154	-1	
4	1	13	1	1	0	1126	1537	342	38	-1	
5	1	13	1	1	1	1126	1537	184	36	57.377548	Katwa-Il
5	1	13	1	1	2	1322	1540	14	34	89.743828	/
5	1	13	1	1	3	1348	1541	120	34	91.229683	ZP-44
4	1	13	1	2	0	1051	1589	491	42	-1	
5	1	13	1	2	1	1051	1589	156	42	92.212318	Polsona,
5	1	13	1	2	2	1224	1592	120	35	92.934151	Sribati
5	1	13	1	2	3	1359	1594	65	34	92.096008	and
5	1	13	1	2	4	1439	1595	103	35	92.096008	Karui
4	1	13	1	3	0	1240	1656	112	35	-1	
5	1	13	1	3	1	1240	1656	112	35	96.107994	grams
2	1	14	0	0	0	296	1673	2000	36	-1	
3	1	14	1	0	0	296	1673	2000	36	-1	
4	1	14	1	1	0	296	1673	2000	36	-1	
5	1	14	1	1	1	296	1673	2000	36	95.000000	 
2	1	15	0	0	0	367	1702	1176	478	-1	
3	1	15	1	0	0	367	1702	1176	478	-1	
4	1	15	1	1	0	1097	1702	395	45	-1	
5	1	15	1	1	1	1097	1702	236	45	70.479141	Ketugram-I
5	1	15	1	1	2	1346	1706	14	33	91.041298	/
5	1	15	1	1	3	1373	1707	119	34	91.041298	ZP-45
4	1	15	1	2	0	1098	1755	391	48	-1	
5	1	15	1	2	1	1098	1755	180	43	90.968483	Ankhona,
5	1	15	1	2	2	1294	1758	195	45	93.057396	Berugram,
4	1	15	1	3	0	1044	1809	499	49	-1	
5	1	15	1	3	1	1044	1809	213	45	92.693260	Agardanga,
5	1	15	1	3	2	1272	1812	65	34	93.297340	and
5	1	15	1	3	3	1352	1814	191	44	91.720245	Murgram-
4	1	15	1	4	0	1142	1864	300	46	-1	
5	1	15	1	4	1	1142	1864	176	45	92.303452	Gopalpur
5	1	15	1	4	2	1330	1877	112	33	96.408775	grams
4	1	15	1	5	0	367	1935	1120	83	-1	
5	1	15	1	5	1	367	1935	235	45	0.000000	Ketngranl
5	1	15	1	5	2	836	1942	21	33	55.968170	a
5	1	15	1	5	3	1093	1974	236	44	85.625137	Ketugram-I
5	1	15	1	5	4	1342	1977	14	34	89.564697	/
5	1	15	1	5	5	1368	1978	119	35	90.935074	ZP-46
4	1	15	1	6	0	1059	2026	459	49	-1	
5	1	15	1	6	1	1059	2026	308	45	90.757294	Janadas-Kandra,
5	1	15	1	6	2	1383	2030	135	45	93.026566	Rajoor,
4	1	15	1	7	0	1085	2081	407	48	-1	
5	1	15	1	7	1	1085	2081	105	34	93.029533	Palita
5	1	15	1	7	2	1203	2083	64	34	93.298882	and
5	1	15	1	7	3	1282	2084	210	45	92.529297	Pandugram
4	1	15	1	8	0	1232	2147	111	33	-1	
5	1	15	1	8	1	1232	2147	111	33	96.495407	grams
2	1	16	0	0	0	2033	1771	151	36	-1	
3	1	16	1	0	0	2033	1771	151	36	-1	
4	1	16	1	1	0	2033	1771	151	36	-1	
5	1	16	1	1	1	2033	1771	151	36	96.668205	Women
2	1	17	0	0	0	287	2219	2000	36	-1	
3	1	17	1	0	0	287	2219	2000	36	-1	
4	1	17	1	1	0	287	2219	2000	36	-1	
5	1	17	1	1	1	287	2219	2000	36	95.000000	 
2	1	18	0	0	0	1053	2247	462	154	-1	
3	1	18	1	0	0	1053	2247	462	154	-1	
4	1	18	1	1	0	1079	2247	413	44	-1	
5	1	18	1	1	1	1079	2247	254	44	75.591751	Ketugram-II
5	1	18	1	1	2	1346	2251	14	33	87.995338	/
5	1	18	1	1	3	1372	2252	120	33	92.545311	ZP-47
4	1	18	1	2	0	1125	2299	318	47	-1	
5	1	18	1	2	1	1125	2299	108	42	92.587914	Nirol,
5	1	18	1	2	2	1249	2302	194	44	90.918266	Ketugram,
4	1	18	1	3	0	1053	2352	462	49	-1	
5	1	18	1	3	1	1053	2352	179	36	91.941284	Billeswar
5	1	18	1	3	2	1244	2356	65	34	93.294624	and
5	1	18	1	3	3	1322	2357	193	44	92.426971	Nabagram
2	1	19	0	0	0	349	2420	990	48	-1	
3	1	19	1	0	0	349	2420	990	48	-1	
4	1	19	1	1	0	349	2420	990	48	-1	
5	1	19	1	1	1	349	2424	253	44	83.040710	Ketugram-II
5	1	19	1	1	2	828	2431	21	33	96.912399	2
5	1	19	1	1	3	1227	2420	112	33	2.077084	_ore
2	1	20	0	0	0	1047	2517	468	155	-1	
3	1	20	1	0	0	1047	2517	468	155	-1	
4	1	20	1	1	0	1075	2517	413	45	-1	
5	1	20	1	1	1	1075	2517	255	45	80.192924	Ketugram-II
5	1	20	1	1	2	1342	2522	13	33	88.096504	/
5	1	20	1	1	3	1368	2522	120	35	88.096504	ZP-48
4	1	20	1	2	0	1047	2569	468	45	-1	
5	1	20	1	2	1	1047	2569	231	45	92.716690	Gangatikuri,
5	1	20	1	2	2	1295	2572	139	36	92.383354	Sitahati
5	1	20	1	2	3	1449	2575	66	35	96.518509	and
4	1	20	1	3	0	1126	2626	308	46	-1	
5	1	20	1	3	1	1126	2626	180	45	92.869514	Mougram
5	1	20	1	3	2	1322	2639	112	33	96.241158	grams
