level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	1	0	611	5	-1	
3	1	1	1	0	0	1	0	611	5	-1	
4	1	1	1	1	0	1	0	611	5	-1	
5	1	1	1	1	1	1	0	611	5	95.000000	 
2	1	2	0	0	0	363	194	1960	13	-1	
3	1	2	1	0	0	363	194	1960	13	-1	
4	1	2	1	1	0	363	194	1960	13	-1	
5	1	2	1	1	1	363	194	1960	13	95.000000	 
2	1	3	0	0	0	463	212	1147	202	-1	
3	1	3	1	0	0	463	212	1147	202	-1	
4	1	3	1	1	0	1194	212	281	34	-1	
5	1	3	1	1	1	1194	212	150	34	64.001274	Suri-II/
5	1	3	1	1	2	1356	213	119	33	91.934204	ZP-24
4	1	3	1	2	0	463	257	1125	48	-1	
5	1	3	1	2	1	463	257	134	48	78.212959	Suri-II
5	1	3	1	2	2	849	264	16	32	96.050964	1
5	1	3	1	2	3	1080	263	201	40	90.452026	Damdama,
5	1	3	1	2	4	1297	264	153	40	91.819229	Kendua,
5	1	3	1	2	5	1465	265	123	40	96.709213	Koma,
4	1	3	1	3	0	1059	316	551	45	-1	
5	1	3	1	3	1	1059	316	239	44	92.064835	Purandarpur,
5	1	3	1	3	2	1313	317	218	44	92.424095	Abinashpur
5	1	3	1	3	3	1543	318	67	35	96.685173	and
4	1	3	1	4	0	1179	370	309	44	-1	
5	1	3	1	4	1	1179	370	184	34	92.557068	Bonsanka
5	1	3	1	4	2	1375	381	113	33	96.497734	grams
2	1	4	0	0	0	360	462	1961	14	-1	
3	1	4	1	0	0	360	462	1961	14	-1	
4	1	4	1	1	0	360	462	1961	14	-1	
5	1	4	1	1	1	360	462	1961	14	95.000000	 
2	1	5	0	0	0	1043	480	579	202	-1	
3	1	5	1	0	0	1043	480	579	202	-1	
4	1	5	1	1	0	1116	480	434	43	-1	
5	1	5	1	1	1	1116	480	302	43	52.656258	Mayureswar-I/
5	1	5	1	1	2	1430	481	120	34	92.294006	ZP-25
4	1	5	1	2	0	1090	531	484	45	-1	
5	1	5	1	2	1	1090	531	226	44	89.762871	Mallarpur-I,
5	1	5	1	2	2	1332	532	242	44	54.480663	Mallarpur-II,
4	1	5	1	3	0	1043	583	579	45	-1	
5	1	5	1	3	1	1043	583	163	45	92.483139	Bajitpur,
5	1	5	1	3	2	1239	584	147	36	88.162567	Jhikadda
5	1	5	1	3	3	1398	586	66	34	93.285759	and
5	1	5	1	3	4	1478	586	144	35	91.264381	kanachi
4	1	5	1	4	0	1276	648	113	34	-1	
5	1	5	1	4	1	1276	648	113	34	96.693604	grams
2	1	6	0	0	0	1039	717	819	149	-1	
3	1	6	1	0	0	1039	717	819	149	-1	
4	1	6	1	1	0	1109	717	445	42	-1	
5	1	6	1	1	1	1109	717	287	42	71.755005	Mayureswar-I
5	1	6	1	1	2	1408	718	15	33	89.367134	/
5	1	6	1	1	3	1435	718	119	33	89.405098	ZP-26
4	1	6	1	2	0	1039	767	819	46	-1	
5	1	6	1	2	1	1039	767	174	42	92.594254	Talowan,
5	1	6	1	2	2	1228	768	133	41	93.110573	Dabuk,
5	1	6	1	2	3	1376	769	247	44	92.325432	Baraturigram
5	1	6	1	2	4	1794	772	64	34	96.977707	BC
4	1	6	1	3	0	1104	821	456	45	-1	
5	1	6	1	3	1	1104	821	66	35	93.291962	and
5	1	6	1	3	2	1184	822	249	44	91.901581	Dakshingram
5	1	6	1	3	3	1447	833	113	33	96.780006	grams
2	1	7	0	0	0	1799	563	438	36	-1	
3	1	7	1	0	0	1799	563	438	36	-1	
4	1	7	1	1	0	1799	563	438	36	-1	
5	1	7	1	1	1	1799	563	57	34	96.566444	SC
5	1	7	1	1	2	2086	565	151	34	96.429665	Women
2	1	8	0	0	0	386	656	479	52	-1	
3	1	8	1	0	0	386	656	479	52	-1	
4	1	8	1	1	0	386	656	479	52	-1	
