level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	221	154	2097	53	-1	
3	1	1	1	0	0	221	154	2097	53	-1	
4	1	1	1	1	0	221	154	2097	53	-1	
5	1	1	1	1	1	221	154	254	53	95.924088	Registered
5	1	1	1	1	2	487	155	76	40	91.778801	No.
5	1	1	1	1	3	593	154	270	41	91.402641	WB/SC-247
5	1	1	1	1	4	1744	163	60	31	93.283600	No.
5	1	1	1	1	5	1824	163	494	38	8.100023	WB(Part-I)/2017/SAR-829
2	1	2	0	0	0	459	703	473	120	-1	
3	1	2	1	0	0	459	703	473	120	-1	
4	1	2	1	1	0	459	703	473	120	-1	
5	1	2	1	1	1	459	703	473	120	95.688049	Kolkata
2	1	3	0	0	0	1115	278	319	747	-1	
3	1	3	1	0	0	1115	278	319	747	-1	
4	1	3	1	1	0	1115	278	319	747	-1	
5	1	3	1	1	1	1115	278	319	747	95.000000	 
2	1	4	0	0	0	968	1068	615	141	-1	
3	1	4	1	0	0	968	1068	615	141	-1	
4	1	4	1	1	0	1084	1068	381	60	-1	
5	1	4	1	1	1	1084	1068	381	60	95.967522	Extraordinary
4	1	4	1	2	0	968	1148	615	61	-1	
5	1	4	1	2	1	968	1148	260	48	96.514183	Published
5	1	4	1	2	2	1248	1148	63	61	96.904839	by
5	1	4	1	2	3	1326	1148	257	61	96.584503	Authority
2	1	5	0	0	0	221	1270	2106	4	-1	
3	1	5	1	0	0	221	1270	2106	4	-1	
4	1	5	1	1	0	221	1270	2106	4	-1	
5	1	5	1	1	1	221	1270	2106	4	95.000000	 
2	1	6	0	0	0	222	1285	2105	4	-1	
3	1	6	1	0	0	222	1285	2105	4	-1	
4	1	6	1	1	0	222	1285	2105	4	-1	
5	1	6	1	1	1	222	1285	2105	4	95.000000	 
2	1	7	0	0	0	225	1318	2101	39	-1	
3	1	7	1	0	0	225	1318	2101	39	-1	
4	1	7	1	1	0	225	1318	2101	39	-1	
5	1	7	1	1	1	225	1320	128	29	92.416962	PAUSA
5	1	7	1	1	2	365	1319	30	38	96.761238	7]
5	1	7	1	1	3	965	1319	224	34	95.982903	THURSDAY,
5	1	7	1	1	4	1204	1319	223	29	95.982903	DECEMBER
5	1	7	1	1	5	1440	1319	49	34	96.384850	28,
5	1	7	1	1	6	1503	1319	81	29	96.568115	2017
5	1	7	1	1	7	2111	1318	121	37	96.672066	[SAKA
5	1	7	1	1	8	2250	1319	76	29	96.784462	1939
2	1	8	0	0	0	221	1373	2106	5	-1	
3	1	8	1	0	0	221	1373	2106	5	-1	
4	1	8	1	1	0	221	1373	2106	5	-1	
5	1	8	1	1	1	221	1373	2106	5	95.000000	 
2	1	9	0	0	0	222	1389	2105	4	-1	
3	1	9	1	0	0	222	1389	2105	4	-1	
4	1	9	1	1	0	222	1389	2105	4	-1	
5	1	9	1	1	1	222	1389	2105	4	95.000000	 
2	1	10	0	0	0	225	1427	2045	127	-1	
3	1	10	1	0	0	225	1427	2045	127	-1	
4	1	10	1	1	0	225	1427	2045	42	-1	
5	1	10	1	1	1	225	1429	107	32	93.290085	PART
5	1	10	1	1	2	347	1428	181	33	72.387321	I—Orders
5	1	10	1	1	3	542	1428	64	32	96.155594	and
5	1	10	1	1	4	619	1427	240	33	96.155594	Notifications
5	1	10	1	1	5	874	1427	43	42	96.494713	by
5	1	10	1	1	6	929	1427	54	33	96.114838	the
5	1	10	1	1	7	997	1428	176	32	96.555038	Governor
5	1	10	1	1	8	1185	1427	41	33	96.668846	of
5	1	10	1	1	9	1235	1428	88	32	96.668846	West
5	1	10	1	1	10	1336	1427	138	42	96.783676	Bengal,
5	1	10	1	1	11	1488	1427	54	33	96.513657	the
5	1	10	1	1	12	1557	1427	87	42	96.526825	High
5	1	10	1	1	13	1659	1427	113	39	96.565598	Court,
5	1	10	1	1	14	1787	1427	227	32	96.565598	Government
5	1	10	1	1	15	2027	1428	167	41	96.535194	Treasury,
5	1	10	1	1	16	2209	1433	61	27	95.804199	etc.
4	1	10	1	2	0	674	1517	1203	37	-1	
5	1	10	1	2	1	674	1517	147	37	96.687080	WEST
5	1	10	1	2	2	837	1517	215	37	95.846703	BENGAL
