level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	135	180	2098	39	-1	
3	1	1	1	0	0	135	180	2098	39	-1	
4	1	1	1	1	0	135	180	2098	39	-1	
5	1	1	1	1	1	135	183	78	29	92.304321	Part
5	1	1	1	1	2	225	182	25	37	76.594070	I]
5	1	1	1	1	3	559	182	80	29	96.085243	THE
5	1	1	1	1	4	653	182	189	29	96.085243	KOLKATA
5	1	1	1	1	5	853	181	195	35	95.572464	GAZETTE,
5	1	1	1	1	6	1062	180	356	35	96.152084	EXTRAORDINARY,
5	1	1	1	1	7	1432	180	224	30	96.294846	DECEMBER
5	1	1	1	1	8	1668	180	50	35	96.792801	28,
5	1	1	1	1	9	1731	180	82	29	96.961136	2017
5	1	1	1	1	10	2217	181	16	29	96.817078	3
2	1	2	0	0	0	134	250	2106	6	-1	
3	1	2	1	0	0	134	250	2106	6	-1	
4	1	2	1	1	0	134	250	2106	6	-1	
5	1	2	1	1	1	134	250	2106	6	95.000000	 
2	1	3	0	0	0	134	264	2106	7	-1	
3	1	3	1	0	0	134	264	2106	7	-1	
4	1	3	1	1	0	134	264	2106	7	-1	
5	1	3	1	1	1	134	264	2106	7	95.000000	 
2	1	4	0	0	0	134	304	2106	5	-1	
3	1	4	1	0	0	134	304	2106	5	-1	
4	1	4	1	1	0	134	304	2106	5	-1	
5	1	4	1	1	1	134	304	2106	5	95.000000	 
2	1	5	0	0	0	134	482	2106	6	-1	
3	1	5	1	0	0	134	482	2106	6	-1	
4	1	5	1	1	0	134	482	2106	6	-1	
5	1	5	1	1	1	134	482	2106	6	95.000000	 
2	1	6	0	0	0	175	328	2051	217	-1	
3	1	6	1	0	0	175	328	2051	217	-1	
4	1	6	1	1	0	175	328	2051	37	-1	
5	1	6	1	1	1	175	331	107	30	96.646744	Name
5	1	6	1	1	2	297	330	39	31	96.124031	of
5	1	6	1	1	3	347	330	106	30	82.727219	Block
5	1	6	1	1	4	484	326	20	47	0.000000	|
5	1	6	1	1	5	509	330	154	30	0.000000	Number
5	1	6	1	1	6	677	330	39	30	96.096977	of
5	1	6	1	1	7	728	330	169	30	96.511909	members
5	1	6	1	1	8	1017	330	160	35	96.635109	Number,
5	1	6	1	1	9	1193	329	106	30	94.762459	Name
5	1	6	1	1	10	1315	329	66	30	94.762459	and
5	1	6	1	1	11	1398	337	79	22	96.475159	area
5	1	6	1	1	12	1618	328	275	31	75.373428	Constituencies
5	1	6	1	1	13	1950	328	276	31	75.373428	|Constituencies
4	1	6	1	2	0	562	381	1641	39	-1	
5	1	6	1	2	1	562	385	34	28	95.853256	to
5	1	6	1	2	2	612	382	41	31	95.853256	be
5	1	6	1	2	3	667	382	127	31	96.616409	elected
5	1	6	1	2	4	809	384	35	28	96.523323	to
5	1	6	1	2	5	1064	381	39	31	96.115761	of
5	1	6	1	2	6	1114	382	57	30	96.115761	the
5	1	6	1	2	7	1185	381	245	39	95.799652	Constituency
5	1	6	1	2	8	1643	381	156	30	96.235718	reserved
5	1	6	1	2	9	1815	381	55	30	96.569084	for
5	1	6	1	2	10	1975	381	157	30	96.343819	reserved
5	1	6	1	2	11	2147	381	56	30	96.343819	for
4	1	6	1	3	0	534	433	1620	40	-1	
5	1	6	1	3	1	534	435	57	31	96.647423	the
5	1	6	1	3	2	605	435	84	30	95.948433	Zilla
5	1	6	1	3	3	706	435	165	30	96.536713	Parishad
5	1	6	1	3	4	1580	433	190	31	91.897240	ST/SC/BC
5	1	6	1	3	5	1791	442	142	31	96.903252	persons
5	1	6	1	3	6	2020	442	134	22	96.666679	women
4	1	6	1	4	0	288	504	1825	41	-1	
5	1	6	1	4	1	288	506	49	39	65.651726	(1)
5	1	6	1	4	2	678	505	50	38	96.822533	(2)
5	1	6	1	4	3	1222	505	50	38	96.927956	(3)
5	1	6	1	4	4	1731	504	49	38	97.010361	(4)
5	1	6	1	4	5	2063	504	50	38	96.528198	(5)
2	1	7	0	0	0	134	553	2106	6	-1	
3	1	7	1	0	0	134	553	2106	6	-1	
4	1	7	1	1	0	134	553	2106	6	-1	
5	1	7	1	1	1	134	553	2106	6	95.000000	 
2	1	8	0	0	0	1019	577	446	149	-1	
3	1	8	1	0	0	1019	577	446	149	-1	
4	1	8	1	1	0	1066	577	351	32	-1	
5	1	8	1	1	1	1066	578	200	31	92.702492	Madarihat
5	1	8	1	1	2	1280	578	12	30	90.717049	/
5	1	8	1	1	3	1305	577	112	31	90.717049	ZP-16
4	1	8	1	2	0	1019	631	446	41	-1	
5	1	8	1	2	1	1019	631	195	41	92.758507	Bandapani,
5	1	8	1	2	2	1230	631	158	40	90.173981	Birpara-I
5	1	8	1	2	3	1403	631	62	31	96.880920	and
4	1	8	1	3	0	1068	685	348	41	-1	
5	1	8	1	3	1	1068	685	219	41	91.645203	Sishujhumra
5	1	8	1	3	2	1302	686	114	31	96.534325	Grams
2	1	9	0	0	0	909	735	1331	4	-1	
3	1	9	1	0	0	909	735	1331	4	-1	
4	1	9	1	1	0	909	735	1331	4	-1	
5	1	9	1	1	1	909	735	1331	4	95.000000	 
2	1	10	0	0	0	212	755	1947	207	-1	
3	1	10	1	0	0	212	755	1947	207	-1	
4	1	10	1	1	0	212	755	1204	46	-1	
5	1	10	1	1	1	212	755	203	46	92.322166	Madarihat
5	1	10	1	1	2	692	759	19	31	96.707321	3
5	1	10	1	1	3	1067	758	199	31	92.449478	Madarihat
5	1	10	1	1	4	1280	758	12	30	92.957077	/
5	1	10	1	1	5	1305	758	111	30	90.085403	ZP-17
4	1	10	1	2	0	1045	811	1114	42	-1	
5	1	10	1	2	1	1045	812	182	41	82.121696	Birpara-II,
5	1	10	1	2	2	1244	811	194	41	91.951210	Lankapara,
5	1	10	1	2	3	1729	812	53	31	96.573097	ST
5	1	10	1	2	4	2016	812	143	31	96.642288	Women
4	1	10	1	3	0	1030	866	422	41	-1	
5	1	10	1	3	1	1030	866	343	41	91.651123	Totopara-Ballalguri
5	1	10	1	3	2	1391	866	61	31	96.860786	and
4	1	10	1	4	0	1088	921	308	41	-1	
5	1	10	1	4	1	1088	922	179	40	91.243164	Hantapara
5	1	10	1	4	2	1282	921	114	31	96.911842	Grams
2	1	11	0	0	0	909	971	1331	5	-1	
3	1	11	1	0	0	909	971	1331	5	-1	
4	1	11	1	1	0	909	971	1331	5	-1	
5	1	11	1	1	1	909	971	1331	5	95.000000	 
2	1	12	0	0	0	1018	993	764	152	-1	
3	1	12	1	0	0	1018	993	764	152	-1	
4	1	12	1	1	0	1067	993	350	32	-1	
5	1	12	1	1	1	1067	994	199	31	92.481758	Madarihat
5	1	12	1	1	2	1280	994	12	30	90.329987	/
5	1	12	1	1	3	1305	993	112	31	92.572639	ZP-18
4	1	12	1	2	0	1018	1047	764	38	-1	
5	1	12	1	2	1	1018	1047	189	38	92.725754	Madarihat,
5	1	12	1	2	2	1223	1047	165	31	92.255760	Khairbari
5	1	12	1	2	3	1403	1047	62	31	96.462379	and
5	1	12	1	2	4	1729	1047	53	31	96.246536	ST
4	1	12	1	3	0	1057	1105	369	40	-1	
5	1	12	1	3	1	1057	1105	238	40	91.633186	Rangalibazna
5	1	12	1	3	2	1311	1105	115	31	96.336929	Grams
2	1	13	0	0	0	136	1160	2104	5	-1	
3	1	13	1	0	0	136	1160	2104	5	-1	
4	1	13	1	1	0	136	1160	2104	5	-1	
5	1	13	1	1	1	136	1160	2104	5	95.000000	 
2	1	14	0	0	0	1445	1453	697	146	-1	
3	1	14	1	0	0	1445	1453	697	146	-1	
4	1	14	1	1	0	1656	1453	270	40	-1	
5	1	14	1	1	1	1656	1453	53	40	93.220566	(A.
5	1	14	1	1	2	1726	1454	38	31	93.090363	K.
5	1	14	1	1	3	1782	1454	144	38	95.655228	SINGH)
4	1	14	1	2	0	1537	1506	511	31	-1	
5	1	14	1	2	1	1537	1507	83	30	96.185501	State
5	1	14	1	2	2	1635	1506	143	31	95.802048	Election
5	1	14	1	2	3	1794	1506	254	31	95.802048	Commissioner
4	1	14	1	3	0	1445	1558	697	41	-1	
5	1	14	1	3	1	1445	1559	77	31	96.755028	West
5	1	14	1	3	2	1533	1558	126	41	96.182098	Bengal
5	1	14	1	3	3	1669	1559	85	31	96.565033	State
5	1	14	1	3	4	1767	1558	145	32	96.451660	Election
5	1	14	1	3	5	1928	1559	214	31	96.684715	Commission
2	1	15	0	0	0	137	3262	2103	5	-1	
3	1	15	1	0	0	137	3262	2103	5	-1	
4	1	15	1	1	0	137	3262	2103	5	-1	
5	1	15	1	1	1	137	3262	2103	5	95.000000	 
2	1	16	0	0	0	414	3281	1552	79	-1	
3	1	16	1	0	0	414	3281	1552	79	-1	
4	1	16	1	1	0	414	3281	1552	35	-1	
5	1	16	1	1	1	414	3282	147	27	96.725929	Published
5	1	16	1	1	2	572	3282	35	34	96.742523	by
5	1	16	1	1	3	619	3282	71	27	96.209091	West
5	1	16	1	1	4	701	3282	103	34	96.209091	Bengal
5	1	16	1	1	5	818	3281	71	28	96.355263	State
5	1	16	1	1	6	901	3281	122	27	95.960220	Election
5	1	16	1	1	7	1036	3281	195	30	96.413895	Commission,
5	1	16	1	1	8	1243	3281	72	27	96.806870	West
5	1	16	1	1	9	1326	3281	103	34	96.806870	Bengal
5	1	16	1	1	10	1442	3281	51	27	96.708046	and
5	1	16	1	1	11	1505	3281	105	34	96.734993	printed
5	1	16	1	1	12	1622	3286	25	22	93.293221	at
5	1	16	1	1	13	1659	3281	149	34	91.750069	Saraswaty
5	1	16	1	1	14	1820	3281	77	27	96.969429	Press
5	1	16	1	1	15	1909	3281	57	26	96.341431	Ltd.
4	1	16	1	2	0	745	3326	890	34	-1	
5	1	16	1	2	1	745	3326	197	33	95.710258	(Government
5	1	16	1	2	2	954	3326	34	27	96.919212	of
5	1	16	1	2	3	995	3327	70	26	96.551147	West
