level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	707	261	1670	37	-1	
3	1	1	1	0	0	707	261	1670	37	-1	
4	1	1	1	1	0	707	261	1670	37	-1	
5	1	1	1	1	1	707	264	80	29	96.496208	THE
5	1	1	1	1	2	800	264	189	29	96.224220	KOLKATA
5	1	1	1	1	3	1000	263	195	34	95.661148	GAZETTE,
5	1	1	1	1	4	1208	262	355	35	96.006310	EXTRAORDINARY,
5	1	1	1	1	5	1578	262	223	29	96.264153	DECEMBER
5	1	1	1	1	6	1814	262	49	35	95.895676	28,
5	1	1	1	1	7	1876	262	81	28	95.895676	2017
5	1	1	1	1	8	2264	261	91	37	90.303894	[Part
5	1	1	1	1	9	2368	262	9	28	94.771408	I
2	1	2	0	0	0	284	330	2099	8	-1	
3	1	2	1	0	0	284	330	2099	8	-1	
4	1	2	1	1	0	284	330	2099	8	-1	
5	1	2	1	1	1	284	330	2099	8	95.000000	 
2	1	3	0	0	0	283	346	2100	6	-1	
3	1	3	1	0	0	283	346	2100	6	-1	
4	1	3	1	1	0	283	346	2100	6	-1	
5	1	3	1	1	1	283	346	2100	6	95.000000	 
2	1	4	0	0	0	283	385	2100	8	-1	
3	1	4	1	0	0	283	385	2100	8	-1	
4	1	4	1	1	0	283	385	2100	8	-1	
5	1	4	1	1	1	283	385	2100	8	95.000000	 
2	1	5	0	0	0	283	564	2099	8	-1	
3	1	5	1	0	0	283	564	2099	8	-1	
4	1	5	1	1	0	283	564	2099	8	-1	
5	1	5	1	1	1	283	564	2099	8	95.000000	 
2	1	6	0	0	0	283	635	2100	7	-1	
3	1	6	1	0	0	283	635	2100	7	-1	
4	1	6	1	1	0	283	635	2100	7	-1	
5	1	6	1	1	1	283	635	2100	7	95.000000	 
2	1	7	0	0	0	324	411	2044	360	-1	
3	1	7	1	0	0	324	411	2044	360	-1	
4	1	7	1	1	0	324	411	2044	37	-1	
5	1	7	1	1	1	324	415	107	30	96.406479	Name
5	1	7	1	1	2	445	414	40	31	95.433830	of
5	1	7	1	1	3	495	414	106	30	94.195030	Block
5	1	7	1	1	4	630	409	24	46	94.195030	|
5	1	7	1	1	5	658	414	153	30	95.837082	Number
5	1	7	1	1	6	825	413	38	31	95.718147	of
5	1	7	1	1	7	875	413	169	31	95.718147	members
5	1	7	1	1	8	1164	412	159	36	96.468727	Number,
5	1	7	1	1	9	1339	411	106	32	96.785378	Name
5	1	7	1	1	10	1461	412	66	30	95.640884	and
5	1	7	1	1	11	1544	420	78	22	94.884621	area
5	1	7	1	1	12	1763	411	274	31	88.110153	Constituencies
5	1	7	1	1	13	2093	411	275	30	85.124680	|Constituencies
4	1	7	1	2	0	710	463	1635	41	-1	
5	1	7	1	2	1	710	469	34	28	96.189865	to
5	1	7	1	2	2	760	466	41	31	96.956314	be
5	1	7	1	2	3	814	466	127	31	96.961533	elected
5	1	7	1	2	4	956	469	34	27	96.789940	to
5	1	7	1	2	5	1211	465	39	30	96.669952	of
5	1	7	1	2	6	1261	465	56	30	96.972786	the
5	1	7	1	2	7	1332	464	243	40	96.555962	Constituency
5	1	7	1	2	8	1788	464	156	30	96.331329	reserved
5	1	7	1	2	9	1959	463	55	31	96.740150	for
5	1	7	1	2	10	2118	464	157	30	96.491898	reserved
5	1	7	1	2	11	2290	464	55	30	96.707344	for
4	1	7	1	3	0	682	516	1614	40	-1	
5	1	7	1	3	1	682	519	57	30	96.714539	the
5	1	7	1	3	2	753	519	84	30	96.368301	Zilla
5	1	7	1	3	3	854	518	164	31	96.830772	Parishad
5	1	7	1	3	4	1724	516	190	31	92.417229	ST/SC/BC
5	1	7	1	3	5	1935	525	141	31	96.123161	persons
5	1	7	1	3	6	2163	525	133	22	96.768059	women
4	1	7	1	4	0	437	586	1818	42	-1	
5	1	7	1	4	1	437	590	49	38	82.301376	(1)
5	1	7	1	4	2	826	589	49	38	96.992249	(2)
5	1	7	1	4	3	1368	587	50	39	96.930893	(3)
5	1	7	1	4	4	1875	587	49	38	96.980545	(4)
5	1	7	1	4	5	2206	586	49	38	92.019409	(5)
4	1	7	1	5	0	1239	667	296	40	-1	
5	1	7	1	5	1	1239	667	179	40	91.810463	Dhupguri
5	1	7	1	5	2	1434	667	101	30	92.244270	/ZP-2
4	1	7	1	6	0	1142	730	1158	41	-1	
5	1	7	1	6	1	1142	732	25	30	90.807365	B
5	1	7	1	6	2	1183	731	197	40	90.454582	arogharia,S
5	1	7	1	6	3	1396	731	186	40	92.252144	akoajhora-
5	1	7	1	6	4	1597	731	36	37	87.080841	II,
5	1	7	1	6	5	1873	730	54	31	70.668365	SC
5	1	7	1	6	6	2159	731	141	30	96.451866	Women
2	1	8	0	0	0	1068	795	859	380	-1	
3	1	8	1	0	0	1068	795	859	380	-1	
4	1	8	1	1	0	1165	795	446	41	-1	
5	1	8	1	1	1	1165	795	174	41	87.700760	Gadong-I,
5	1	8	1	1	2	1356	795	177	41	74.536224	Gadong-II
5	1	8	1	1	3	1550	795	61	31	96.880997	and
4	1	8	1	2	0	1207	861	363	40	-1	
5	1	8	1	2	1	1207	862	20	31	91.832397	S
5	1	8	1	2	2	1243	861	197	40	85.639778	akoajhora-I
5	1	8	1	2	3	1456	861	114	31	96.337502	Grams
4	1	8	1	3	0	1240	940	296	41	-1	
5	1	8	1	3	1	1240	941	179	40	90.514938	Dhupguri
5	1	8	1	3	2	1435	940	101	31	91.538391	/ZP-3
4	1	8	1	4	0	1068	1004	640	41	-1	
5	1	8	1	4	1	1068	1005	159	37	92.057404	Salbari-I,
5	1	8	1	4	2	1245	1005	134	31	93.023438	Salbari-
5	1	8	1	4	3	1395	1006	35	36	69.979713	II,
5	1	8	1	4	4	1446	1004	262	41	75.466400	Jharaltagram-l,
4	1	8	1	5	0	1116	1069	811	41	-1	
5	1	8	1	5	1	1116	1070	276	40	30.832882	Jharaltagram-II,
5	1	8	1	5	2	1411	1069	248	37	92.323196	Gadhearkuthi,
5	1	8	1	5	3	1874	1069	53	31	84.947220	SC
4	1	8	1	6	0	1240	1134	298	41	-1	
5	1	8	1	6	1	1240	1134	220	41	89.200005	Magurmari-I
5	1	8	1	6	2	1476	1134	62	31	96.963539	and
2	1	9	0	0	0	1056	910	1327	6	-1	
3	1	9	1	0	0	1056	910	1327	6	-1	
4	1	9	1	1	0	1056	910	1327	6	-1	
5	1	9	1	1	1	1056	910	1327	6	95.000000	 
2	1	10	0	0	0	1205	1199	366	41	-1	
3	1	10	1	0	0	1205	1199	366	41	-1	
4	1	10	1	1	0	1205	1199	366	41	-1	
5	1	10	1	1	1	1205	1199	235	41	63.320072	Magurmari-II
5	1	10	1	1	2	1458	1199	113	32	96.949211	Grams
2	1	11	0	0	0	285	1247	2098	9	-1	
3	1	11	1	0	0	285	1247	2098	9	-1	
4	1	11	1	1	0	285	1247	2098	9	-1	
5	1	11	1	1	1	285	1247	2098	9	95.000000	 
2	1	12	0	0	0	1097	1278	1203	235	-1	
3	1	12	1	0	0	1233	1278	311	40	-1	
4	1	12	1	1	0	1233	1278	311	40	-1	
5	1	12	1	1	1	1233	1278	311	40	92.131996	Maynaguri/ZP-4
3	1	12	2	0	0	1097	1342	1203	171	-1	
4	1	12	2	1	0	1097	1342	582	42	-1	
5	1	12	2	1	1	1097	1343	161	38	91.895424	Ramshai,
5	1	12	2	1	2	1272	1343	143	41	92.948975	Amguri,
5	1	12	2	1	3	1432	1342	247	42	60.247532	Khagrabari-II,
4	1	12	2	2	0	1227	1407	1073	32	-1	
5	1	12	2	2	1	1227	1408	248	31	91.718597	Churabhandar
5	1	12	2	2	2	1489	1407	62	31	96.434891	and
5	1	12	2	2	3	1874	1408	53	30	87.061218	SC
5	1	12	2	2	4	2159	1408	141	30	96.415924	Women
4	1	12	2	3	0	1233	1472	312	41	-1	
5	1	12	2	3	1	1233	1472	182	41	51.718323	Saptibari-I
5	1	12	2	3	2	1431	1472	114	32	96.650482	Grams
2	1	13	0	0	0	1057	1520	1325	6	-1	
3	1	13	1	0	0	1057	1520	1325	6	-1	
4	1	13	1	1	0	1057	1520	1325	6	-1	
5	1	13	1	1	1	1057	1520	1325	6	95.000000	 
2	1	14	0	0	0	360	1549	1568	446	-1	
3	1	14	1	0	0	360	1549	1568	446	-1	
4	1	14	1	1	0	360	1549	1190	49	-1	
5	1	14	1	1	1	360	1549	208	49	92.044624	Maynaguri
5	1	14	1	1	2	841	1552	19	31	96.944054	3
5	1	14	1	1	3	1227	1552	206	39	91.237648	Maynaguri
5	1	14	1	1	4	1449	1551	101	31	82.853905	/ZP-5
4	1	14	1	2	0	1152	1615	473	38	-1	
5	1	14	1	2	1	1152	1615	235	38	81.336983	Domohani-II,
5	1	14	1	2	2	1404	1615	221	37	73.487366	Domohani-I,
4	1	14	1	3	0	1143	1680	491	41	-1	
5	1	14	1	3	1	1143	1680	198	41	91.941513	Maynaguri,
