level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	204	178	2095	44	-1	
3	1	1	1	0	0	204	178	2095	44	-1	
4	1	1	1	1	0	204	178	2095	44	-1	
5	1	1	1	1	1	204	186	77	28	93.466286	Part
5	1	1	1	1	2	294	184	23	38	82.937561	I]
5	1	1	1	1	3	627	183	79	29	96.915840	THE
5	1	1	1	1	4	720	183	189	29	95.855736	KOLKATA
5	1	1	1	1	5	920	181	195	35	95.866386	GAZETTE,
5	1	1	1	1	6	1130	180	355	34	95.866386	EXTRAORDINARY,
5	1	1	1	1	7	1500	180	224	29	96.455650	DECEMBER
5	1	1	1	1	8	1735	179	50	34	96.360657	28,
5	1	1	1	1	9	1798	179	82	28	96.735352	2017
5	1	1	1	1	10	2283	178	16	29	96.885139	3
2	1	2	0	0	0	200	246	2107	12	-1	
3	1	2	1	0	0	200	246	2107	12	-1	
4	1	2	1	1	0	200	246	2107	12	-1	
5	1	2	1	1	1	200	246	2107	12	95.000000	 
2	1	3	0	0	0	200	261	2107	12	-1	
3	1	3	1	0	0	200	261	2107	12	-1	
4	1	3	1	1	0	200	261	2107	12	-1	
5	1	3	1	1	1	200	261	2107	12	95.000000	 
2	1	4	0	0	0	200	300	2107	11	-1	
3	1	4	1	0	0	200	300	2107	11	-1	
4	1	4	1	1	0	200	300	2107	11	-1	
5	1	4	1	1	1	200	300	2107	11	95.000000	 
2	1	5	0	0	0	201	480	2106	11	-1	
3	1	5	1	0	0	201	480	2106	11	-1	
4	1	5	1	1	0	201	480	2106	11	-1	
5	1	5	1	1	1	201	480	2106	11	95.000000	 
2	1	6	0	0	0	242	326	2050	220	-1	
3	1	6	1	0	0	242	326	2050	220	-1	
4	1	6	1	1	0	242	326	2050	39	-1	
5	1	6	1	1	1	242	333	108	30	95.189453	Name
5	1	6	1	1	2	364	332	39	31	95.189453	of
5	1	6	1	1	3	415	332	105	31	88.240112	Block
5	1	6	1	1	4	552	326	20	46	0.000000	|
5	1	6	1	1	5	577	331	154	31	0.000000	Number
5	1	6	1	1	6	745	330	39	31	96.846123	of
5	1	6	1	1	7	795	330	170	30	96.733910	members
5	1	6	1	1	8	1085	329	159	36	95.351585	Number,
5	1	6	1	1	9	1261	329	106	30	96.702927	Name
5	1	6	1	1	10	1383	328	66	31	96.209534	and
5	1	6	1	1	11	1465	337	79	22	96.720436	area
5	1	6	1	1	12	1686	327	274	31	82.446854	Constituencies
5	1	6	1	1	13	2017	326	275	31	82.446854	|Constituencies
4	1	6	1	2	0	630	378	1639	42	-1	
5	1	6	1	2	1	630	386	34	28	96.809189	to
5	1	6	1	2	2	681	384	40	30	96.413551	be
5	1	6	1	2	3	735	383	126	31	95.810989	elected
5	1	6	1	2	4	877	385	34	28	96.782707	to
5	1	6	1	2	5	1132	381	39	31	96.261002	of
5	1	6	1	2	6	1182	381	57	31	96.901581	the
5	1	6	1	2	7	1254	381	243	39	96.591118	Constituency
5	1	6	1	2	8	1710	379	157	31	96.338715	reserved
5	1	6	1	2	9	1882	379	55	31	96.612007	for
5	1	6	1	2	10	2041	379	158	30	95.644150	reserved
5	1	6	1	2	11	2213	378	56	31	95.644150	for
4	1	6	1	3	0	603	432	1617	39	-1	
5	1	6	1	3	1	603	436	56	31	96.682083	the
5	1	6	1	3	2	673	436	84	31	96.189339	Zilla
5	1	6	1	3	3	774	435	164	31	96.454536	Parishad
5	1	6	1	3	4	1647	432	191	31	92.873207	ST/SC/BC
5	1	6	1	3	5	1859	441	141	30	96.728859	persons
5	1	6	1	3	6	2087	440	133	22	96.592041	women
4	1	6	1	4	0	355	502	1824	44	-1	
5	1	6	1	4	1	355	509	50	37	41.403099	(1)
5	1	6	1	4	2	747	506	50	39	96.948021	(2)
5	1	6	1	4	3	1290	504	49	39	96.940392	(3)
5	1	6	1	4	4	1798	502	50	38	96.886505	(4)
5	1	6	1	4	5	2130	502	49	38	81.776169	(5)
2	1	7	0	0	0	201	550	2106	11	-1	
3	1	7	1	0	0	201	550	2106	11	-1	
4	1	7	1	1	0	201	550	2106	11	-1	
5	1	7	1	1	1	201	550	2106	11	95.000000	 
2	1	8	0	0	0	1086	576	447	150	-1	
3	1	8	1	0	0	1086	576	447	150	-1	
4	1	8	1	1	0	1132	576	354	42	-1	
5	1	8	1	1	1	1132	577	203	41	92.052841	Kaliyaganj
5	1	8	1	1	2	1350	578	13	30	91.817284	/
5	1	8	1	1	3	1375	576	111	32	91.876572	ZP-18
4	1	8	1	2	0	1086	630	447	41	-1	
5	1	8	1	2	1	1086	633	193	38	93.301056	Anantapur,
5	1	8	1	2	2	1294	630	161	32	91.945450	Dhankoil
5	1	8	1	2	3	1471	630	62	31	96.717758	and
4	1	8	1	3	0	1143	685	333	41	-1	
5	1	8	1	3	1	1143	685	205	41	92.701660	Radhikapur
5	1	8	1	3	2	1362	685	114	32	96.587608	Grams
2	1	9	0	0	0	976	732	1332	8	-1	
3	1	9	1	0	0	976	732	1332	8	-1	
4	1	9	1	1	0	976	732	1332	8	-1	
5	1	9	1	1	1	976	732	1332	8	95.000000	 
2	1	10	0	0	0	279	757	1946	150	-1	
3	1	10	1	0	0	279	757	1946	150	-1	
4	1	10	1	1	0	279	757	1208	49	-1	
5	1	10	1	1	1	279	757	205	49	91.869888	Kaliyaganj
5	1	10	1	1	2	762	759	18	31	96.889099	3
5	1	10	1	1	3	1133	758	202	40	91.560005	Kaliyaganj
5	1	10	1	1	4	1350	758	13	31	92.861862	/
5	1	10	1	1	5	1376	757	111	31	92.278671	ZP-19
4	1	10	1	2	0	1066	810	1159	42	-1	
5	1	10	1	2	1	1066	812	155	37	91.194923	Bhander,
5	1	10	1	2	2	1239	811	239	41	92.768990	Mustafanagar
5	1	10	1	2	3	1492	810	62	32	96.973183	and
5	1	10	1	2	4	2083	810	142	31	96.030006	Women
4	1	10	1	3	0	1168	866	284	41	-1	
5	1	10	1	3	1	1168	866	154	41	91.526024	Malgaon
5	1	10	1	3	2	1338	866	114	32	96.700592	Grams
2	1	11	0	0	0	977	913	1331	8	-1	
3	1	11	1	0	0	977	913	1331	8	-1	
4	1	11	1	1	0	977	913	1331	8	-1	
5	1	11	1	1	1	977	913	1331	8	95.000000	 
2	1	12	0	0	0	1030	937	821	97	-1	
3	1	12	1	0	0	1030	937	821	97	-1	
4	1	12	1	1	0	1133	937	718	42	-1	
5	1	12	1	1	1	1133	939	203	40	91.919350	Kaliyaganj
5	1	12	1	1	2	1351	938	13	32	92.314072	/
5	1	12	1	1	3	1376	938	111	31	92.314072	ZP-20
5	1	12	1	1	4	1797	937	54	31	93.622314	SC
