level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	681	195	1669	40	-1	
3	1	1	1	0	0	681	195	1669	40	-1	
4	1	1	1	1	0	681	195	1669	40	-1	
5	1	1	1	1	1	681	195	80	29	96.096359	THE
5	1	1	1	1	2	773	195	190	29	95.884239	KOLKATA
5	1	1	1	1	3	974	195	194	35	95.901436	GAZETTE,
5	1	1	1	1	4	1182	195	355	36	95.901436	EXTRAORDINARY,
5	1	1	1	1	5	1551	196	226	29	95.973335	DECEMBER
5	1	1	1	1	6	1788	197	49	34	96.817406	28,
5	1	1	1	1	7	1850	197	81	29	96.601509	2017
5	1	1	1	1	8	2238	198	90	37	93.100517	[Part
5	1	1	1	1	9	2341	199	9	29	57.826668	I
2	1	2	0	0	0	256	262	2100	10	-1	
3	1	2	1	0	0	256	262	2100	10	-1	
4	1	2	1	1	0	256	262	2100	10	-1	
5	1	2	1	1	1	256	262	2100	10	95.000000	 
2	1	3	0	0	0	257	277	2099	9	-1	
3	1	3	1	0	0	257	277	2099	9	-1	
4	1	3	1	1	0	257	277	2099	9	-1	
5	1	3	1	1	1	257	277	2099	9	95.000000	 
2	1	4	0	0	0	256	317	2100	9	-1	
3	1	4	1	0	0	256	317	2100	9	-1	
4	1	4	1	1	0	256	317	2100	9	-1	
5	1	4	1	1	1	256	317	2100	9	95.000000	 
2	1	5	0	0	0	255	497	2100	8	-1	
3	1	5	1	0	0	255	497	2100	8	-1	
4	1	5	1	1	0	255	497	2100	8	-1	
5	1	5	1	1	1	255	497	2100	8	95.000000	 
2	1	6	0	0	0	255	567	2100	9	-1	
3	1	6	1	0	0	255	567	2100	9	-1	
4	1	6	1	1	0	255	567	2100	9	-1	
5	1	6	1	1	1	255	567	2100	9	95.000000	 
2	1	7	0	0	0	297	343	2044	344	-1	
3	1	7	1	0	0	297	343	2044	344	-1	
4	1	7	1	1	0	297	343	2044	38	-1	
5	1	7	1	1	1	297	343	107	31	96.191818	Name
5	1	7	1	1	2	418	343	40	31	96.032959	of
5	1	7	1	1	3	468	343	106	31	95.286896	Block
5	1	7	1	1	4	603	339	21	49	95.286896	|
5	1	7	1	1	5	631	344	153	30	96.313278	Number
5	1	7	1	1	6	798	344	39	30	96.313278	of
5	1	7	1	1	7	848	345	169	30	96.381493	members
5	1	7	1	1	8	1137	345	159	36	96.297440	Number,
5	1	7	1	1	9	1311	345	107	30	96.643448	Name
5	1	7	1	1	10	1434	345	66	30	96.695892	and
5	1	7	1	1	11	1517	354	79	21	95.779770	area
5	1	7	1	1	12	1737	346	273	31	66.388649	Constituencies
5	1	7	1	1	13	2066	347	275	31	66.388649	|Constituencies
4	1	7	1	2	0	684	396	1634	41	-1	
5	1	7	1	2	1	684	399	33	28	96.009857	to
5	1	7	1	2	2	733	396	41	31	96.974304	be
5	1	7	1	2	3	788	396	126	32	95.833839	elected
5	1	7	1	2	4	930	399	34	29	97.004852	to
5	1	7	1	2	5	1183	397	39	31	96.778511	of
5	1	7	1	2	6	1234	397	56	31	96.814247	the
5	1	7	1	2	7	1305	397	243	40	96.486099	Constituency
5	1	7	1	2	8	1762	399	155	30	96.305641	reserved
5	1	7	1	2	9	1932	399	55	30	96.305641	for
5	1	7	1	2	10	2091	400	156	31	96.814209	reserved
5	1	7	1	2	11	2262	400	56	31	96.610130	for
4	1	7	1	3	0	655	449	1613	42	-1	
5	1	7	1	3	1	655	449	57	30	96.270439	the
5	1	7	1	3	2	726	449	84	31	96.389587	Zilla
5	1	7	1	3	3	827	450	164	30	96.728577	Parishad
5	1	7	1	3	4	1698	451	190	31	92.885475	ST/SC/BC
5	1	7	1	3	5	1909	460	140	31	96.901405	persons
5	1	7	1	3	6	2136	461	132	22	96.857674	women
4	1	7	1	4	0	409	519	1818	42	-1	
5	1	7	1	4	1	409	519	50	39	73.358078	(1)
5	1	7	1	4	2	799	520	49	38	96.978645	(2)
5	1	7	1	4	3	1341	520	49	39	96.973351	(3)
5	1	7	1	4	4	1848	522	49	38	96.979767	(4)
5	1	7	1	4	5	2178	523	49	38	91.314339	(5)
4	1	7	1	5	0	1174	594	370	31	-1	
5	1	7	1	5	1	1174	594	220	31	90.771637	Kaliachak-I
5	1	7	1	5	2	1408	594	13	31	90.664070	/
5	1	7	1	5	3	1434	594	110	31	92.145386	ZP-33
4	1	7	1	6	0	1060	646	842	41	-1	
5	1	7	1	6	1	1060	646	159	41	91.855400	Alinagar,
5	1	7	1	6	2	1237	646	195	41	78.816139	Silampur-I,
5	1	7	1	6	3	1449	647	209	40	75.109955	Silampur-II,
5	1	7	1	6	4	1843	648	59	31	96.939415	BC
2	1	8	0	0	0	1053	699	612	33	-1	
3	1	8	1	0	0	1053	699	612	33	-1	
4	1	8	1	1	0	1053	699	612	33	-1	
5	1	8	1	1	1	1053	699	195	32	92.253830	Kaliachak-I
5	1	8	1	1	2	1260	700	60	31	93.295441	and
5	1	8	1	1	3	1334	700	206	32	88.657074	Kaliachak-II
5	1	8	1	1	4	1555	701	110	31	96.446724	Grams
2	1	9	0	0	0	322	772	1950	150	-1	
3	1	9	1	0	0	322	772	1950	147	-1	
4	1	9	1	1	0	1174	772	370	31	-1	
5	1	9	1	1	1	1174	772	219	31	92.298065	Kaliachak-I
5	1	9	1	1	2	1408	772	12	31	88.140656	/
5	1	9	1	1	3	1433	772	111	31	88.140656	ZP-34
4	1	9	1	2	0	1043	825	1229	41	-1	
5	1	9	1	2	1	1043	825	151	40	86.045929	Alipur-I,
5	1	9	1	2	2	1207	825	164	41	54.594917	Alipur-II,
