level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	0	0	744	11	-1	
3	1	1	1	0	0	0	0	744	11	-1	
4	1	1	1	1	0	0	0	744	11	-1	
5	1	1	1	1	1	0	0	744	11	95.000000	 
2	1	2	0	0	0	182	172	2097	42	-1	
3	1	2	1	0	0	182	172	2097	42	-1	
4	1	2	1	1	0	182	172	2097	42	-1	
5	1	2	1	1	1	182	178	77	29	96.124512	Part
5	1	2	1	1	2	272	177	23	37	86.151077	I]
5	1	2	1	1	3	605	176	79	28	96.913605	THE
5	1	2	1	1	4	698	175	190	29	96.167068	KOLKATA
5	1	2	1	1	5	898	174	195	35	95.938560	GAZETTE,
5	1	2	1	1	6	1107	174	357	34	96.278343	EXTRAORDINARY,
5	1	2	1	1	7	1478	172	224	30	96.391060	DECEMBER
5	1	2	1	1	8	1713	172	50	35	96.391060	28,
5	1	2	1	1	9	1777	172	81	29	96.805000	2017
5	1	2	1	1	10	2263	172	16	29	96.720032	3
2	1	3	0	0	0	179	241	2106	9	-1	
3	1	3	1	0	0	179	241	2106	9	-1	
4	1	3	1	1	0	179	241	2106	9	-1	
5	1	3	1	1	1	179	241	2106	9	95.000000	 
2	1	4	0	0	0	179	255	2106	10	-1	
3	1	4	1	0	0	179	255	2106	10	-1	
4	1	4	1	1	0	179	255	2106	10	-1	
5	1	4	1	1	1	179	255	2106	10	95.000000	 
2	1	5	0	0	0	178	293	2108	10	-1	
3	1	5	1	0	0	178	293	2108	10	-1	
4	1	5	1	1	0	178	293	2108	10	-1	
5	1	5	1	1	1	178	293	2108	10	95.000000	 
2	1	6	0	0	0	179	473	2107	11	-1	
3	1	6	1	0	0	179	473	2107	11	-1	
4	1	6	1	1	0	179	473	2107	11	-1	
5	1	6	1	1	1	179	473	2107	11	95.000000	 
2	1	7	0	0	0	179	544	2107	10	-1	
3	1	7	1	0	0	179	544	2107	10	-1	
4	1	7	1	1	0	179	544	2107	10	-1	
5	1	7	1	1	1	179	544	2107	10	95.000000	 
2	1	8	0	0	0	220	320	2051	286	-1	
3	1	8	1	0	0	220	320	2051	286	-1	
4	1	8	1	1	0	220	320	2051	38	-1	
5	1	8	1	1	1	220	326	108	30	94.357224	Name
5	1	8	1	1	2	342	325	39	31	94.357224	of
5	1	8	1	1	3	393	325	105	31	89.618813	Block
5	1	8	1	1	4	530	319	20	46	0.000000	|
5	1	8	1	1	5	555	324	154	30	0.000000	Number
5	1	8	1	1	6	723	324	39	30	96.803497	of
5	1	8	1	1	7	773	323	170	31	96.740311	members
5	1	8	1	1	8	1062	322	160	36	96.544724	Number,
5	1	8	1	1	9	1239	322	107	30	96.535538	Name
5	1	8	1	1	10	1361	322	67	30	96.535538	and
5	1	8	1	1	11	1444	330	79	22	96.100372	area
5	1	8	1	1	12	1664	320	275	31	68.451256	Constituencies
5	1	8	1	1	13	1996	320	275	30	68.451256	|Constituencies
4	1	8	1	2	0	609	372	1639	41	-1	
5	1	8	1	2	1	609	379	33	28	96.211990	to
5	1	8	1	2	2	658	376	41	31	96.961761	be
5	1	8	1	2	3	712	376	127	30	96.816147	elected
5	1	8	1	2	4	855	378	34	28	96.792999	to
5	1	8	1	2	5	1110	375	39	30	96.337448	of
5	1	8	1	2	6	1160	375	57	30	96.967781	the
5	1	8	1	2	7	1232	374	244	39	96.117706	Constituency
5	1	8	1	2	8	1689	373	156	31	96.651863	reserved
5	1	8	1	2	9	1860	372	56	31	96.768814	for
5	1	8	1	2	10	2020	372	158	31	96.162590	reserved
5	1	8	1	2	11	2194	372	54	30	96.438133	for
4	1	8	1	3	0	580	425	1620	40	-1	
5	1	8	1	3	1	580	429	57	31	96.465157	the
5	1	8	1	3	2	651	429	84	30	95.689941	Zilla
5	1	8	1	3	3	752	428	165	31	96.374939	Parishad
5	1	8	1	3	4	1625	425	191	31	91.519730	ST/SC/BC
5	1	8	1	3	5	1837	433	142	32	96.508995	persons
5	1	8	1	3	6	2067	433	133	23	96.905182	women
4	1	8	1	4	0	334	496	1825	44	-1	
5	1	8	1	4	1	334	501	49	39	93.092072	(1)
5	1	8	1	4	2	724	499	50	38	96.965439	(2)
5	1	8	1	4	3	1268	498	50	38	96.747993	(3)
5	1	8	1	4	4	1776	496	50	38	96.926437	(4)
5	1	8	1	4	5	2109	496	50	38	83.413521	(3)
4	1	8	1	5	0	1137	573	1067	33	-1	
5	1	8	1	5	1	1137	575	150	31	90.217903	Baduria
5	1	8	1	5	2	1302	575	13	30	92.718636	/
5	1	8	1	5	3	1327	574	111	31	92.408012	ZP-17
5	1	8	1	5	4	2062	573	142	31	96.712952	Women
2	1	9	0	0	0	1000	634	575	100	-1	
3	1	9	1	0	0	1000	634	575	100	-1	
4	1	9	1	1	0	1000	634	575	41	-1	
5	1	9	1	1	1	1000	634	120	38	92.261375	Aturia,
5	1	9	1	1	2	1138	634	150	41	92.298012	Bajitpur,
5	1	9	1	1	3	1306	634	269	40	75.441833	Sayestanagar-II
4	1	9	1	2	0	1056	694	463	40	-1	
5	1	9	1	2	1	1056	694	62	32	93.140488	and
5	1	9	1	2	2	1134	695	254	39	57.903839	Sayestanagar-I
5	1	9	1	2	3	1405	694	114	31	96.538315	Grams
2	1	10	0	0	0	960	741	1326	8	-1	
3	1	10	1	0	0	960	741	1326	8	-1	
4	1	10	1	1	0	960	741	1326	8	-1	
5	1	10	1	1	1	960	741	1326	8	95.000000	 
2	1	11	0	0	0	979	769	1226	223	-1	
3	1	11	1	0	0	979	769	1226	223	-1	
4	1	11	1	1	0	1137	769	1068	33	-1	
5	1	11	1	1	1	1137	771	150	31	89.046715	Baduria
