level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	649	150	1671	38	-1	
3	1	1	1	0	0	649	150	1671	38	-1	
4	1	1	1	1	0	649	150	1671	38	-1	
5	1	1	1	1	1	649	152	79	29	96.530457	THE
5	1	1	1	1	2	741	151	189	30	95.824402	KOLKATA
5	1	1	1	1	3	941	151	195	35	96.101395	GAZETTE,
5	1	1	1	1	4	1151	151	355	32	96.028511	EXTRAORDINARY,
5	1	1	1	1	5	1521	151	223	29	95.329834	DECEMBER
5	1	1	1	1	6	1757	151	49	33	96.888084	28,
5	1	1	1	1	7	1820	151	81	29	96.472763	2017
5	1	1	1	1	8	2208	150	90	38	92.979034	[Part
5	1	1	1	1	9	2311	150	9	30	78.471039	I
2	1	2	0	0	0	223	220	2103	6	-1	
3	1	2	1	0	0	223	220	2103	6	-1	
4	1	2	1	1	0	223	220	2103	6	-1	
5	1	2	1	1	1	223	220	2103	6	95.000000	 
2	1	3	0	0	0	223	234	2103	6	-1	
3	1	3	1	0	0	223	234	2103	6	-1	
4	1	3	1	1	0	223	234	2103	6	-1	
5	1	3	1	1	1	223	234	2103	6	95.000000	 
2	1	4	0	0	0	223	274	2103	6	-1	
3	1	4	1	0	0	223	274	2103	6	-1	
4	1	4	1	1	0	223	274	2103	6	-1	
5	1	4	1	1	1	223	274	2103	6	95.000000	 
2	1	5	0	0	0	223	454	2103	6	-1	
3	1	5	1	0	0	223	454	2103	6	-1	
4	1	5	1	1	0	223	454	2103	6	-1	
5	1	5	1	1	1	223	454	2103	6	95.000000	 
2	1	6	0	0	0	223	525	2103	5	-1	
3	1	6	1	0	0	223	525	2103	5	-1	
4	1	6	1	1	0	223	525	2103	5	-1	
5	1	6	1	1	1	223	525	2103	5	95.000000	 
2	1	7	0	0	0	265	300	2046	277	-1	
3	1	7	1	0	0	265	300	2046	277	-1	
4	1	7	1	1	0	265	300	2046	36	-1	
5	1	7	1	1	1	265	302	107	31	96.696617	Name
5	1	7	1	1	2	386	302	39	31	96.696617	of
5	1	7	1	1	3	437	302	104	31	95.585503	Block
