level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	254	172	2094	57	-1	
3	1	1	1	0	0	254	172	2094	57	-1	
4	1	1	1	1	0	254	172	2094	57	-1	
5	1	1	1	1	1	254	172	253	53	96.468567	Registered
5	1	1	1	1	2	518	174	76	40	92.484772	No.
5	1	1	1	1	3	625	174	270	42	92.106285	WB/SC-247
5	1	1	1	1	4	1775	190	60	30	93.268387	No.
5	1	1	1	1	5	1855	190	493	39	53.686375	WB(Part-1)/2017/SAR-839
2	1	2	0	0	0	488	722	1599	148	-1	
3	1	2	1	0	0	488	722	1599	148	-1	
4	1	2	1	1	0	488	722	1599	148	-1	
5	1	2	1	1	1	488	722	471	120	94.719376	Kolkata
5	1	2	1	1	2	1669	729	418	141	27.318787	GHasette
2	1	3	0	0	0	1144	301	320	748	-1	
3	1	3	1	0	0	1144	301	320	748	-1	
4	1	3	1	1	0	1144	301	320	748	-1	
5	1	3	1	1	1	1144	301	320	748	95.000000	 
2	1	4	0	0	0	992	1091	617	142	-1	
3	1	4	1	0	0	992	1091	617	142	-1	
4	1	4	1	1	0	1109	1091	382	61	-1	
5	1	4	1	1	1	1109	1091	382	61	96.536964	Extraordinary
4	1	4	1	2	0	992	1170	617	63	-1	
5	1	4	1	2	1	992	1170	262	49	96.408791	Published
5	1	4	1	2	2	1272	1171	65	61	96.714737	by
5	1	4	1	2	3	1351	1172	258	61	96.701370	Authority
2	1	5	0	0	0	247	1286	2104	16	-1	
3	1	5	1	0	0	247	1286	2104	16	-1	
4	1	5	1	1	0	247	1286	2104	16	-1	
5	1	5	1	1	1	247	1286	2104	16	95.000000	 
2	1	6	0	0	0	247	1302	2104	14	-1	
3	1	6	1	0	0	247	1302	2104	14	-1	
4	1	6	1	1	0	247	1302	2104	14	-1	
5	1	6	1	1	1	247	1302	2104	14	95.000000	 
2	1	7	0	0	0	250	1336	2099	48	-1	
3	1	7	1	0	0	250	1336	2099	48	-1	
