level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	232	159	2098	38	-1	
3	1	1	1	0	0	232	159	2098	38	-1	
4	1	1	1	1	0	232	159	2098	38	-1	
5	1	1	1	1	1	232	160	78	29	93.399521	Part
5	1	1	1	1	2	322	159	23	38	91.319801	I]
5	1	1	1	1	3	655	160	80	29	96.017303	THE
5	1	1	1	1	4	749	159	189	30	96.074562	KOLKATA
5	1	1	1	1	5	949	160	195	36	95.477798	GAZETTE,
5	1	1	1	1	6	1158	161	357	34	95.477798	EXTRAORDINARY,
5	1	1	1	1	7	1529	161	224	30	96.403336	DECEMBER
5	1	1	1	1	8	1765	161	49	35	96.741554	28,
5	1	1	1	1	9	1828	162	83	28	96.963905	2017
5	1	1	1	1	10	2315	163	15	29	94.710068	5
2	1	2	0	0	0	229	230	2108	6	-1	
3	1	2	1	0	0	229	230	2108	6	-1	
4	1	2	1	1	0	229	230	2108	6	-1	
5	1	2	1	1	1	229	230	2108	6	95.000000	 
2	1	3	0	0	0	229	245	2108	5	-1	
3	1	3	1	0	0	229	245	2108	5	-1	
4	1	3	1	1	0	229	245	2108	5	-1	
5	1	3	1	1	1	229	245	2108	5	95.000000	 
2	1	4	0	0	0	229	282	2109	7	-1	
3	1	4	1	0	0	229	282	2109	7	-1	
4	1	4	1	1	0	229	282	2109	7	-1	
5	1	4	1	1	1	229	282	2109	7	95.000000	 
2	1	5	0	0	0	228	462	2108	7	-1	
3	1	5	1	0	0	228	462	2108	7	-1	
4	1	5	1	1	0	228	462	2108	7	-1	
5	1	5	1	1	1	228	462	2108	7	95.000000	 
2	1	6	0	0	0	270	308	2052	217	-1	
3	1	6	1	0	0	270	308	2052	217	-1	
4	1	6	1	1	0	270	308	2052	37	-1	
5	1	6	1	1	1	270	309	108	30	96.357033	Name
5	1	6	1	1	2	392	308	39	31	96.357033	of
5	1	6	1	1	3	443	308	104	31	93.375343	Block
5	1	6	1	1	4	578	304	20	48	93.375343	|
5	1	6	1	1	5	605	308	154	30	96.415260	Number
5	1	6	1	1	6	772	308	41	31	96.699219	of
5	1	6	1	1	7	823	309	170	30	96.809807	members
5	1	6	1	1	8	1113	309	160	36	96.525841	Number,
5	1	6	1	1	9	1289	309	107	30	96.171738	Name
5	1	6	1	1	10	1411	309	67	31	96.062668	and
5	1	6	1	1	11	1494	318	79	22	96.539246	area
5	1	6	1	1	12	1714	309	276	32	64.155594	Constituencies
5	1	6	1	1	13	2047	310	275	32	64.155594	|Constituencies
4	1	6	1	2	0	657	361	1642	40	-1	
5	1	6	1	2	1	657	363	35	28	96.775024	to
5	1	6	1	2	2	708	361	40	30	96.940414	be
5	1	6	1	2	3	762	361	127	30	95.943268	elected
5	1	6	1	2	4	905	363	34	28	96.709061	to
5	1	6	1	2	5	1160	361	39	31	96.267639	of
5	1	6	1	2	6	1210	362	56	30	96.934616	the
5	1	6	1	2	7	1282	361	244	40	96.384346	Constituency
5	1	6	1	2	8	1739	362	157	30	96.439224	reserved
5	1	6	1	2	9	1911	362	56	31	96.439224	for
5	1	6	1	2	10	2072	364	157	29	96.877190	reserved
5	1	6	1	2	11	2244	363	55	31	96.468727	for
4	1	6	1	3	0	629	413	1622	42	-1	
5	1	6	1	3	1	629	413	57	31	95.802345	the
5	1	6	1	3	2	700	413	84	31	96.355019	Zilla
5	1	6	1	3	3	802	413	164	31	96.315125	Parishad
5	1	6	1	3	4	1675	414	191	32	90.365257	ST/SC/BC
5	1	6	1	3	5	1887	423	143	32	96.510620	persons
5	1	6	1	3	6	2118	425	133	22	96.306816	women
4	1	6	1	4	0	382	484	1827	41	-1	
5	1	6	1	4	1	382	484	50	38	78.611549	(1)
5	1	6	1	4	2	774	484	50	38	96.949463	(2)
5	1	6	1	4	3	1318	484	49	39	96.972862	(3)
5	1	6	1	4	4	1826	485	50	39	96.955040	(4)
5	1	6	1	4	5	2159	487	50	38	87.242523	(3)
2	1	7	0	0	0	228	532	2108	8	-1	
3	1	7	1	0	0	228	532	2108	8	-1	
4	1	7	1	1	0	228	532	2108	8	-1	
5	1	7	1	1	1	228	532	2108	8	95.000000	 
2	1	8	0	0	0	1053	558	565	139	-1	
3	1	8	1	0	0	1053	558	565	139	-1	
4	1	8	1	1	0	1116	558	442	40	-1	
5	1	8	1	1	1	1116	558	287	40	72.669151	Bhagwanpur-II
5	1	8	1	1	2	1419	558	13	30	90.526497	/
5	1	8	1	1	3	1446	558	112	31	92.477585	ZP-48
4	1	8	1	2	0	1053	611	565	37	-1	
5	1	8	1	2	1	1053	611	123	37	91.297676	Jukhia,
5	1	8	1	2	2	1192	611	174	32	90.781044	Garbari-II
5	1	8	1	2	3	1382	612	61	31	92.538033	and
5	1	8	1	2	4	1458	612	160	31	85.708847	Garbari-I
4	1	8	1	3	0	1279	666	115	31	-1	
5	1	8	1	3	1	1279	666	115	31	96.673981	Grams
2	1	9	0	0	0	228	714	2108	7	-1	
3	1	9	1	0	0	228	714	2108	7	-1	
4	1	9	1	1	0	228	714	2108	7	-1	
5	1	9	1	1	1	228	714	2108	7	95.000000	 
2	1	10	0	0	0	1042	738	586	91	-1	
3	1	10	1	0	0	1042	738	586	91	-1	
4	1	10	1	1	0	1172	738	329	39	-1	
5	1	10	1	1	1	1172	738	177	39	89.844063	Khejuri-I
5	1	10	1	1	2	1364	738	12	30	89.844063	/
5	1	10	1	1	3	1389	738	112	30	90.430702	ZP-49
4	1	10	1	2	0	1042	791	586	38	-1	
5	1	10	1	2	1	1042	792	106	37	93.117538	Heria,
5	1	10	1	2	2	1164	791	116	32	92.965683	Lakshi
5	1	10	1	2	3	1296	792	61	31	92.946182	and
5	1	10	1	2	4	1371	792	127	32	92.863411	Tikashi
5	1	10	1	2	5	1515	793	113	31	94.866631	Grams
2	1	11	0	0	0	1008	841	1327	7	-1	
3	1	11	1	0	0	1008	841	1327	7	-1	
4	1	11	1	1	0	1008	841	1327	7	-1	
5	1	11	1	1	1	1008	841	1327	7	95.000000	 
2	1	12	0	0	0	318	860	1954	153	-1	
3	1	12	1	0	0	318	860	1954	153	-1	
4	1	12	1	1	0	318	860	1182	49	-1	
5	1	12	1	1	1	318	860	178	49	92.130371	Khejuri-I
5	1	12	1	1	2	787	864	19	30	97.012039	2
5	1	12	1	1	3	1172	864	177	40	87.290947	Khejuri-I
5	1	12	1	1	4	1363	864	13	32	87.290947	/
