level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	657	180	1670	46	-1	
3	1	1	1	0	0	657	180	1670	46	-1	
4	1	1	1	1	0	657	180	1670	46	-1	
5	1	1	1	1	1	657	195	80	30	96.730331	THE
5	1	1	1	1	2	751	194	188	30	96.112640	KOLKATA
5	1	1	1	1	3	949	191	195	35	96.207703	GAZETTE,
5	1	1	1	1	4	1158	188	356	34	96.124245	EXTRAORDINARY,
5	1	1	1	1	5	1528	186	224	30	96.542366	DECEMBER
5	1	1	1	1	6	1763	185	50	34	96.618126	28,
5	1	1	1	1	7	1826	184	81	29	96.759628	2017
5	1	1	1	1	8	2214	180	91	38	94.736671	[Part
5	1	1	1	1	9	2317	180	10	29	90.923523	I
2	1	2	0	0	0	233	249	2100	24	-1	
3	1	2	1	0	0	233	249	2100	24	-1	
4	1	2	1	1	0	233	249	2100	24	-1	
5	1	2	1	1	1	233	249	2100	24	95.000000	 
2	1	3	0	0	0	233	263	2100	25	-1	
3	1	3	1	0	0	233	263	2100	25	-1	
4	1	3	1	1	0	233	263	2100	25	-1	
5	1	3	1	1	1	233	263	2100	25	95.000000	 
2	1	4	0	0	0	233	303	2100	24	-1	
3	1	4	1	0	0	233	303	2100	24	-1	
4	1	4	1	1	0	233	303	2100	24	-1	
5	1	4	1	1	1	233	303	2100	24	95.000000	 
2	1	5	0	0	0	235	484	2100	23	-1	
3	1	5	1	0	0	235	484	2100	23	-1	
4	1	5	1	1	0	235	484	2100	23	-1	
5	1	5	1	1	1	235	484	2100	23	95.000000	 
2	1	6	0	0	0	235	554	2100	23	-1	
3	1	6	1	0	0	235	554	2100	23	-1	
4	1	6	1	1	0	235	554	2100	23	-1	
5	1	6	1	1	1	235	554	2100	23	95.000000	 
2	1	7	0	0	0	1019	762	1318	16	-1	
3	1	7	1	0	0	1019	762	1318	16	-1	
4	1	7	1	1	0	1019	762	1318	16	-1	
5	1	7	1	1	1	1019	762	1318	16	95.000000	 
2	1	8	0	0	0	240	969	2099	25	-1	
3	1	8	1	0	0	240	969	2099	25	-1	
4	1	8	1	1	0	240	969	2099	25	-1	
5	1	8	1	1	1	240	969	2099	25	95.000000	 
