level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	291	175	2098	38	-1	
3	1	1	1	0	0	291	175	2098	38	-1	
4	1	1	1	1	0	291	175	2098	38	-1	
5	1	1	1	1	1	291	180	17	29	96.998901	2
5	1	1	1	1	2	715	178	80	29	96.452248	THE
5	1	1	1	1	3	809	178	188	29	95.990173	KOLKATA
5	1	1	1	1	4	1008	177	195	33	95.941566	GAZETTE,
5	1	1	1	1	5	1217	176	356	34	96.105835	EXTRAORDINARY,
5	1	1	1	1	6	1589	176	224	29	96.609024	DECEMBER
5	1	1	1	1	7	1825	175	49	35	96.317360	28,
5	1	1	1	1	8	1888	175	82	29	96.907768	2017
5	1	1	1	1	9	2276	175	91	38	91.558449	[Part
5	1	1	1	1	10	2380	176	9	28	92.748360	I
2	1	2	0	0	0	289	244	2105	9	-1	
3	1	2	1	0	0	289	244	2105	9	-1	
4	1	2	1	1	0	289	244	2105	9	-1	
5	1	2	1	1	1	289	244	2105	9	95.000000	 
2	1	3	0	0	0	289	259	2105	7	-1	
3	1	3	1	0	0	289	259	2105	7	-1	
4	1	3	1	1	0	289	259	2105	7	-1	
5	1	3	1	1	1	289	259	2105	7	95.000000	 
2	1	4	0	0	0	288	298	2107	9	-1	
3	1	4	1	0	0	288	298	2107	9	-1	
4	1	4	1	1	0	288	298	2107	9	-1	
5	1	4	1	1	1	288	298	2107	9	95.000000	 
2	1	5	0	0	0	330	324	2050	146	-1	
3	1	5	1	0	0	330	324	2050	146	-1	
4	1	5	1	1	0	330	324	2050	38	-1	
5	1	5	1	1	1	330	329	107	30	96.663033	Name
5	1	5	1	1	2	451	328	40	31	96.123810	of
5	1	5	1	1	3	502	328	106	31	91.441277	Block
5	1	5	1	1	4	636	323	25	49	91.441277	|
5	1	5	1	1	5	665	328	154	31	96.222656	Number
5	1	5	1	1	6	832	327	40	31	96.646385	of
5	1	5	1	1	7	882	327	170	31	95.938843	members
5	1	5	1	1	8	1173	326	160	36	95.622993	Number,
5	1	5	1	1	9	1348	326	107	30	96.622688	Name
5	1	5	1	1	10	1471	326	66	30	96.622688	and
