level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	671	201	1670	38	-1	
3	1	1	1	0	0	671	201	1670	38	-1	
4	1	1	1	1	0	671	201	1670	38	-1	
5	1	1	1	1	1	671	202	79	29	96.377426	THE
5	1	1	1	1	2	764	202	188	29	96.079575	KOLKATA
5	1	1	1	1	3	963	201	195	35	95.714043	GAZETTE,
5	1	1	1	1	4	1173	201	354	32	96.169655	EXTRAORDINARY,
5	1	1	1	1	5	1542	202	223	29	96.061554	DECEMBER
5	1	1	1	1	6	1776	202	50	33	96.832558	28,
5	1	1	1	1	7	1840	201	81	29	96.641739	2017
5	1	1	1	1	8	2228	201	91	38	95.278816	[Part
5	1	1	1	1	9	2331	202	10	29	85.156792	I
2	1	2	0	0	0	247	271	2100	5	-1	
3	1	2	1	0	0	247	271	2100	5	-1	
4	1	2	1	1	0	247	271	2100	5	-1	
5	1	2	1	1	1	247	271	2100	5	95.000000	 
2	1	3	0	0	0	247	285	2100	4	-1	
3	1	3	1	0	0	247	285	2100	4	-1	
4	1	3	1	1	0	247	285	2100	4	-1	
5	1	3	1	1	1	247	285	2100	4	95.000000	 
2	1	4	0	0	0	246	326	2101	3	-1	
3	1	4	1	0	0	246	326	2101	3	-1	
4	1	4	1	1	0	246	326	2101	3	-1	
5	1	4	1	1	1	246	326	2101	3	95.000000	 
2	1	5	0	0	0	288	351	2043	144	-1	
3	1	5	1	0	0	288	351	2043	144	-1	
4	1	5	1	1	0	288	351	2043	36	-1	
5	1	5	1	1	1	288	352	107	30	96.192101	Name
5	1	5	1	1	2	409	351	40	30	96.657166	of
5	1	5	1	1	3	459	351	105	31	94.331299	Block
5	1	5	1	1	4	595	347	23	45	94.331299	|
5	1	5	1	1	5	621	351	153	30	96.288612	Number
5	1	5	1	1	6	788	351	39	30	96.679916	of
5	1	5	1	1	7	838	351	169	30	96.679916	members
5	1	5	1	1	8	1128	351	158	36	96.724663	Number,
5	1	5	1	1	9	1302	351	107	30	96.364937	Name
5	1	5	1	1	10	1424	351	66	30	96.038254	and
5	1	5	1	1	11	1507	360	79	21	96.949738	area
5	1	5	1	1	12	1727	351	273	30	78.470406	Constituencies
5	1	5	1	1	13	2057	351	274	31	78.470406	|Constituencies
4	1	5	1	2	0	674	403	1635	40	-1	
5	1	5	1	2	1	674	406	34	28	96.278984	to
5	1	5	1	2	2	724	403	41	31	96.421364	be
5	1	5	1	2	3	778	403	126	31	95.935493	elected
5	1	5	1	2	4	920	406	33	28	95.935493	to
5	1	5	1	2	5	1174	403	39	31	96.321213	of
5	1	5	1	2	6	1224	403	56	31	96.960762	the
5	1	5	1	2	7	1295	403	244	40	96.333931	Constituency
5	1	5	1	2	8	1752	403	155	31	96.789337	reserved
5	1	5	1	2	9	1922	403	56	31	96.959389	for
5	1	5	1	2	10	2082	404	156	30	96.724197	reserved
5	1	5	1	2	11	2253	404	56	30	96.570023	for
4	1	5	1	3	0	645	456	1615	39	-1	
5	1	5	1	3	1	645	456	57	31	96.731308	the
5	1	5	1	3	2	716	456	84	30	96.136810	Zilla
5	1	5	1	3	3	817	456	164	30	96.264908	Parishad
5	1	5	1	3	4	1688	456	190	30	92.890198	ST/SC/BC
5	1	5	1	3	5	1898	465	141	30	96.452309	persons
5	1	5	1	3	6	2127	465	133	21	96.482605	women
2	1	6	0	0	0	246	505	2100	4	-1	
3	1	6	1	0	0	246	505	2100	4	-1	
4	1	6	1	1	0	246	505	2100	4	-1	
5	1	6	1	1	1	246	505	2100	4	95.000000	 
2	1	7	0	0	0	400	526	1819	39	-1	
3	1	7	1	0	0	400	526	1819	39	-1	
4	1	7	1	1	0	400	526	1819	39	-1	
5	1	7	1	1	1	400	528	50	37	95.237801	(1)
5	1	7	1	1	2	789	526	49	38	96.976273	(2)
5	1	7	1	1	3	1332	526	48	38	96.989166	(3)
5	1	7	1	1	4	1839	526	48	38	96.974045	(4)
5	1	7	1	1	5	2169	527	50	37	88.620918	(5)
2	1	8	0	0	0	246	575	2100	4	-1	
3	1	8	1	0	0	246	575	2100	4	-1	
4	1	8	1	1	0	246	575	2100	4	-1	
5	1	8	1	1	1	246	575	2100	4	95.000000	 
2	1	9	0	0	0	1089	600	1174	149	-1	
3	1	9	1	0	0	1089	600	1174	149	-1	
4	1	9	1	1	0	1173	600	354	31	-1	
5	1	9	1	1	1	1173	600	237	31	65.438675	Manbazar-II
5	1	9	1	1	2	1426	600	101	30	79.900146	/ZP-3
4	1	9	1	2	0	1089	654	1174	41	-1	
5	1	9	1	2	1	1089	654	177	41	91.187241	Barijagda,
5	1	9	1	2	2	1282	654	107	40	91.904640	Dighi,
5	1	9	1	2	3	1405	654	131	31	96.657784	Kumari
5	1	9	1	2	4	1551	654	62	31	95.707954	and
