level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	630	177	1666	43	-1	
3	1	1	1	0	0	630	177	1666	43	-1	
4	1	1	1	1	0	630	177	1666	43	-1	
5	1	1	1	1	1	630	189	79	29	96.473282	THE
5	1	1	1	1	2	722	187	189	31	96.620712	KOLKATA
5	1	1	1	1	3	921	186	195	34	96.515755	GAZETTE,
5	1	1	1	1	4	1130	182	356	34	96.737953	EXTRAORDINARY,
5	1	1	1	1	5	1501	181	223	30	96.608231	DECEMBER
5	1	1	1	1	6	1736	180	49	34	96.708977	28,
5	1	1	1	1	7	1799	180	81	29	96.320084	2017
5	1	1	1	1	8	2185	177	88	38	90.330154	[Part
5	1	1	1	1	9	2286	177	10	29	96.409958	I
2	1	2	0	0	0	204	246	2098	19	-1	
3	1	2	1	0	0	204	246	2098	19	-1	
4	1	2	1	1	0	204	246	2098	19	-1	
5	1	2	1	1	1	204	246	2098	19	95.000000	 
2	1	3	0	0	0	205	260	2097	20	-1	
3	1	3	1	0	0	205	260	2097	20	-1	
4	1	3	1	1	0	205	260	2097	20	-1	
5	1	3	1	1	1	205	260	2097	20	95.000000	 
2	1	4	0	0	0	205	300	2098	20	-1	
3	1	4	1	0	0	205	300	2098	20	-1	
4	1	4	1	1	0	205	300	2098	20	-1	
5	1	4	1	1	1	205	300	2098	20	95.000000	 
2	1	5	0	0	0	206	466	2099	19	-1	
3	1	5	1	0	0	206	466	2099	19	-1	
4	1	5	1	1	0	206	466	2099	19	-1	
5	1	5	1	1	1	206	466	2099	19	95.000000	 
2	1	6	0	0	0	207	542	2099	19	-1	
3	1	6	1	0	0	207	542	2099	19	-1	
4	1	6	1	1	0	207	542	2099	19	-1	
5	1	6	1	1	1	207	542	2099	19	95.000000	 
2	1	7	0	0	0	247	317	2042	360	-1	
3	1	7	1	0	0	247	317	2042	360	-1	
4	1	7	1	1	0	247	317	2042	47	-1	
5	1	7	1	1	1	247	334	107	30	95.977119	Name
5	1	7	1	1	2	368	332	39	31	96.436447	of
5	1	7	1	1	3	418	332	106	31	93.947708	Block
5	1	7	1	1	4	553	325	25	49	93.947708	|
5	1	7	1	1	5	581	330	153	31	96.295059	Number
5	1	7	1	1	6	748	329	39	31	95.572502	of
5	1	7	1	1	7	798	329	169	31	95.984581	members
5	1	7	1	1	8	1050	327	161	35	96.454399	Number,
5	1	7	1	1	9	1226	325	107	31	95.257240	Name
5	1	7	1	1	10	1349	324	65	31	95.257240	and
5	1	7	1	1	11	1431	332	79	22	96.383804	area
5	1	7	1	1	12	1651	321	273	32	93.379044	Constituencies
5	1	7	1	1	13	1993	317	2	7	93.130676	|
5	1	7	1	1	14	2016	319	273	32	96.559776	Constituencies
4	1	7	1	2	0	634	371	1633	44	-1	
5	1	7	1	2	1	634	386	34	28	95.889977	to
5	1	7	1	2	2	684	383	40	30	95.889977	be
5	1	7	1	2	3	738	382	126	31	96.496864	elected
5	1	7	1	2	4	879	384	34	27	96.582504	to
5	1	7	1	2	5	1098	379	39	31	96.591805	of
5	1	7	1	2	6	1148	378	57	31	96.768799	the
5	1	7	1	2	7	1220	377	243	38	96.252159	Constituency
5	1	7	1	2	8	1676	374	157	31	96.762093	reserved
5	1	7	1	2	9	1848	373	54	30	96.565010	for
5	1	7	1	2	10	2041	372	156	31	96.280212	reserved
5	1	7	1	2	11	2212	371	55	31	96.298080	for
4	1	7	1	3	0	606	426	1613	41	-1	
5	1	7	1	3	1	606	436	57	31	96.837990	the
5	1	7	1	3	2	677	435	83	31	96.873039	Zilla
5	1	7	1	3	3	778	434	163	31	96.262779	Parishad
5	1	7	1	3	4	1613	426	190	32	90.957481	ST/SC/BC
5	1	7	1	3	5	1824	435	141	30	96.020844	persons
5	1	7	1	3	6	2087	433	132	22	96.459297	women
4	1	7	1	4	0	361	501	1818	51	-1	
5	1	7	1	4	1	361	514	49	38	40.311607	(1)
5	1	7	1	4	2	750	511	50	38	96.410370	(2)
5	1	7	1	4	3	1257	506	50	39	96.453003	(3)
5	1	7	1	4	4	1764	502	50	38	97.002541	(4)
5	1	7	1	4	5	2129	501	50	37	90.445839	(5)
4	1	7	1	5	0	1089	574	386	42	-1	
5	1	7	1	5	1	1089	575	257	41	91.831604	Khandaghosh
5	1	7	1	5	2	1361	575	12	31	92.458450	/
5	1	7	1	5	3	1387	574	88	31	92.425560	ZP-3
4	1	7	1	6	0	1013	631	1212	46	-1	
5	1	7	1	6	1	1013	638	120	37	92.278519	Lodna,
5	1	7	1	6	2	1150	638	151	39	92.000885	Sasanga,
5	1	7	1	6	3	1317	635	158	32	81.758774	Sankari-I
5	1	7	1	6	4	1491	634	61	31	96.766541	and
5	1	7	1	6	5	2084	631	141	30	96.507202	Women
2	1	8	0	0	0	1137	696	293	41	-1	
3	1	8	1	0	0	1137	696	293	41	-1	
4	1	8	1	1	0	1137	696	293	41	-1	
5	1	8	1	1	1	1137	696	172	33	88.399117	Sankari-II
5	1	8	1	1	2	1327	705	103	32	96.175171	grams
2	1	9	0	0	0	989	736	1318	14	-1	
3	1	9	1	0	0	989	736	1318	14	-1	
4	1	9	1	1	0	989	736	1318	14	-1	
5	1	9	1	1	1	989	736	1318	14	95.000000	 
