level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	687	187	1673	38	-1	
3	1	1	1	0	0	687	187	1673	38	-1	
4	1	1	1	1	0	687	187	1673	38	-1	
5	1	1	1	1	1	687	187	81	29	96.969887	THE
5	1	1	1	1	2	781	187	191	29	95.573166	KOLKATA
5	1	1	1	1	3	982	187	195	35	95.926964	GAZETTE,
5	1	1	1	1	4	1191	187	355	36	95.208038	EXTRAORDINARY,
5	1	1	1	1	5	1560	187	225	30	96.874298	DECEMBER
5	1	1	1	1	6	1796	187	51	36	96.737320	28,
5	1	1	1	1	7	1860	187	82	30	96.490257	2017
5	1	1	1	1	8	2247	187	90	38	89.192108	[Part
5	1	1	1	1	9	2350	188	10	29	95.797829	I
2	1	2	0	0	0	267	257	2098	5	-1	
3	1	2	1	0	0	267	257	2098	5	-1	
4	1	2	1	1	0	267	257	2098	5	-1	
5	1	2	1	1	1	267	257	2098	5	95.000000	 
2	1	3	0	0	0	268	272	2096	5	-1	
3	1	3	1	0	0	268	272	2096	5	-1	
4	1	3	1	1	0	268	272	2096	5	-1	
5	1	3	1	1	1	268	272	2096	5	95.000000	 
2	1	4	0	0	0	268	313	2097	4	-1	
3	1	4	1	0	0	268	313	2097	4	-1	
4	1	4	1	1	0	268	313	2097	4	-1	
5	1	4	1	1	1	268	313	2097	4	95.000000	 
2	1	5	0	0	0	267	494	2097	4	-1	
3	1	5	1	0	0	267	494	2097	4	-1	
4	1	5	1	1	0	267	494	2097	4	-1	
5	1	5	1	1	1	267	494	2097	4	95.000000	 
2	1	6	0	0	0	267	565	2097	4	-1	
3	1	6	1	0	0	267	565	2097	4	-1	
4	1	6	1	1	0	267	565	2097	4	-1	
5	1	6	1	1	1	267	565	2097	4	95.000000	 
2	1	7	0	0	0	1044	740	1320	4	-1	
3	1	7	1	0	0	1044	740	1320	4	-1	
4	1	7	1	1	0	1044	740	1320	4	-1	
5	1	7	1	1	1	1044	740	1320	4	95.000000	 
2	1	8	0	0	0	309	337	2040	516	-1	
3	1	8	1	0	0	309	337	2040	516	-1	
4	1	8	1	1	0	309	337	2040	37	-1	
5	1	8	1	1	1	309	337	106	31	94.316429	Name
5	1	8	1	1	2	429	337	39	31	94.316429	of
5	1	8	1	1	3	478	337	104	31	94.959328	Block
5	1	8	1	1	4	612	333	23	45	94.959328	|
5	1	8	1	1	5	639	337	153	31	96.552979	Number
5	1	8	1	1	6	807	337	39	31	96.034988	of
5	1	8	1	1	7	857	337	170	31	96.307442	members
5	1	8	1	1	8	1146	337	159	37	95.085503	Number,
5	1	8	1	1	9	1320	337	107	31	96.180573	Name
5	1	8	1	1	10	1443	337	66	31	96.066345	and
5	1	8	1	1	11	1525	346	79	22	95.187965	area
5	1	8	1	1	12	1745	337	275	32	91.560509	Constituencies
5	1	8	1	1	13	2076	337	273	32	60.294384	|Constituencies
4	1	8	1	2	0	692	390	1634	40	-1	
5	1	8	1	2	1	692	392	33	29	96.228188	to
5	1	8	1	2	2	741	390	41	31	96.456772	be
5	1	8	1	2	3	796	390	127	31	96.456772	elected
5	1	8	1	2	4	939	392	34	29	97.013535	to
5	1	8	1	2	5	1193	390	39	31	96.866928	of
5	1	8	1	2	6	1242	390	58	31	96.881950	the
5	1	8	1	2	7	1314	390	243	40	96.428749	Constituency
5	1	8	1	2	8	1770	390	157	32	96.399162	reserved
5	1	8	1	2	9	1942	390	55	32	96.430519	for
5	1	8	1	2	10	2101	390	155	32	96.625954	reserved
5	1	8	1	2	11	2271	390	55	32	96.645859	for
4	1	8	1	3	0	663	443	1615	41	-1	
5	1	8	1	3	1	663	444	57	30	96.007080	the
5	1	8	1	3	2	734	443	84	31	95.979988	Zilla
5	1	8	1	3	3	835	443	165	31	96.185715	Parishad
5	1	8	1	3	4	1706	443	192	31	91.511177	ST/SC/BC
5	1	8	1	3	5	1918	452	141	32	96.548141	persons
5	1	8	1	3	6	2146	452	132	22	96.109093	women
4	1	8	1	4	0	420	514	1817	39	-1	
5	1	8	1	4	1	420	515	48	38	96.517120	(1)
5	1	8	1	4	2	807	514	50	39	96.918686	(2)
5	1	8	1	4	3	1350	514	49	39	97.000519	(3)
5	1	8	1	4	4	1858	514	50	39	97.000107	(4)
5	1	8	1	4	5	2188	514	49	39	85.211563	(5)
4	1	8	1	5	0	1179	586	379	32	-1	
5	1	8	1	5	1	1179	586	252	32	92.717201	Pandabeswar
5	1	8	1	5	2	1443	586	14	31	91.811523	/
5	1	8	1	5	3	1470	586	88	32	92.654144	ZP-3
4	1	8	1	6	0	1127	637	1155	41	-1	
5	1	8	1	6	1	1127	638	136	37	93.303398	Kendra,
5	1	8	1	6	2	1279	637	257	41	91.470093	Baidyanathpur
5	1	8	1	6	3	1549	638	62	31	96.616119	and
5	1	8	1	6	4	2142	639	140	31	96.510864	Women
4	1	8	1	7	0	315	689	1208	47	-1	
5	1	8	1	7	1	315	706	253	30	92.360001	Pandabeswar
5	1	8	1	7	2	819	705	19	31	93.517998	2
5	1	8	1	7	3	1212	689	181	41	92.419525	Nabagram
5	1	8	1	7	4	1409	690	114	32	97.009689	Grams
4	1	8	1	8	0	1178	760	380	31	-1	
5	1	8	1	8	1	1178	760	252	31	92.199203	Pandabeswar
5	1	8	1	8	2	1443	760	13	31	92.521370	/
5	1	8	1	8	3	1469	760	89	31	91.693184	ZP-4
4	1	8	1	9	0	1054	811	1227	42	-1	
5	1	8	1	9	1	1054	811	143	42	92.122711	Haripur,
5	1	8	1	9	2	1213	811	123	33	91.657852	Bahula
5	1	8	1	9	3	1350	811	61	33	93.289207	and
5	1	8	1	9	4	1425	812	129	32	90.548653	Chhora
5	1	8	1	9	5	1568	812	114	32	96.403000	Grams
5	1	8	1	9	6	2141	813	140	32	96.562668	Women
2	1	9	0	0	0	263	863	2100	5	-1	
3	1	9	1	0	0	263	863	2100	5	-1	
4	1	9	1	1	0	263	863	2100	5	-1	
5	1	9	1	1	1	263	863	2100	5	95.000000	 
2	1	10	0	0	0	341	883	1307	149	-1	
3	1	10	1	0	0	341	883	1307	145	-1	
4	1	10	1	1	0	1129	883	479	41	-1	
5	1	10	1	1	1	1129	883	479	41	91.118507	Durgapur-Faridpur/ZP-5
4	1	10	1	2	0	1089	934	559	42	-1	
5	1	10	1	2	1	1089	935	115	41	93.054039	Gogla,
5	1	10	1	2	2	1220	935	152	32	91.691628	Laudoha
5	1	10	1	2	3	1386	934	62	33	91.851639	and
5	1	10	1	2	4	1463	935	185	32	91.851639	Gourbazar
4	1	10	1	3	0	341	984	1083	48	-1	
5	1	10	1	3	1	341	984	199	48	90.698990	Durgapur-
5	1	10	1	3	2	819	988	18	31	80.588417	2
5	1	10	1	3	3	1310	988	114	32	96.459106	Grams
2	1	11	0	0	0	1043	1039	1320	4	-1	
3	1	11	1	0	0	1043	1039	1320	4	-1	
4	1	11	1	1	0	1043	1039	1320	4	-1	
5	1	11	1	1	1	1043	1039	1320	4	95.000000	 
2	1	12	0	0	0	355	1058	1925	137	-1	
3	1	12	1	0	0	355	1058	1925	137	-1	
4	1	12	1	1	0	355	1058	1253	41	-1	
5	1	12	1	1	1	355	1059	171	40	91.249207	Faridpur
5	1	12	1	1	2	1128	1058	480	41	92.476059	Durgapur-Faridpur/ZP-6
4	1	12	1	2	0	1094	1110	1186	42	-1	
5	1	12	1	2	1	1094	1110	162	42	91.580696	Ichhapur,
5	1	12	1	2	2	1272	1111	169	41	91.580696	Pratappur
5	1	12	1	2	3	1455	1110	61	32	93.300056	and
5	1	12	1	2	4	1531	1112	112	30	93.046028	Jemua
5	1	12	1	2	5	2141	1112	139	31	96.828651	Women
4	1	12	1	3	0	1309	1163	115	32	-1	
5	1	12	1	3	1	1309	1163	115	32	96.536774	Grams
2	1	13	0	0	0	263	1214	2099	5	-1	
3	1	13	1	0	0	263	1214	2099	5	-1	
4	1	13	1	1	0	263	1214	2099	5	-1	
5	1	13	1	1	1	263	1214	2099	5	95.000000	 
2	1	14	0	0	0	1128	1234	476	83	-1	
3	1	14	1	0	0	1128	1234	476	83	-1	
4	1	14	1	1	0	1246	1234	240	30	-1	
5	1	14	1	1	1	1246	1234	112	30	91.417824	Andal
5	1	14	1	1	2	1371	1234	13	30	92.811714	/
5	1	14	1	1	3	1397	1234	89	30	91.450638	ZP-7
4	1	14	1	2	0	1128	1285	476	32	-1	
5	1	14	1	2	1	1128	1285	150	32	92.991371	Khandra
5	1	14	1	2	2	1292	1285	61	32	93.302063	and
5	1	14	1	2	3	1368	1285	108	32	92.543037	Ukhra
5	1	14	1	2	4	1490	1286	114	31	96.642143	Grams
2	1	15	0	0	0	383	1355	1523	153	-1	
3	1	15	1	0	0	383	1355	1523	140	-1	
4	1	15	1	1	0	1245	1355	240	32	-1	
5	1	15	1	1	1	1245	1356	111	31	92.786575	Andal
5	1	15	1	1	2	1370	1355	13	32	90.404991	/
5	1	15	1	1	3	1395	1356	90	31	90.404991	ZP-8
4	1	15	1	2	0	1088	1408	818	41	-1	
5	1	15	1	2	1	1088	1408	187	41	91.235245	Madanpur,
5	1	15	1	2	2	1290	1408	118	41	92.935425	Kajora
5	1	15	1	2	3	1422	1408	61	32	96.867958	and
5	1	15	1	2	4	1498	1408	145	32	96.374481	Dakshin
5	1	15	1	2	5	1852	1409	54	31	88.361824	SC
4	1	15	1	3	0	383	1458	1102	50	-1	
5	1	15	1	3	1	383	1458	113	50	91.323120	Andal
5	1	15	1	3	2	817	1462	20	32	96.837326	3
5	1	15	1	3	3	1245	1460	112	34	96.158913	Kanda
5	1	15	1	3	4	1371	1462	114	31	96.502274	Grams
2	1	16	0	0	0	1173	1532	1105	148	-1	
3	1	16	1	0	0	1173	1532	1105	148	-1	
4	1	16	1	1	0	1244	1532	240	33	-1	
5	1	16	1	1	1	1244	1533	112	32	92.264626	Andal
5	1	16	1	1	2	1369	1532	13	32	90.979240	/
5	1	16	1	1	3	1395	1532	89	33	93.084663	ZP-9
4	1	16	1	2	0	1173	1585	1105	42	-1	
5	1	16	1	2	1	1173	1585	116	39	92.479790	Andal,
5	1	16	1	2	2	1305	1585	176	42	91.550316	Srirampur
5	1	16	1	2	3	1494	1585	61	33	96.872314	and
5	1	16	1	2	4	2137	1586	141	31	96.433113	Women
4	1	16	1	3	0	1173	1638	383	42	-1	
5	1	16	1	3	1	1173	1638	254	42	91.726395	Ramprasadpur
5	1	16	1	3	2	1442	1639	114	32	96.159798	Grams
2	1	17	0	0	0	1042	1336	1320	4	-1	
3	1	17	1	0	0	1042	1336	1320	4	-1	
4	1	17	1	1	0	1042	1336	1320	4	-1	
5	1	17	1	1	1	1042	1336	1320	4	95.000000	 
2	1	18	0	0	0	1042	1512	1318	5	-1	
3	1	18	1	0	0	1042	1512	1318	5	-1	
4	1	18	1	1	0	1042	1512	1318	5	-1	
5	1	18	1	1	1	1042	1512	1318	5	95.000000	 
2	1	19	0	0	0	262	1689	2097	7	-1	
3	1	19	1	0	0	262	1689	2097	7	-1	
4	1	19	1	1	0	262	1689	2097	7	-1	
5	1	19	1	1	1	262	1689	2097	7	95.000000	 
2	1	20	0	0	0	1080	1710	567	145	-1	
3	1	20	1	0	0	1080	1710	567	145	-1	
4	1	20	1	1	0	1216	1710	295	32	-1	
5	1	20	1	1	1	1216	1710	155	32	91.866516	Jamuria
5	1	20	1	1	2	1386	1710	125	31	90.432663	/ZP-10
4	1	20	1	2	0	1080	1762	567	41	-1	
5	1	20	1	2	1	1080	1762	162	38	91.089714	Churulia,
5	1	20	1	2	2	1259	1762	198	37	92.525879	Madantore,
5	1	20	1	2	3	1474	1762	173	41	92.837456	Hijalgora,
4	1	20	1	3	0	1098	1814	531	41	-1	
5	1	20	1	3	1	1098	1814	105	41	92.217575	Topsi,
5	1	20	1	3	2	1218	1814	62	32	93.287949	and
5	1	20	1	3	3	1295	1814	207	41	91.758713	Bahadurpur
5	1	20	1	3	4	1515	1814	114	32	96.529907	Grams
2	1	21	0	0	0	1085	1885	1191	143	-1	
3	1	21	1	0	0	1085	1885	1191	143	-1	
4	1	21	1	1	0	1216	1885	289	31	-1	
5	1	21	1	1	1	1216	1885	156	31	90.416557	Jamuria
5	1	21	1	1	2	1386	1885	119	31	90.416557	/ZP-11
4	1	21	1	2	0	1085	1936	1191	42	-1	
5	1	21	1	2	1	1085	1937	159	41	91.875458	Shyamla,
5	1	21	1	2	2	1260	1936	204	38	92.476715	Chinchuria,
5	1	21	1	2	3	1480	1936	160	38	91.351463	Dobrana,
5	1	21	1	2	4	1850	1937	54	31	94.160362	SC
5	1	21	1	2	5	2137	1937	139	31	96.242729	Women
4	1	21	1	3	0	1129	1989	467	39	-1	
5	1	21	1	3	1	1129	1989	123	39	96.855431	Kenda,
5	1	21	1	3	2	1267	1989	62	33	96.569725	and
5	1	21	1	3	3	1342	1989	126	32	96.361656	Parasia
5	1	21	1	3	4	1482	1990	114	31	96.665192	Grams
2	1	22	0	0	0	1040	1864	1319	5	-1	
3	1	22	1	0	0	1040	1864	1319	5	-1	
4	1	22	1	1	0	1040	1864	1319	5	-1	
5	1	22	1	1	1	1040	1864	1319	5	95.000000	 
2	1	23	0	0	0	357	1841	476	45	-1	
3	1	23	1	0	0	357	1841	476	45	-1	
4	1	23	1	1	0	357	1841	476	45	-1	
5	1	23	1	1	1	357	1841	156	45	92.291191	Jamuria
5	1	23	1	1	2	815	1845	18	31	95.457901	2
2	1	24	0	0	0	259	2039	2100	8	-1	
3	1	24	1	0	0	259	2039	2100	8	-1	
4	1	24	1	1	0	259	2039	2100	8	-1	
5	1	24	1	1	1	259	2039	2100	8	95.000000	 
2	1	25	0	0	0	1052	2061	1224	215	-1	
3	1	25	1	0	0	1052	2061	1224	215	-1	
4	1	25	1	1	0	1208	2061	309	41	-1	
5	1	25	1	1	1	1208	2061	168	41	92.011078	Raniganj
5	1	25	1	1	2	1393	2061	124	31	91.450287	/ZP-12
4	1	25	1	2	0	1075	2112	829	39	-1	
5	1	25	1	2	1	1075	2113	147	38	92.349503	Ratibati,
5	1	25	1	2	2	1237	2112	113	33	92.689445	Jemeri
5	1	25	1	2	3	1365	2112	62	33	93.295265	and
5	1	25	1	2	4	1441	2112	82	32	92.482849	Tirat
5	1	25	1	2	5	1537	2113	114	31	96.668976	Grams
5	1	25	1	2	6	1850	2112	54	32	95.972168	SC
4	1	25	1	3	0	1208	2183	309	42	-1	
5	1	25	1	3	1	1208	2184	168	41	91.381889	Raniganj
5	1	25	1	3	2	1393	2183	124	32	92.798065	/ZP-13
4	1	25	1	4	0	1052	2235	1224	41	-1	
