level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3513	-1	
2	1	1	0	0	0	238	171	2096	55	-1	
3	1	1	1	0	0	238	171	2096	55	-1	
4	1	1	1	1	0	238	171	2096	55	-1	
5	1	1	1	1	1	238	172	254	54	96.526825	Registered
5	1	1	1	1	2	502	174	77	39	92.873375	No.
5	1	1	1	1	3	609	171	271	42	90.668861	WB/SC-247
5	1	1	1	1	4	1760	181	59	30	93.132797	No.
5	1	1	1	1	5	1839	180	495	38	58.082310	WB(Part-1)/2017/SAR-848
2	1	2	0	0	0	476	720	1600	140	-1	
3	1	2	1	0	0	476	720	1600	140	-1	
4	1	2	1	1	0	476	720	1600	140	-1	
5	1	2	1	1	1	476	721	475	120	95.703117	Kolkata
5	1	2	1	1	2	1659	720	417	140	37.682594	GHasette
2	1	3	0	0	0	1131	295	321	747	-1	
3	1	3	1	0	0	1131	295	321	747	-1	
4	1	3	1	1	0	1131	295	321	747	-1	
5	1	3	1	1	1	1131	295	321	747	95.000000	 
2	1	4	0	0	0	984	1085	617	140	-1	
3	1	4	1	0	0	984	1085	617	140	-1	
4	1	4	1	1	0	1101	1085	382	60	-1	
5	1	4	1	1	1	1101	1085	382	60	96.627663	Extraordinary
4	1	4	1	2	0	984	1165	617	60	-1	
5	1	4	1	2	1	984	1165	261	48	96.269211	Published
5	1	4	1	2	2	1263	1165	66	60	96.900558	by
5	1	4	1	2	3	1344	1165	257	60	96.302994	Authority
2	1	5	0	0	0	239	1284	2106	9	-1	
3	1	5	1	0	0	239	1284	2106	9	-1	
4	1	5	1	1	0	239	1284	2106	9	-1	
5	1	5	1	1	1	239	1284	2106	9	95.000000	 
2	1	6	0	0	0	239	1299	2106	8	-1	
3	1	6	1	0	0	239	1299	2106	8	-1	
4	1	6	1	1	0	239	1299	2106	8	-1	
5	1	6	1	1	1	239	1299	2106	8	95.000000	 
2	1	7	0	0	0	243	1334	2100	41	-1	
3	1	7	1	0	0	243	1334	2100	41	-1	
4	1	7	1	1	0	243	1334	2100	41	-1	
5	1	7	1	1	1	243	1338	128	29	92.380814	PAUSA
5	1	7	1	1	2	383	1337	30	38	96.605919	7]
5	1	7	1	1	3	983	1336	223	35	96.183800	THURSDAY,
5	1	7	1	1	4	1220	1335	226	30	96.077881	DECEMBER
5	1	7	1	1	5	1458	1335	50	35	96.805054	28,
5	1	7	1	1	6	1521	1335	81	29	96.488640	2017
5	1	7	1	1	7	2129	1334	122	37	96.790245	[SAKA
5	1	7	1	1	8	2267	1334	76	29	96.114250	1939
2	1	8	0	0	0	240	1388	2105	9	-1	
3	1	8	1	0	0	240	1388	2105	9	-1	
4	1	8	1	1	0	240	1388	2105	9	-1	
5	1	8	1	1	1	240	1388	2105	9	95.000000	 
2	1	9	0	0	0	240	1403	2105	7	-1	
3	1	9	1	0	0	240	1403	2105	7	-1	
4	1	9	1	1	0	240	1403	2105	7	-1	
5	1	9	1	1	1	240	1403	2105	7	95.000000	 
2	1	10	0	0	0	243	1443	2046	116	-1	
3	1	10	1	0	0	243	1443	2046	116	-1	
4	1	10	1	1	0	243	1443	2046	44	-1	
5	1	10	1	1	1	243	1447	108	32	93.293053	PART
5	1	10	1	1	2	364	1446	182	33	90.469582	I—Orders
5	1	10	1	1	3	560	1445	63	33	95.923729	and
5	1	10	1	1	4	637	1444	240	33	96.665260	Notifications
5	1	10	1	1	5	891	1444	44	43	96.929024	by
5	1	10	1	1	6	947	1444	55	33	96.291443	the
5	1	10	1	1	7	1015	1444	175	33	96.521042	Governor
5	1	10	1	1	8	1202	1443	42	34	96.774254	of
5	1	10	1	1	9	1252	1444	89	33	96.914589	West
5	1	10	1	1	10	1354	1443	138	43	96.548668	Bengal,
5	1	10	1	1	11	1506	1443	55	33	96.915306	the
5	1	10	1	1	12	1574	1443	89	43	96.553398	High
5	1	10	1	1	13	1677	1443	112	39	96.440788	Court,
5	1	10	1	1	14	1804	1443	229	33	96.440788	Government
5	1	10	1	1	15	2044	1443	169	42	96.632416	Treasury,
5	1	10	1	1	16	2227	1448	62	27	96.505905	etc.
4	1	10	1	2	0	691	1521	1204	38	-1	
5	1	10	1	2	1	691	1523	148	36	96.144989	WEST
5	1	10	1	2	2	853	1522	217	37	95.797913	BENGAL
5	1	10	1	2	3	1083	1522	158	37	95.564148	STATE
5	1	10	1	2	4	1258	1522	272	36	95.703880	ELECTION
5	1	10	1	2	5	1546	1521	349	37	95.703880	COMMISSION
2	1	11	0	0	0	1057	1586	474	145	-1	
3	1	11	1	0	0	1057	1586	474	145	-1	
4	1	11	1	1	0	1057	1586	474	41	-1	
5	1	11	1	1	1	1057	1587	49	37	93.235313	18,
5	1	11	1	1	2	1122	1587	147	40	91.541222	Sarojini
5	1	11	1	1	3	1284	1586	110	31	93.281578	Naidu
5	1	11	1	1	4	1411	1586	120	31	91.242348	Sarani
4	1	11	1	2	0	1140	1643	306	40	-1	
5	1	11	1	2	1	1140	1644	167	39	96.796349	(Rawdon
5	1	11	1	2	2	1325	1643	121	38	95.386719	Street)
4	1	11	1	3	0	1135	1699	317	32	-1	
5	1	11	1	3	1	1135	1701	146	30	93.295929	Kolkata
5	1	11	1	3	2	1295	1699	78	32	92.191078	-700
5	1	11	1	3	3	1388	1700	64	31	96.182076	017
2	1	12	0	0	0	244	1777	2099	85	-1	
3	1	12	1	0	0	244	1777	2099	85	-1	
4	1	12	1	1	0	244	1777	2099	34	-1	
5	1	12	1	1	1	244	1781	60	30	93.255638	No.
5	1	12	1	1	2	325	1779	428	32	91.737083	1690-SEC/1D-209/2017
5	1	12	1	1	3	2022	1777	86	31	93.265312	Date
5	1	12	1	1	4	2123	1786	8	22	92.325630	:
5	1	12	1	1	5	2147	1777	196	31	94.990723	28.12.2017
4	1	12	1	2	0	1214	1831	159	31	-1	
5	1	12	1	2	1	1214	1831	159	31	96.431732	ORDER
2	1	13	0	0	0	243	1912	2104	623	-1	
3	1	13	1	0	0	243	1912	2104	623	-1	
4	1	13	1	1	0	339	1912	2005	43	-1	
5	1	13	1	1	1	339	1916	36	30	96.381668	In
5	1	13	1	1	2	391	1915	146	31	96.157394	exercise
5	1	13	1	1	3	552	1915	39	31	96.589668	of
5	1	13	1	1	4	602	1915	57	30	96.848900	the
5	1	13	1	1	5	673	1923	116	32	96.275818	power
5	1	13	1	1	6	802	1914	180	31	96.586594	conferred
5	1	13	1	1	7	999	1914	42	40	96.605400	by
5	1	13	1	1	8	1056	1914	132	31	96.487473	Section
5	1	13	1	1	9	1208	1913	60	31	96.983025	140
5	1	13	1	1	10	1284	1913	39	31	96.958702	of
5	1	13	1	1	11	1334	1913	56	31	95.972733	the
5	1	13	1	1	12	1404	1913	91	31	95.972733	West
5	1	13	1	1	13	1509	1913	126	40	95.965019	Bengal
5	1	13	1	1	14	1651	1913	194	39	95.965019	Panchayat
5	1	13	1	1	15	1857	1913	76	35	96.605667	Act,
5	1	13	1	1	16	1951	1912	82	31	96.992958	1973
5	1	13	1	1	17	2049	1913	51	38	96.739128	(as
5	1	13	1	1	18	2115	1912	167	31	96.440575	amended
5	1	13	1	1	19	2299	1921	45	31	96.383667	up
4	1	13	1	2	0	243	1965	2101	42	-1	
5	1	13	1	2	1	243	1972	33	27	95.999062	to
5	1	13	1	2	2	296	1968	100	39	96.290848	2012)
5	1	13	1	2	3	416	1968	79	31	96.799782	read
5	1	13	1	2	4	515	1968	80	30	96.121384	with
5	1	13	1	2	5	615	1968	152	31	96.276352	Sections
5	1	13	1	2	6	789	1967	38	31	96.276352	16
5	1	13	1	2	7	846	1967	39	31	96.446556	of
5	1	13	1	2	8	900	1967	56	31	96.704826	the
5	1	13	1	2	9	973	1967	91	31	96.596428	West
5	1	13	1	2	10	1083	1967	126	40	96.426460	Bengal
5	1	13	1	2	11	1228	1966	196	40	96.410088	Panchayat
5	1	13	1	2	12	1443	1966	168	31	96.470238	Elections
5	1	13	1	2	13	1627	1967	75	35	96.721870	Act,
5	1	13	1	2	14	1719	1966	85	30	96.425194	2003
5	1	13	1	2	15	1824	1965	67	31	96.010895	and
5	1	13	1	2	16	1912	1965	134	31	96.606590	Section
5	1	13	1	2	17	2068	1965	39	31	96.796173	17
5	1	13	1	2	18	2126	1965	39	31	96.407509	of
5	1	13	1	2	19	2180	1965	56	31	96.568527	the
5	1	13	1	2	20	2253	1965	91	31	96.667763	West
4	1	13	1	3	0	243	2018	2101	44	-1	
5	1	13	1	3	1	243	2022	126	40	94.442207	Bengal
5	1	13	1	3	2	384	2021	197	40	96.575676	Panchayat
5	1	13	1	3	3	596	2020	168	31	96.795830	Elections
5	1	13	1	3	4	776	2021	75	36	96.844307	Act,
5	1	13	1	3	5	865	2019	86	32	96.577713	2003
5	1	13	1	3	6	968	2020	51	38	96.471062	(as
5	1	13	1	3	7	1033	2019	167	31	96.392960	amended
5	1	13	1	3	8	1217	2028	45	31	96.431808	up
5	1	13	1	3	9	1277	2022	34	28	96.350922	to
5	1	13	1	3	10	1326	2019	102	38	96.545959	2012)
5	1	13	1	3	11	1444	2019	79	31	96.295563	read
5	1	13	1	3	12	1539	2019	80	30	96.785469	with
5	1	13	1	3	13	1636	2019	72	31	96.389687	rule
5	1	13	1	3	14	1722	2018	41	31	96.965096	26
5	1	13	1	3	15	1779	2018	39	31	96.415756	of
5	1	13	1	3	16	1829	2018	56	31	96.592262	the
5	1	13	1	3	17	1899	2018	92	31	96.320648	West
5	1	13	1	3	18	2006	2018	126	40	96.320648	Bengal
5	1	13	1	3	19	2149	2018	195	40	96.446991	Panchayat
4	1	13	1	4	0	244	2071	2103	40	-1	
5	1	13	1	4	1	244	2075	167	30	96.136986	Elections
5	1	13	1	4	2	428	2074	113	36	96.517136	Rules,
5	1	13	1	4	3	557	2073	86	31	96.517136	2006
5	1	13	1	4	4	661	2074	51	37	96.864189	(as
5	1	13	1	4	5	726	2073	177	30	96.734688	Amended
5	1	13	1	4	6	921	2073	76	30	96.997192	vide
5	1	13	1	4	7	1013	2072	61	31	93.265335	No.
5	1	13	1	4	8	1092	2072	406	31	92.150352	5013/PN/O/3R-1/2012
5	1	13	1	4	9	1516	2072	101	30	95.784492	dated
5	1	13	1	4	10	1634	2071	202	31	95.784492	24-09-2012
5	1	13	1	4	11	1855	2071	39	31	91.440834	of
5	1	13	1	4	12	1907	2071	125	31	91.383499	P&RD
5	1	13	1	4	13	2049	2071	125	40	92.893906	Deptt.,
5	1	13	1	4	14	2190	2071	100	31	96.805161	Govt.
5	1	13	1	4	15	2308	2071	39	31	96.296074	of
4	1	13	1	5	0	243	2124	2099	42	-1	
5	1	13	1	5	1	243	2127	91	31	96.464249	West
5	1	13	1	5	2	354	2127	143	39	95.757240	Bengal)
5	1	13	1	5	3	517	2126	68	31	95.757240	and
5	1	13	1	5	4	608	2126	73	31	95.994171	rule
5	1	13	1	5	5	700	2126	42	30	96.615211	27
5	1	13	1	5	6	763	2126	40	30	96.617264	of
5	1	13	1	5	7	818	2126	57	30	96.963013	the
5	1	13	1	5	8	893	2125	92	31	96.328880	West
5	1	13	1	5	9	1005	2125	128	40	96.280937	Bengal
5	1	13	1	5	10	1154	2125	198	39	96.421715	Panchayat
5	1	13	1	5	11	1373	2124	170	31	96.228447	Elections
5	1	13	1	5	12	1564	2124	115	37	96.061897	Rules,
5	1	13	1	5	13	1698	2124	99	36	96.061897	2006,
5	1	13	1	5	14	1816	2124	92	30	96.726830	West
5	1	13	1	5	15	1928	2124	128	39	96.486427	Bengal
5	1	13	1	5	16	2077	2124	93	30	96.792313	State
5	1	13	1	5	17	2190	2124	152	30	96.729118	Election
4	1	13	1	6	0	243	2177	2098	41	-1	
5	1	13	1	6	1	243	2180	240	36	95.908218	Commission,
5	1	13	1	6	2	499	2179	125	39	96.903351	hereby
5	1	13	1	6	3	640	2179	189	30	95.931396	determine
5	1	13	1	6	4	845	2178	90	30	95.931396	after
5	1	13	1	6	5	950	2178	157	39	96.425926	previous
5	1	13	1	6	6	1123	2178	209	39	96.263222	publication
5	1	13	1	6	7	1349	2177	39	31	96.568748	of
5	1	13	1	6	8	1400	2178	56	29	96.568748	the
5	1	13	1	6	9	1472	2177	94	30	96.581032	draft
5	1	13	1	6	10	1581	2177	40	30	96.290367	of
5	1	13	1	6	11	1632	2177	65	30	96.882805	this
5	1	13	1	6	12	1714	2177	115	30	96.579163	Order
5	1	13	1	6	13	1843	2186	37	21	96.940025	as
5	1	13	1	6	14	1898	2177	158	39	96.656998	required
5	1	13	1	6	15	2073	2177	110	30	95.804268	under
5	1	13	1	6	16	2198	2177	56	30	96.920807	the
5	1	13	1	6	17	2270	2177	71	30	96.236740	said
4	1	13	1	7	0	244	2229	2099	42	-1	
5	1	13	1	7	1	244	2232	89	31	96.817574	rules
5	1	13	1	7	2	348	2232	56	30	96.245064	for
5	1	13	1	7	3	417	2232	57	30	96.245064	the
5	1	13	1	7	4	490	2231	105	31	96.094421	Block
5	1	13	1	7	5	609	2231	162	40	95.866997	specified
5	1	13	1	7	6	789	2231	32	30	96.327583	in
5	1	13	1	7	7	837	2231	135	30	96.171875	column
5	1	13	1	7	8	990	2230	48	39	96.452972	(1)
5	1	13	1	7	9	1054	2230	39	31	96.676834	of
5	1	13	1	7	10	1104	2231	57	30	96.814835	the
5	1	13	1	7	11	1177	2230	166	31	96.202927	Schedule
5	1	13	1	7	12	1359	2230	106	30	96.450050	below
5	1	13	1	7	13	1482	2229	222	39	96.124718	(hereinafter
5	1	13	1	7	14	1720	2229	149	31	96.853638	referred
5	1	13	1	7	15	1887	2232	34	27	96.846298	to
5	1	13	1	7	16	1938	2238	37	21	96.822418	as
5	1	13	1	7	17	1991	2229	56	30	96.822418	the
